year,premier_ADJ an_NOUN,premier_ADJ temps_NOUN
1800,1.2576658381391326e-08,7.797527814545901e-07
1801,5.238601819002042e-08,7.429289443638964e-07
1802,4.923248297927785e-08,4.92324801371069e-07
1803,1.755305234496518e-08,5.265915730134907e-07
1804,5.6852570651244605e-08,4.22686516898807e-07
1805,1.1371510844071508e-08,4.4348891115042477e-07
1806,8.645007376628655e-09,6.771922578252543e-07
1807,8.540865348294346e-09,4.5551281324662796e-07
1808,1.8128591960930862e-08,5.823810376170968e-07
1809,2.2590304959990704e-08,5.082818734791772e-07
1810,2.574139479349924e-08,5.663106730224854e-07
1811,7.521229861140455e-09,4.387384286985707e-07
1812,2.1337665856435706e-08,7.254806426715277e-07
1813,4.026038169513413e-08,8.742254848925768e-07
1814,1.5733386149463513e-08,5.192017544786154e-07
1815,4.315557688983063e-08,8.469282040124426e-07
1816,1.3905623319487859e-08,6.23435459701227e-07
1817,7.784366928831332e-09,6.507731029614661e-07
1818,1.3113295338484932e-08,6.973888577732623e-07
1819,1.3456364911235141e-08,1.4367257392677857e-06
1820,7.238553223487543e-08,4.5092627587450806e-07
1821,1.577838115718322e-08,5.966200316009918e-07
1822,2.8071724500478012e-08,3.709478022528856e-07
1823,4.249555285440465e-08,4.298968745430898e-07
1824,7.242157096243318e-08,4.715823092027449e-07
1825,1.1447076175841175e-08,4.6492738103864895e-07
1826,1.1362299801032094e-07,5.161478728865632e-07
1827,4.7929820112813104e-08,4.138555693700141e-07
1828,3.0268594741755805e-08,6.16378622808611e-07
1829,6.772809124644397e-08,5.109612821740939e-07
1830,1.5655253982060913e-08,7.243163970827027e-07
1831,1.4032085493553836e-08,5.176280559737734e-07
1832,1.7588959622116818e-08,6.602625148843799e-07
1833,2.7800709290204395e-08,4.899875127861719e-07
1834,1.4935249481595747e-08,6.179459326460801e-07
1835,4.9916380362446944e-08,6.700895909261817e-07
1836,7.661655132551459e-08,6.552731388609345e-07
1837,6.818733033764346e-08,7.570185154293085e-07
1838,4.8603647551104245e-08,6.29953760267199e-07
1839,2.4470162784950844e-08,1.0850769527337434e-06
1840,4.0766007458614695e-08,9.81569002078686e-07
1841,9.630822361827995e-09,1.0626007664882309e-06
1842,3.8237111255057243e-08,6.406393175950598e-07
1843,3.8394921131335025e-08,1.0791926783326744e-06
1844,3.402907916560949e-08,9.111011749496356e-07
1845,2.566904894196753e-08,7.114790783191438e-07
1846,2.1076203893244383e-08,7.979685570091988e-07
1847,2.6426795862732888e-08,6.601305955200587e-07
1848,4.666228597960398e-08,8.069357555484657e-07
1849,5.1952373070207614e-08,8.798385664476882e-07
1850,3.055048125588655e-08,9.959457614172607e-07
1851,2.257303499675345e-08,7.674831987714015e-07
1852,2.7344290387532055e-08,7.298321307303013e-07
1853,2.9859659633757474e-08,1.0725589874027719e-06
1854,1.1274591571464043e-07,7.798692500671223e-07
1855,3.502578493908004e-08,1.0316685390421299e-06
1856,2.1226476576430287e-08,8.516476341924317e-07
1857,5.174399508867111e-08,6.43871050698408e-07
1858,3.1808895073481835e-08,7.007744109444047e-07
1859,2.8516170758052795e-08,7.017014596044646e-07
1860,5.53839250017063e-08,8.010071894659632e-07
1861,1.7920662287451705e-08,9.936535860788354e-07
1862,2.8463313594961903e-08,9.858246272642646e-07
1863,2.6471489888990618e-08,6.243275976203222e-07
1864,2.3014694150447212e-08,1.08552638877768e-06
1865,2.9653119071326728e-08,8.32170069742233e-07
1866,2.8220555337021835e-08,8.188826257082837e-07
1867,6.454239098729886e-08,7.968316637629869e-07
1868,2.321740844024589e-08,9.415399837564564e-07
1869,6.641585770239544e-08,1.006493274502418e-06
1870,2.6376625328339287e-08,8.308636516574097e-07
1871,4.885741633486873e-08,7.541035600411305e-07
1872,5.1402382683640724e-08,7.002819035761831e-07
1873,1.9155214303623325e-08,1.2408986833634117e-06
1874,5.0784177918483664e-08,1.0957432792224608e-06
1875,2.345826111138649e-08,8.782544185237384e-07
