year,dernier_ADJ acte_NOUN
1800,7.388786529283209e-07
1801,9.953342896551476e-07
1802,8.168116494289279e-07
1803,7.996390909426054e-07
1804,9.516626207073386e-07
1805,1.0660791323058305e-06
1806,6.973639017360256e-07
1807,1.7992755836360175e-06
1808,1.2531389286252193e-06
1809,1.490960130468011e-06
1810,1.060077426728867e-06
1811,1.0980996663079168e-06
1812,1.6269970757321062e-06
1813,1.8979895379800382e-06
1814,1.645712153219847e-06
1815,1.596756325383808e-06
1816,1.1008617910590601e-06
1817,1.105380128763045e-06
1818,1.2207286204102274e-06
1819,1.273179137228908e-06
1820,1.479750181943018e-06
1821,1.7425250007363502e-06
1822,1.6221446799136174e-06
1823,1.503156696003316e-06
1824,1.3061146084680786e-06
1825,1.3965432170692793e-06
1826,1.3132704665963502e-06
1827,1.6701699081522747e-06
1828,1.4116171520583976e-06
1829,1.5225960616760403e-06
1830,1.6469326524770622e-06
1831,1.418799733698961e-06
1832,1.718306087639121e-06
1833,1.3216919576564123e-06
1834,1.6260753348262824e-06
1835,1.3439607542409249e-06
1836,1.3730492858243792e-06
1837,1.2454624442881368e-06
1838,1.3419656692548187e-06
1839,1.315795664424968e-06
1840,1.3217104530838242e-06
1841,1.4799363814432809e-06
1842,1.6542581455780692e-06
1843,1.3934403677584584e-06
1844,1.6487638276885264e-06
1845,1.376084217685758e-06
1846,1.5678354170489683e-06
1847,1.401698837888432e-06
1848,1.6251348231577367e-06
1849,1.8267124666238033e-06
1850,1.5472122196769078e-06
1851,1.6175192663059335e-06
1852,1.5963857382672586e-06
1853,1.4953717406562816e-06
1854,1.4475121741241992e-06
1855,1.619677149733434e-06
1856,1.5987160368879927e-06
1857,1.522542666609894e-06
1858,1.5023585020479402e-06
1859,1.640189052132257e-06
1860,1.4701914174963804e-06
1861,1.6284222823514938e-06
1862,1.583554222861494e-06
1863,1.5473335039928315e-06
1864,1.5669171142818072e-06
1865,1.5838531339795736e-06
1866,1.5253696661332583e-06
1867,1.533973748024664e-06
1868,1.4552869422868042e-06
1869,1.678953836403707e-06
1870,1.5206697416836334e-06
1871,1.413678651029926e-06
1872,1.4701082335921711e-06
1873,1.3977320136859817e-06
1874,1.379537286183563e-06
1875,1.481875576914149e-06
1876,1.5568488598294294e-06
1877,1.4825004246432627e-06
1878,1.4795767642183932e-06
1879,1.4320258463484947e-06
1880,1.5595366666953936e-06
1881,1.6971083971473178e-06
1882,1.4994582500094111e-06
1883,1.4844127207425117e-06
1884,1.638541236914648e-06
1885,1.769971588849728e-06
1886,1.7598595647427828e-06
1887,1.5401733577391497e-06
1888,1.731621924516702e-06
1889,1.571922807031001e-06
1890,1.7179046721271796e-06
1891,1.6802443750796314e-06
1892,1.6504993169963456e-06
1893,1.6307486704336682e-06
1894,1.699525089993159e-06
1895,1.6695636571029127e-06
1896,1.555046574841512e-06
1897,1.6559519580017223e-06
1898,1.8446236724756204e-06
1899,1.4526475506926317e-06
1900,1.6699617599869043e-06
1901,1.7313912864524994e-06
1902,1.4387131750392967e-06
1903,1.5239421036206124e-06
1904,1.2512127947061913e-06
1905,1.4961040530891978e-06
1906,1.4233959001463958e-06
1907,1.3371392686423178e-06
1908,1.4031838089234583e-06
1909,1.3004324914689391e-06
1910,1.5647672839680382e-06
1911,1.4498019433872855e-06
1912,1.5185463335676275e-06
1913,1.53945793912591e-06
1914,1.4136825887689497e-06
1915,1.0331728467205537e-06
1916,1.1624734952420113e-06
1917,1.1196719746919825e-06
1918,1.4082297692397105e-06
1919,1.2366140875741394e-06
1920,1.409949555775114e-06
1921,1.5190931224040582e-06
1922,1.4888673383062212e-06
1923,1.3970588028655584e-06
1924,1.24017425928713e-06
1925,1.1966017268161266e-06
1926,1.301868961078867e-06
1927,1.4404798647227324e-06
1928,1.2797166628608636e-06
1929,1.2800327366946362e-06
1930,1.3497130346706854e-06
1931,1.0778061616534274e-06
1932,1.1102010319952171e-06
1933,1.2514492038206981e-06
1934,1.4353932744626263e-06
1935,1.1070662822021404e-06
1936,1.024538405225428e-06
1937,9.380382834933698e-07
1938,1.1448283885329147e-06
1939,1.142465611003729e-06
1940,8.596304021946111e-07
1941,9.53335359099583e-07
1942,1.2470610737391752e-06
1943,1.4080691244089394e-06
1944,1.2595689895533724e-06
1945,1.2461042615541373e-06
1946,1.130393714632305e-06
1947,1.2779174105581603e-06
1948,1.1350250603836542e-06
1949,9.483230263285236e-07
1950,1.2326384002392388e-06
1951,1.0640079458612561e-06
1952,1.0481534999939868e-06
1953,1.1161684856375587e-06
1954,1.12775070215676e-06
1955,1.1694467816347753e-06
1956,1.0081639854053748e-06
1957,1.0734571347370547e-06
1958,1.0298942596520533e-06
1959,9.564422542851503e-07
1960,9.363887798485848e-07
1961,1.0297171657569493e-06
1962,1.0356415152124043e-06
1963,1.0293956398399473e-06
1964,1.0318410454956961e-06
1965,1.2416066219600452e-06
1966,1.0164202035589653e-06
1967,1.0353704906762573e-06
1968,1.5082174549263527e-06
1969,1.05959210516815e-06
1970,1.0692035878889783e-06
1971,1.026651824886926e-06
1972,1.2809976936978273e-06
1973,9.01960135912816e-07
1974,9.332823238672461e-07
1975,8.447279449264045e-07
1976,9.884400939963456e-07
1977,8.727021110210842e-07
1978,9.861382062048563e-07
1979,9.099818727431597e-07
1980,8.630058569991661e-07
1981,8.533166546698112e-07
1982,8.504278026233436e-07
1983,8.955117927200718e-07
1984,9.69014354978981e-07
1985,8.794745967044548e-07
1986,7.870759346495504e-07
1987,9.325106233859515e-07
1988,9.018817048733752e-07
1989,9.198092998374818e-07
1990,8.690598388150228e-07
1991,8.827366850816531e-07
1992,8.650612579597095e-07
1993,9.50528019849628e-07
1994,8.29745928632164e-07
1995,9.017535966826529e-07
1996,8.786499758883792e-07
1997,7.379342454871818e-07
1998,9.645925311829728e-07
1999,9.277508628002806e-07
2000,8.429604205772989e-07
2001,1.0190698618295357e-06
2002,8.788730534448064e-07
2003,8.817208700939716e-07
2004,9.408633987462167e-07
2005,8.795822918905571e-07
2006,8.906995820900931e-07
2007,8.723943163424508e-07
2008,8.625572966991513e-07
2009,8.797315307340625e-07
2010,7.184889296851793e-07
2011,6.546640203275444e-07
2012,6.66552674388754e-07
2013,7.126214676134168e-07
2014,8.694262376707229e-07
2015,7.596204092408243e-07
2016,8.262575716955212e-07
2017,6.709135575988512e-07
2018,7.181640313547177e-07
2019,7.632555281134046e-07
