year,premier_ADJ acte_NOUN,premier_ADJ tact_NOUN
1800,3.750988174289205e-06,2.5153315874604232e-08
1801,4.343277169027715e-06,0.0
1802,2.407915985713771e-06,0.0
1803,2.5061858650587965e-06,1.5602713787643552e-08
1804,4.244168167133466e-06,0.0
1805,2.9224781741277184e-06,2.55858996212055e-08
1806,2.6050287829093577e-06,1.729001475325731e-08
1807,4.88537519061083e-06,8.540865792383556e-09
1808,4.065336611347448e-06,0.0
1809,4.289899095510918e-06,6.7770917766551975e-09
1810,4.289452135708416e-06,0.0
1811,4.09405629397952e-06,0.0
1812,5.059694046849472e-06,0.0
1813,9.018326181831071e-06,0.0
1814,4.00886680296253e-06,0.0
1815,3.2096959330374375e-06,0.0
1816,3.1009539753767967e-06,0.0
1817,4.8558883349869575e-06,0.0
1818,3.928028064592581e-06,0.0
1819,3.981013918519238e-06,3.1053151161586356e-09
1820,4.275493154182186e-06,5.933240565525466e-09
1821,5.663452554927062e-06,0.0
1822,4.689983029493305e-06,0.0
1823,4.27920338097465e-06,9.882686891060644e-10
1824,4.849718663990643e-06,0.0
1825,4.504864563159572e-06,8.805443485471187e-09
1826,3.6042271176484064e-06,0.0
1827,3.850054838494543e-06,0.0
1828,3.8936418889079505e-06,4.586150570418113e-09
1829,4.1957122931535196e-06,1.714635211591542e-09
1830,5.037860830725549e-06,0.0
1831,4.2688723169703735e-06,1.5591206103948707e-09
1832,5.15356529717792e-06,4.058990921151917e-09
1833,3.7264533432335156e-06,0.0
1834,4.211740559867394e-06,0.0
1835,3.5584328514914887e-06,0.0
1836,3.6070266631327286e-06,6.720750067579218e-10
1837,3.6995106142967416e-06,6.957890930081589e-10
1838,3.341027301928534e-06,2.5248647617104325e-09
1839,3.5285974249177343e-06,0.0
1840,3.849839888658835e-06,6.369688665408546e-10
1841,3.571751264530576e-06,0.0
1842,3.285037323053075e-06,0.0
1843,3.628615367290422e-06,2.3627644285539873e-09
1844,3.6433070818020497e-06,5.488561272137815e-10
1845,3.5953408072941784e-06,1.674068439427856e-09
1846,3.2697389329428006e-06,7.025401593807601e-09
1847,3.2790799231463552e-06,0.0
1848,3.7611410448334937e-06,0.0
1849,4.036363982606872e-06,3.3517659758786067e-09
1850,3.4481310393630338e-06,2.7155984128057753e-09
1851,3.686499205457494e-06,6.449438760824933e-10
1852,3.809320205050426e-06,0.0
1853,3.366378045654983e-06,3.5831591027601917e-09
1854,3.9216876075443e-06,1.0391328908454511e-09
1855,3.6124321951547245e-06,0.0
1856,3.656131109863736e-06,0.0
1857,3.7943970205844835e-06,3.4170564155999728e-09
1858,3.959473332315611e-06,4.893676019968041e-10
1859,4.651700127311642e-06,2.036869339860914e-09
1860,3.7995204706930963e-06,0.0
1861,3.970369689909603e-06,9.431927461278633e-10
1862,4.194950122382579e-06,0.0
1863,3.8034038496448375e-06,4.994620828036034e-10
1864,3.643034396816347e-06,3.3563094525845827e-09
1865,3.513188538306622e-06,0.0
1866,3.4258780239326825e-06,1.9462451650298362e-09
1867,3.305735276626365e-06,4.85281148598915e-10
1868,3.631795493674872e-06,2.4699371437009177e-09
1869,3.811098281403247e-06,9.767038289254515e-10
1870,3.743187157567718e-06,4.013834153937523e-09
1871,3.1141291287895e-06,1.1683295220166201e-08
1872,3.287938476148611e-06,6.047339295989218e-10
1873,3.4742770438356274e-06,5.986004469882289e-10
1874,3.0327117030992667e-06,0.0
1875,3.688096427367782e-06,5.721527140956084e-10
1876,3.5659395010156913e-06,0.0
1877,4.494505674301763e-06,0.0
1878,3.7496700997508015e-06,1.8117265465633636e-09
1879,3.512251137038902e-06,3.0546627449723474e-09
1880,4.810817664235856e-06,0.0
1881,4.0454491170294204e-06,0.0
1882,4.143642975407147e-06,0.0
1883,3.738520902629716e-06,1.2638677882037541e-09
1884,3.972241081839911e-06,6.601696966868076e-09
1885,3.815171837118214e-06,6.445635691854079e-10
1886,4.208949306416798e-06,6.453463874400711e-10
1887,3.939553254284078e-06,1.9586774424595887e-09
1888,3.945130272242636e-06,2.53624587998047e-09
1889,4.292871540911847e-06,0.0
1890,4.2066052614586624e-06,0.0
1891,3.633942776914978e-06,0.0
1892,3.5567538922975928e-06,6.268512375839919e-10
1893,4.166168880104237e-06,1.847525021858587e-09
1894,3.85087069076917e-06,0.0
1895,3.660521418424878e-06,0.0
1896,3.67443877458129e-06,0.0
1897,3.7891118882527053e-06,4.078699600285063e-09
1898,3.971599447538665e-06,0.0
1899,3.6294080416610086e-06,0.0
1900,3.48527312254987e-06,1.038210628578895e-09
1901,4.075308519091436e-06,0.0
1902,3.4028266959751363e-06,4.910283846193408e-10
1903,3.46100113723935e-06,0.0
1904,3.074285581661229e-06,5.374625189347171e-10
1905,3.536152121341729e-06,5.160759042333041e-10
1906,3.229519149883231e-06,0.0
1907,3.65861883366847e-06,0.0
1908,3.490524211002821e-06,0.0
1909,3.3390970521907093e-06,0.0
1910,3.5250017305088477e-06,0.0
1911,3.5018702995159856e-06,5.320374141248863e-10
1912,3.4528042966996964e-06,0.0
1913,3.8897427678818985e-06,0.0
1914,3.6363319306786934e-06,0.0
1915,2.178262784369167e-06,2.3561523843085297e-09
1916,2.407352914346461e-06,0.0
1917,2.441126081720313e-06,0.0
