year,léger_ADJ temps_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,2.8757416448144113e-09
1814,0.0
1815,2.697223555614414e-09
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,6.262101504006523e-09
1831,0.0
1832,2.705993873419743e-09
1833,1.1583628500844156e-09
1834,9.334530925997342e-10
1835,7.563087933704082e-10
1836,2.016224964762614e-09
1837,6.957890930081589e-10
1838,1.8936485712828244e-09
1839,5.5931801412612e-09
1840,6.369688665408546e-10
1841,3.852329122366882e-09
1842,3.3541325272778977e-09
1843,5.31621990873532e-09
1844,3.841992946007622e-09
1845,1.3392547515422848e-08
1846,3.5127007969038004e-09
1847,2.6966118227278457e-09
1848,3.218088684420195e-09
1849,8.379414939696517e-10
1850,0.0
1851,1.1608989325395669e-08
1852,2.6042181744401205e-09
1853,3.5831591027601917e-09
1854,8.313063126763609e-09
1855,1.2205955357558196e-08
1856,1.65670055451983e-08
1857,2.2454941961402852e-08
1858,9.297984604472731e-09
1859,1.884104072757964e-08
1860,1.0069804545764782e-08
1861,8.960331143725853e-09
1862,1.3102160245637151e-08
1863,8.990317823531768e-09
1864,1.6302074357099627e-08
1865,8.47231973466478e-09
1866,1.3137154475373336e-08
1867,1.5043715606566366e-08
1868,4.44588676984381e-09
1869,1.8069020057964735e-08
1870,1.2614907340946502e-08
1871,4.5671061599250606e-08
1872,1.3304146229131675e-08
1873,7.781805422268917e-09
1874,2.2106053876314036e-08
1875,1.94531928343622e-08
1876,2.2974855795609983e-08
1877,1.855444864418132e-08
1878,1.0870359723469392e-08
1879,2.3826368211743443e-08
1880,2.1178892861684062e-08
1881,2.2312024228199334e-08
1882,1.9300616216355593e-08
1883,2.4645421259350542e-08
1884,2.772712726084592e-08
1885,1.8047780159236027e-08
1886,2.19417763958063e-08
1887,2.3504128421336645e-08
1888,3.1703073943845084e-08
1889,3.069916942877171e-08
1890,1.6385966361553983e-08
1891,2.8683990294098294e-08
1892,2.570090096298827e-08
1893,2.3401982574000613e-08
1894,1.5123694296903523e-08
1895,1.2037228991346183e-08
1896,2.240870955461105e-08
1897,1.8645483046419997e-08
1898,2.9423445124798775e-08
1899,1.6029977345510815e-08
1900,1.920689673973186e-08
1901,1.5648469187112823e-08
1902,2.455141867585553e-08
1903,1.8360748255119574e-08
1904,1.0749250378694342e-08
1905,1.2385822145688508e-08
1906,2.4692084821253957e-08
1907,1.902852098112362e-08
1908,1.3260750719723546e-08
1909,3.245580204591647e-08
1910,3.313373564406419e-08
1911,1.6493159393782264e-08
1912,1.82329742415277e-08
1913,3.7651225748280837e-08
1914,1.2054139020278853e-08
1915,3.416420923940677e-08
