year,premier_ADJ est_NOUN,premier_ADJ test_NOUN
1800,0.0,0.0
1801,3.5717739876872656e-08,0.0
1802,4.475680270843441e-09,0.0
1803,1.950339223455444e-09,0.0
1804,1.1617699291477379e-07,0.0
1805,1.7057266488151868e-08,0.0
1806,2.881669125542885e-09,0.0
1807,0.0,0.0
1808,5.6651849433819734e-08,0.0
1809,2.0331274663831778e-08,2.259030518203531e-09
1810,3.2761775070611066e-08,0.0
1811,5.0141535368197765e-09,0.0
1812,2.6672082320544632e-09,0.0
1813,2.8757416448144113e-09,0.0
1814,0.0,0.0
1815,8.091670444798638e-09,0.0
1816,2.3176038865813098e-09,0.0
1817,1.2454987263765815e-08,0.0
1818,0.0,0.0
1819,7.24573512300708e-09,3.1053151161586356e-09
1820,1.0679833017945839e-08,0.0
1821,4.930744257336528e-09,0.0
1822,2.90742860897808e-08,0.0
1823,6.917880934764753e-09,0.0
1824,1.0947446504872005e-08,8.421112696055388e-10
1825,3.522177216552791e-09,7.924898959288385e-09
1826,2.642395191543301e-09,0.0
1827,1.1982455028203276e-08,2.7651818612639545e-09
1828,8.255071293206129e-09,9.172301251858528e-10
1829,5.143905745796928e-09,8.57317605795771e-10
1830,1.6698937344017395e-08,0.0
1831,2.182768810143898e-08,0.0
1832,2.1647951431447154e-08,0.0
1833,8.108539617524002e-09,0.0
1834,5.600718555598405e-09,0.0
1835,7.563087933704082e-09,0.0
1836,2.352262562510532e-08,0.0
1837,2.01778832531474e-08,0.0
1838,1.2624323808552163e-09,0.0
1839,2.7965900706306e-09,0.0
1840,2.4204816984063626e-08,0.0
1841,9.630822805917205e-09,0.0
1842,9.391571520467323e-09,0.0
1843,5.906910960362666e-09,5.906911071384968e-10
1844,1.701453911095996e-08,0.0
1845,1.2276501426544684e-08,0.0
1846,2.9272506640865004e-09,0.0
1847,8.089835468183537e-09,0.0
1848,1.206783295515379e-08,8.045221711050488e-10
1849,1.256912263158938e-08,8.379414939696517e-10
1850,1.0862393651223101e-08,0.0
1851,3.2247193804124663e-09,0.0
1852,4.166749256739877e-08,0.0
1853,1.1943863675867306e-09,0.0
1854,6.234797567117312e-09,4.1565315633818045e-09
1855,5.306937111981824e-09,3.1841622671890946e-09
1856,1.6567004990086787e-08,0.0
1857,1.80615840061904e-08,4.881509085841174e-10
1858,1.4191660291373864e-08,0.0
1859,1.018434669930457e-08,5.092173349652285e-10
1860,1.9224172920218052e-08,0.0
1861,3.772770984511453e-09,0.0
1862,5.421583626485926e-09,0.0
1863,8.990317823531768e-09,1.4983863039219614e-09
1864,1.7261021389991527e-08,2.3973640850272204e-09
1865,1.364984902885169e-08,0.0
1866,9.731225603104576e-09,0.0
1867,1.067618526917613e-08,3.88224918879132e-09
1868,1.1361710461343932e-08,0.0
1869,2.4905946971465198e-08,0.0
1870,1.4335121978348297e-08,0.0
1871,3.18635318130589e-09,0.0
1872,9.675742873582749e-09,0.0
1873,7.183205141814142e-09,1.7958012854535355e-09
1874,1.3144140331711185e-08,0.0
