year,premier_ADJ or_NOUN,premier_ADJ tort_NOUN
1800,2.829747991484055e-08,1.4148740490327327e-07
1801,1.4287095284615248e-08,1.73826322225068e-07
1802,1.1189200677108602e-08,1.3874608839614666e-07
1803,5.851017448321727e-09,6.826187615160961e-08
1804,7.4155526164076946e-09,1.7055771195373381e-07
1805,8.528632911009026e-09,1.0802935435094696e-07
1806,2.881669125542885e-08,7.780506905419315e-08
1807,2.2775641372874134e-08,7.971474502710407e-08
1808,1.1330369975581789e-08,7.251436784372345e-08
1809,1.1295152591017654e-08,1.197286110254936e-07
1810,3.7442028144596406e-08,7.254392642153107e-08
1811,1.504245972228091e-08,5.264861258069686e-08
1812,1.0668832928217853e-08,1.4136203674297576e-07
1813,2.8757416448144113e-09,7.189353823378042e-08
1814,3.4613449884091096e-08,1.1642705288750221e-07
1815,4.045835311217161e-08,5.3944472000466703e-08
1816,1.622322720606917e-08,2.5493642752394408e-08
1817,1.8682481339737933e-08,7.7843672841027e-08
1818,1.3113294894395722e-08,8.940882878505363e-08
1819,2.0702100145264524e-08,9.833497216504838e-08
1820,2.4919610375206958e-08,1.3409123766905395e-07
1821,1.1833785507064931e-08,1.4693617345074017e-07
1822,2.8071724500478012e-08,8.521773509073682e-08
1823,2.569498569471307e-08,7.115534828017189e-08
1824,1.9368560089105813e-08,8.084268188213173e-08
1825,4.050503643604486e-08,5.811592274085342e-08
1826,8.80798456392995e-09,7.222546827279075e-08
1827,2.7651818612639545e-08,1.3272872934066982e-07
1828,3.760643585426493e-08,1.2382606939809193e-07
1829,1.2002446148073886e-08,9.601956918459109e-08
1830,1.5655253093882493e-08,6.575206867864836e-08
1831,4.677361831184612e-09,1.091384405071949e-07
1832,2.705993829010822e-08,9.741577855493233e-08
1833,1.3900354645102198e-08,1.0077756940063409e-07
1834,2.9870498963191494e-08,7.094243414940138e-08
1835,4.159698363537245e-08,5.218530674255817e-08
1836,3.2931674442959746e-08,7.123995260371885e-08
1837,1.7394727436226276e-08,7.653680000885288e-08
1838,1.7042836919500814e-08,6.880256364638626e-08
1839,2.027527834513876e-08,7.620707975775076e-08
