year,dernier_ADJ an_NOUN,dernier_ADJ temps_NOUN
1800,3.144164484325529e-09,1.5720821977538435e-07
1801,2.1430643926123594e-08,1.1191558257905854e-07
1802,8.951360541686881e-09,1.3650824826072494e-07
1803,5.851017448321727e-09,1.735801902214007e-07
1804,1.2359254952798437e-08,2.076354803648428e-07
1805,5.685755422035754e-09,1.449867568226182e-07
1806,5.76333825108577e-09,1.556101381083863e-07
1807,1.1387820464392462e-08,1.7651122163897526e-07
1808,1.3596443970698147e-08,1.3369836437959748e-07
1809,0.0,1.3328279635516083e-07
1810,1.1700633795186377e-08,1.6146874770583963e-07
1811,5.0141535368197765e-09,2.1811567307850055e-07
1812,0.0,2.2937990706850542e-07
1813,2.8757416448144113e-09,3.077043686516845e-07
1814,3.1466771410748606e-09,2.0768068509369186e-07
1815,1.0788894222457657e-08,2.4814457333377504e-07
1816,4.6352077731626196e-09,2.5725404384502326e-07
1817,0.0,4.701757632119552e-07
1818,1.1921177378582115e-09,2.5392108682353864e-07
1819,4.140420117870747e-09,4.1818242380031734e-07
1820,2.254631326081835e-08,1.0561168295453172e-07
1821,5.916893086599373e-09,1.824375317482918e-07
1822,8.02049271442229e-09,1.9048670196752937e-07
1823,9.882686891060644e-10,1.096978223813494e-07
1824,1.3473780313688621e-08,2.0126459787661588e-07
1825,9.685987789609385e-09,2.5007457793435606e-07
1826,7.927186018719112e-09,1.7175570121708006e-07
1827,2.3964910056406552e-08,3.0785690796619747e-07
1828,1.8344602503717056e-09,2.907619602865452e-07
1829,7.715858285628485e-09,2.4605014914413914e-07
1830,4.174734336004349e-09,2.233482803148945e-07
1831,4.677361609140007e-09,2.0892215957246663e-07
1832,6.764984572527055e-09,2.3677446847614192e-07
1833,8.108539617524002e-09,1.656458863408261e-07
1834,6.534171426153534e-09,1.586870297387577e-07
1835,1.8907719834260206e-08,3.168933915276284e-07
1836,3.36037508930076e-09,2.9369678600232874e-07
1837,2.2265250976261086e-08,2.3378512992167089e-07
1838,1.7674054220151447e-08,2.499616016393702e-07
1839,1.6779539646627484e-08,4.1529361283210164e-07
1840,8.91756390952736e-09,2.3249363323429861e-07
1841,8.988767952189392e-09,3.518460687246261e-07
1842,6.037438549100216e-09,2.810762964600144e-07
1843,2.953455480181333e-09,1.9551875141132768e-07
1844,1.0977122322231025e-08,2.6180435952483094e-07
1845,5.022205318283568e-09,2.1818691209318786e-07
1846,9.367202347121406e-09,2.59939866964487e-07
1847,3.775256551818984e-09,2.4377371232731093e-07
1848,2.413566457803995e-09,1.922807939536142e-07
1849,1.508294644736452e-08,2.4635480144752364e-07
1850,8.146795238417326e-09,2.878534246519848e-07
1851,1.6123596680017727e-08,2.6120227403225726e-07
1852,7.812654523320361e-09,2.949277018160501e-07
1853,4.777545470346922e-09,3.7563449950539507e-07
1854,9.352196350675968e-09,2.1406137307167228e-07
1855,4.2455496895854594e-09,4.5374312662715965e-07
1856,9.3189408967298e-09,2.4539878040741314e-07
1857,1.4156376515472857e-08,1.332652033170234e-07
1858,6.361778659424999e-09,2.3440708218913642e-07
1859,5.601390462572908e-09,1.935025863986084e-07
1860,8.696649511641397e-09,1.9773435155912011e-07
1861,2.357981809808507e-09,2.6739513714346685e-07
1862,9.939570166928036e-09,2.1641153580276296e-07
1863,3.995696662428827e-09,2.437375030694966e-07
1864,5.753673426589501e-09,2.4021588274081296e-07
1865,1.6003271596787272e-08,1.581499731173608e-07
1866,9.731225603104576e-09,1.7710830491068918e-07
1867,9.7056229719783e-09,1.7130425078448752e-07
1868,1.975949626142892e-09,1.699316669601103e-07
1869,2.9301114867763545e-09,2.2952539779907966e-07
1870,4.587239033071455e-09,1.8807679680321598e-07
1871,2.1242354542039266e-09,1.8693272352265922e-07
1872,6.0473394070115205e-09,1.669065596843211e-07
1873,2.3944017879529156e-09,2.424331739803165e-07
1874,6.572069999322139e-09,2.610904061839392e-07
1875,1.716458086775674e-09,2.5403579684279975e-07
1876,7.859819461941697e-09,2.0677370571320353e-07
1877,4.9478527941460015e-09,2.2203489891126083e-07
1878,9.058632954861423e-09,2.844410857960611e-07
1879,2.443730107160036e-09,2.4315113478223793e-07
1880,1.9253538763308597e-09,2.1050536247457785e-07
1881,5.5780060570498335e-09,1.6106491784739774e-07
1882,5.989846840748214e-09,1.5640155481833062e-07
1883,3.791603475633565e-09,2.0601045491730474e-07
1884,7.2618666635548834e-09,1.4523733682381135e-07
1885,6.445635580831777e-09,2.075494762721064e-07
1886,9.034849313138693e-09,1.7940629959412036e-07
1887,6.528924512139156e-09,1.6322312035299547e-07
1888,3.804368819970705e-09,1.4266383630001656e-07
1889,2.5060546970934183e-09,2.631357460813888e-07
1890,7.209825181320184e-09,1.8811088864367775e-07
1891,1.0198752065093686e-08,1.8995176276348502e-07
1892,5.014809900671935e-09,1.9056277267281985e-07
1893,3.695050043717174e-09,1.453386317962213e-07
1894,5.041231432301174e-09,1.3170216561775305e-07
1895,5.416753268150387e-09,1.2639090130051045e-07
1896,4.717623180994224e-09,1.5568156186418491e-07
1897,3.496028022631492e-09,1.4217181387721212e-07
1898,7.921697076085366e-09,1.5334141778566845e-07
1899,4.9748205555033564e-09,1.6472183972382481e-07
1900,5.710158568206225e-09,1.5157874599935894e-07
1901,3.912117296778206e-09,1.6598553997937415e-07
1902,4.910283735171106e-09,1.5418291354762914e-07
1903,7.560307935250421e-09,1.225850070341039e-07
1904,5.374625189347171e-09,1.2737861254663585e-07
1905,2.0643036169332163e-09,1.3417972866136552e-07
1906,2.0576738091193647e-09,1.4455159202952927e-07
1907,1.5428529565042481e-09,1.27542520544921e-07
1908,5.893666887857307e-09,1.586378601814431e-07
1909,2.7504918342913243e-09,1.9803540851626167e-07
1910,1.068830135508847e-09,1.3520701713787275e-07
1911,4.25629931299909e-09,1.55354925368556e-07
1912,1.041884239993962e-08,1.6149205350757256e-07
1913,4.242391771214216e-09,1.108324880760847e-07
1914,6.696743604095445e-09,1.225504036028724e-07
1915,9.424609537234119e-09,1.2723222653221455e-07
1916,5.493731025651982e-09,1.1426960355720439e-07
1917,3.289927441585405e-09,1.568198655377273e-07
1918,5.743188147278033e-09,1.206069555337308e-07
1919,2.762354567309444e-09,1.261475262026579e-07
1920,3.028892692213958e-09,1.1964125690155925e-07
1921,2.2718242842501013e-09,1.4994040498095274e-07
1922,2.951174193910333e-09,1.313272548486566e-07
1923,5.307974060286824e-09,1.1465223792583856e-07
1924,5.156649773851996e-09,1.5341032622018247e-07
1925,8.798542339150117e-09,1.0448268739082778e-07
1926,6.687683296036084e-09,1.3375365881529433e-07
1927,3.3447675740205796e-09,1.371354727552898e-07
1928,4.570416489713125e-09,1.1083260176292242e-07
1929,4.4561625500705304e-09,1.5262357067058474e-07
