year,premier_ADJ est_NOUN,premier_ADJ geste_NOUN
1800,0.0,2.2009151834367913e-08
1801,3.5717739876872656e-08,2.3811825844433088e-09
1802,4.475680270843441e-09,6.713520406265161e-09
1803,1.950339223455444e-09,0.0
1804,1.1617699291477379e-07,2.4718509905596875e-08
1805,1.7057266488151868e-08,1.1371510844071508e-08
1806,2.881669125542885e-09,5.76333825108577e-09
1807,0.0,5.693910232196231e-09
1808,5.6651849433819734e-08,9.064295980465431e-09
1809,2.0331274663831778e-08,2.259030518203531e-09
1810,3.2761775070611066e-08,2.574139479349924e-08
1811,5.0141535368197765e-09,1.2535384286138651e-08
1812,2.6672082320544632e-09,2.6672082320544632e-09
1813,2.8757416448144113e-09,1.4378708002027452e-08
1814,0.0,3.1466771410748606e-09
1815,8.091670444798638e-09,2.1577788444915313e-08
1816,2.3176038865813098e-09,0.0
1817,1.2454987263765815e-08,1.556873407970727e-09
1818,0.0,8.344824387052086e-09
1819,7.24573512300708e-09,7.24573512300708e-09
1820,1.0679833017945839e-08,0.0
1821,4.930744257336528e-09,1.676452932031225e-08
1822,2.90742860897808e-08,9.023054303725075e-09
1823,6.917880934764753e-09,1.7788837070042973e-08
1824,1.0947446504872005e-08,5.894778887238772e-09
1825,3.522177216552791e-09,8.805443041381977e-10
1826,2.642395191543301e-09,2.642395191543301e-09
1827,1.1982455028203276e-08,1.8434546111834038e-09
1828,8.255071293206129e-09,2.7516904310687096e-09
1829,5.143905745796928e-09,4.286587973467704e-09
1830,1.6698937344017395e-08,2.0873671680021744e-09
1831,2.182768810143898e-08,1.870944643656003e-08
1832,2.1647951431447154e-08,3.92369123858316e-08
1833,8.108539617524002e-09,3.01174338801502e-08
1834,5.600718555598405e-09,1.120143711119681e-08
1835,7.563087933704082e-09,4.235329242874286e-08
1836,2.352262562510532e-08,2.083432448785061e-08
1837,2.01778832531474e-08,3.339787468803479e-08
1838,1.2624323808552163e-09,1.7674054220151447e-08
1839,2.7965900706306e-09,2.307186797168015e-08
1840,2.4204816984063626e-08,2.0383003729307347e-08
1841,9.630822805917205e-09,1.9903700021473014e-08
1842,9.391571520467323e-09,2.0795621225033756e-08
1843,5.906910960362666e-09,2.4218335781256428e-08
1844,1.701453911095996e-08,4.9945906965831455e-08
1845,1.2276501426544684e-08,1.562463758375543e-08
1846,2.9272506640865004e-09,2.86870562860031e-08
1847,8.089835468183537e-09,1.833696039454935e-08
1848,1.206783295515379e-08,1.769948809737798e-08
1849,1.256912263158938e-08,7.54147322368226e-08
1850,1.0862393651223101e-08,1.0183494048021657e-08
1851,3.2247193804124663e-09,4.385618268543112e-08
1852,4.166749256739877e-08,6.510545436100301e-09
1853,1.1943863675867306e-09,3.4637203327747557e-08
1854,6.234797567117312e-09,2.338049043260071e-08
1855,5.306937111981824e-09,3.290301009428731e-08
1856,1.6567004990086787e-08,3.4169449492083004e-08
1857,1.80615840061904e-08,1.3180074809326925e-08
1858,1.4191660291373864e-08,2.8872689128434104e-08
1859,1.018434669930457e-08,3.564521477983362e-08
1860,1.9224172920218052e-08,1.6935580049448618e-08
1861,3.772770984511453e-09,3.772770895693611e-08
1862,5.421583626485926e-09,4.201727321628823e-08
1863,8.990317823531768e-09,4.694943456229339e-08
1864,1.7261021389991527e-08,3.212467802882202e-08
1865,1.364984902885169e-08,1.694463946932956e-08
1866,9.731225603104576e-09,4.330395597662573e-08
1867,1.067618526917613e-08,5.143979997512815e-08
1868,1.1361710461343932e-08,4.1494942593089945e-08
1869,2.4905946971465198e-08,1.8557372527538973e-08
1870,1.4335121978348297e-08,2.5229814681893004e-08
1871,3.18635318130589e-09,5.3105884134652115e-09
1872,9.675742873582749e-09,2.4189358072135292e-08
1873,7.183205141814142e-09,1.6760813181804224e-08
1874,1.3144140331711185e-08,1.7923827755339516e-08
1875,4.577221712764867e-09,4.577221801582709e-08
1876,3.02300739996042e-09,2.539326260375674e-08
1877,8.040261012531857e-09,4.4530676035492434e-08
1878,6.039088784604019e-09,3.623453181944569e-08
1879,4.276527798552365e-09,1.588424503040642e-08
1880,1.4761046829292468e-08,2.2462462112571302e-08
1881,5.5780060570498335e-09,1.743126887276958e-08
1882,2.1962771157291172e-08,1.4641846846075168e-08
1883,8.847074406403976e-09,2.464542170343975e-08
1884,6.601696966868076e-09,2.9047466654219534e-08
1885,5.80107206715752e-09,3.0939052209078e-08
1886,1.5488312854472497e-08,2.19417763958063e-08
1887,8.48760173255414e-09,2.9380160526670807e-08
1888,6.340614699951175e-09,4.56524276160053e-08
1889,4.385595886446936e-09,4.009687515349469e-08
1890,4.588070645628051e-09,2.3595790488162294e-08
1891,6.374220040683554e-09,2.677172439291553e-08
1892,3.761107425503951e-09,3.5730521874555166e-08
1893,5.542574843531156e-09,2.771287377356657e-08
1894,5.671385139294216e-09,3.276800342177921e-08
1895,3.0093072478365457e-09,4.5741469278937075e-08
1896,1.7691086373616827e-09,3.656158042986135e-08
1897,7.574727511894253e-09,4.661370667236042e-08
1898,5.6583548957434004e-09,4.7530182456512193e-08
1899,7.738609753005221e-09,4.311511148102909e-08
1900,6.22926377147337e-09,3.7894686499839736e-08
1901,2.794369402536745e-09,3.073806453812722e-08
1902,9.820567692386817e-10,4.3210498290591204e-08
1903,1.026041895890728e-08,6.102249017203576e-08
