year,dernier_ADJ arrêt_NOUN
1800,1.8864987794131594e-08
1801,1.5477687043130572e-07
1802,5.818384352096473e-08
1803,6.046051481689574e-08
1804,1.928043786847411e-07
1805,7.960057502032214e-08
1806,2.795219131712656e-07
1807,3.644102548605588e-07
1808,3.399111108137731e-07
1809,5.10540871800913e-07
1810,2.667744638529257e-07
1811,1.930449116116506e-07
1812,7.788248126416875e-07
1813,3.997280941803183e-07
1814,2.0768068509369186e-07
1815,3.8300575511129864e-07
1816,2.503012126453541e-07
1817,2.1484852652520203e-07
1818,1.4782260393531033e-07
1819,4.606217203217966e-07
1820,1.8986369809681491e-07
1821,2.780939780677727e-07
1822,2.5866089004011883e-07
1823,3.7653038020835083e-07
1824,3.88213294399975e-07
1825,7.009132900748227e-07
1826,5.55783799427445e-07
1827,5.37367043307313e-07
1828,4.962215029991057e-07
1829,4.200856267289055e-07
1830,4.7278865622502053e-07
1831,5.410148560258676e-07
1832,6.277905981733056e-07
1833,3.185497803315229e-07
1834,3.472445371244248e-07
1835,3.2521279536013026e-07
1836,3.4006995974777965e-07
1837,3.360661366968998e-07
1838,3.6294932215241715e-07
1839,5.047845093031356e-07
1840,4.051121891279763e-07
1841,4.33387015164044e-07
1842,5.594692993327044e-07
1843,3.792236782373948e-07
1844,5.439164283416176e-07
1845,5.825758080391097e-07
1846,4.941198881169839e-07
1847,7.151414820327773e-07
1848,4.83517851534998e-07
1849,6.209146476976457e-07
1850,5.940371465840144e-07
1851,5.443326358545164e-07
1852,6.699351047245727e-07
1853,4.4550611733029655e-07
1854,4.826772510568844e-07
1855,4.808085236618354e-07
1856,5.394631443778053e-07
1857,5.193925858293369e-07
1858,5.162827960702998e-07
1859,3.8191299722711847e-07
1860,3.3962703582801623e-07
1861,3.131399921585398e-07
1862,3.7770365679534734e-07
1863,3.9607343182979093e-07
1864,3.337130749514472e-07
1865,3.883146462158038e-07
1866,4.10657719385199e-07
1867,3.576521976356162e-07
1868,2.7119909873363213e-07
1869,3.057083119983872e-07
1870,2.534449663471605e-07
1871,3.356292097578262e-07
1872,2.1891368362503272e-07
1873,2.771519973521208e-07
1874,2.6228534011352167e-07
1875,2.03114211672073e-07
1876,2.859765118046198e-07
1877,2.1337615407901467e-07
1878,3.1282479540095665e-07
1879,2.8774923066521296e-07
1880,2.0216215546042804e-07
1881,2.328817458874255e-07
1882,2.3360401257832564e-07
1883,2.0474658413149882e-07
1884,2.561458529726224e-07
1885,3.222817781534104e-07
1886,3.0137675821606535e-07
1887,4.1197515088242653e-07
1888,4.298936744362436e-07
1889,2.9195535944381845e-07
1890,3.0215721835702425e-07
1891,2.9512639798667806e-07
1892,2.776951077976264e-07
1893,3.239327099890943e-07
1894,3.472148080163606e-07
1895,3.268107775511453e-07
1896,2.818779876179178e-07
1897,2.9017033398304193e-07
1898,2.953661351057235e-07
1899,2.4155517053259246e-07
1900,2.3411649863191997e-07
1901,2.442278912440088e-07
1902,2.312743703214437e-07
1903,2.3652964387110842e-07
1904,2.1498500757388683e-07
1905,2.693916201224056e-07
1906,2.5052179353224346e-07
1907,2.90056362928226e-07
1908,2.3279984873170179e-07
1909,2.101375713436937e-07
1910,2.832399843555322e-07
1911,2.074945939511963e-07
1912,2.490103270247346e-07
1913,2.3014975170099206e-07
1914,2.591639827187464e-07
1915,2.038071755805504e-07
1916,2.2304547542262299e-07
1917,1.4695008587750635e-07
1918,1.0337738842736144e-07
1919,1.114149625891514e-07
1920,1.4084351107612747e-07
1921,2.430851964163594e-07
1922,2.1469791988693032e-07
1923,2.3036606933146686e-07
1924,1.418078738879558e-07
1925,1.9576756926653616e-07
1926,1.5827517074740172e-07
1927,1.6723836893106636e-07
1928,1.4168291784244502e-07
1929,2.2392217147171323e-07
1930,1.0503603675715567e-07
1931,1.3230213369297417e-07
1932,1.3151444022696523e-07
1933,1.273243555033332e-07
1934,1.1861764193099589e-07
1935,1.4601306475015008e-07
1936,1.066974846253288e-07
1937,1.309476260757947e-07
1938,1.6206517727823666e-07
1939,1.1164657109929976e-07
1940,1.2425336137766863e-07
1941,7.969057236323351e-08
1942,1.0012898599143227e-07
1943,1.0161323160673419e-07
1944,1.124615138792251e-07
1945,8.496165548876888e-08
1946,9.883984120051537e-08
1947,9.536697120893223e-08
1948,1.0980606646171509e-07
1949,1.1780409892026e-07
1950,1.3294202005909028e-07
1951,1.5245804263486207e-07
1952,2.0773263997853064e-07
1953,1.7884553926705848e-07
1954,1.495198063139469e-07
1955,1.61432453182897e-07
1956,1.4564307093678508e-07
1957,1.6963272742032132e-07
1958,1.2987422337573662e-07
1959,1.495894395020514e-07
1960,1.1903833296855737e-07
1961,1.5563877298063744e-07
1962,1.5347534088050452e-07
1963,1.1056950910415253e-07
1964,1.4053966879146174e-07
1965,1.3406506127466855e-07
1966,1.0967367813918827e-07
1967,1.2079321720648295e-07
1968,1.1093796814520829e-07
1969,8.947262841729753e-08
1970,9.887259011520655e-08
1971,9.660187316740121e-08
1972,9.080360285906863e-08
1973,9.482710794372906e-08
1974,1.0238540681939412e-07
1975,1.090892709498803e-07
1976,1.0055807564413044e-07
1977,7.874887586467594e-08
1978,9.742569773152354e-08
1979,9.304637416107653e-08
1980,1.0574380127081895e-07
1981,1.0373901204729918e-07
1982,1.1421803947087028e-07
1983,8.14675757965233e-08
1984,9.858314342636731e-08
1985,1.0948315321002156e-07
1986,9.171562709298087e-08
1987,9.166225112267057e-08
1988,1.0973693775895299e-07
1989,1.3994711878240196e-07
1990,1.264087075014686e-07
1991,1.324691112358778e-07
1992,9.972998782359355e-08
1993,1.0801454664033372e-07
1994,1.0813599260472984e-07
1995,1.0465330291253849e-07
1996,9.928851341101108e-08
1997,1.098030821822249e-07
1998,1.230177275601818e-07
1999,1.2111033242945268e-07
2000,1.0161472374647929e-07
2001,9.200545036947005e-08
2002,1.0602555988725726e-07
2003,7.958822578757463e-08
2004,9.294109304391895e-08
2005,8.557124431263219e-08
2006,7.000412693969338e-08
2007,6.670780550166455e-08
2008,8.174284005235677e-08
2009,7.199970752935769e-08
2010,8.739016976733183e-08
2011,1.0860080124075466e-07
2012,1.1914884368025014e-07
2013,1.6762641052991967e-07
2014,1.2429654816514812e-07
2015,1.5848513612581883e-07
2016,1.3650131336362392e-07
2017,1.5143980647280841e-07
2018,1.3888291050534463e-07
2019,1.673447940220285e-07
