year,premier_ADJ arrêt_NOUN
1800,3.458580977167003e-08
1801,6.429193000201394e-08
1802,6.713520406265161e-08
1803,9.361628516835196e-08
1804,8.15710812229753e-08
1805,1.7057266843423236e-07
1806,1.9307183407590855e-07
1807,7.259735443909676e-07
1808,6.594275294702356e-07
1809,8.945760652245838e-07
1810,5.475896731610419e-07
1811,3.2341290534532163e-07
1812,9.628621491231115e-07
1813,6.757992991879291e-07
1814,2.76907591079123e-07
1815,6.095725195720547e-07
1816,2.47983617640557e-07
1817,2.273035164535031e-07
1818,1.6928072454902576e-07
1819,6.076066298987826e-07
1820,2.2546313882543245e-07
1821,3.076784488298401e-07
1822,3.9601184198545525e-07
1823,4.812868500403411e-07
1824,3.629499563118088e-07
1825,5.7851758583638e-07
1826,6.746916039190864e-07
1827,8.811713172462987e-07
1828,1.0181254452845678e-06
1829,6.867114217823378e-07
1830,4.947060390225744e-07
1831,6.205300076000952e-07
1832,8.510350837376279e-07
1833,5.513807082024869e-07
1834,5.20866819897492e-07
1835,4.2655815946091025e-07
1836,4.5768308820637316e-07
1837,4.1886502799570735e-07
1838,5.415835144795267e-07
1839,5.719026718864484e-07
1840,4.465151661747768e-07
1841,5.412522425807254e-07
1842,5.628234491794615e-07
1843,3.4850774272010554e-07
1844,4.2646120101963447e-07
1845,4.313516162035569e-07
1846,4.115714489216771e-07
1847,1.0829592813621503e-06
1848,3.821480358823237e-07
1849,6.251043678240364e-07
1850,5.600921788584401e-07
1851,5.430427403307903e-07
1852,5.62511104362784e-07
1853,4.0848013327376975e-07
1854,5.289186129076029e-07
1855,5.455531209008768e-07
1856,3.7845252265356066e-07
1857,4.1883349055638064e-07
1858,3.396211241124547e-07
1859,3.167331783515692e-07
1860,2.5586458041182425e-07
1861,2.631507761141627e-07
1862,3.130964359443489e-07
1863,3.221530511243742e-07
1864,2.9487577535292075e-07
1865,2.4522660169168375e-07
1866,2.885308477695858e-07
1867,3.814309685878925e-07
1868,2.390899115356504e-07
1869,3.0424322972066875e-07
1870,2.173204447508681e-07
1871,2.506597729379223e-07
1872,2.0863320127073592e-07
1873,2.669758005779954e-07
1874,1.7864081769403128e-07
1875,2.0540281786551873e-07
1876,2.0435530379003808e-07
1877,2.0409893219941466e-07
1878,3.418124225884611e-07
1879,1.8144695934640964e-07
1880,1.8932646494995709e-07
1881,2.537992807583045e-07
1882,2.282797042507667e-07
1883,2.034827133456929e-07
1884,2.1851617226786857e-07
1885,2.8683077801794354e-07
1886,2.884698244720596e-07
1887,4.054462137137449e-07
1888,3.316141472531342e-07
1889,2.3055703390895133e-07
1890,2.8249405659153126e-07
1891,2.7791598122828276e-07
1892,3.2094782609348727e-07
1893,3.2085350221144893e-07
1894,2.2748557171325956e-07
1895,2.491706454499365e-07
1896,2.972102466358706e-07
1897,3.2862663423838256e-07
1898,2.7725937834510717e-07
1899,2.65876513694252e-07
1900,3.208070817883879e-07
1901,2.5428760985768406e-07
1902,2.7595794716006594e-07
1903,3.3103351437802075e-07
1904,2.343336520382877e-07
1905,3.24095670078961e-07
1906,2.669831626889163e-07
1907,2.694849878803751e-07
1908,2.3378212565816625e-07
1909,3.1905704123147416e-07
1910,2.891185566511467e-07
1911,2.894283577248302e-07
1912,2.849553286665696e-07
1913,2.778766594602189e-07
1914,3.0470183709496723e-07
1915,2.1794409432729367e-07
1916,3.2083387857539947e-07
1917,2.4235798934402197e-07
1918,2.0560613478437517e-07
1919,2.0993893801168895e-07
1920,2.142941522009778e-07
1921,2.7261890522822796e-07
1922,2.478986234066838e-07
1923,2.431052132934042e-07
1924,1.972418521845043e-07
1925,1.8696901804560184e-07
1926,1.8056743744665482e-07
1927,2.2521433740152474e-07
1928,2.5708593609508057e-07
1929,2.3729065468103272e-07
1930,2.3212963862206948e-07
1931,1.9959374597533497e-07
1932,1.9398379347279615e-07
1933,2.0303071579519383e-07
1934,1.8451633110316834e-07
1935,2.3457836917373243e-07
1936,1.842956569575449e-07
1937,2.2286278955618855e-07
1938,2.5152516158755134e-07
1939,2.1564610808155749e-07
1940,2.485067289725862e-07
1941,2.2136269794970076e-07
1942,1.6688164805600536e-07
1943,1.6258117430112407e-07
1944,1.3174063262511027e-07
1945,1.5249528306782167e-07
1946,1.9907179549250031e-07
1947,1.811972372145476e-07
1948,1.804733438248718e-07
1949,1.6001723834868642e-07
1950,2.44613305389052e-07
1951,2.0789733490289564e-07
1952,2.3304016405489847e-07
1953,2.564170853425196e-07
1954,2.3551811700883718e-07
1955,2.7969112803560847e-07
1956,3.0087938984735274e-07
1957,2.5533260128440816e-07
1958,2.4651285546184454e-07
1959,2.1082033585528848e-07
1960,2.8998291234927365e-07
1961,2.6958858967418564e-07
1962,2.409943427039707e-07
1963,1.9915444315898867e-07
1964,2.324075878412657e-07
1965,2.352978598629818e-07
1966,2.2045517411584115e-07
1967,2.336979134653916e-07
1968,1.7381779748859572e-07
1969,1.952955912543075e-07
1970,1.8808785418045204e-07
1971,1.741916770825469e-07
1972,1.790421322311886e-07
1973,1.9241081083976042e-07
1974,1.8114341360231379e-07
1975,2.1703624009106193e-07
1976,2.2225620055493778e-07
1977,1.9158309338962454e-07
1978,2.50692958836396e-07
1979,1.849223509875486e-07
1980,2.2740602201309912e-07
1981,1.8660371647882812e-07
1982,2.0050232940604928e-07
1983,2.5008650350599737e-07
1984,1.8904767640215425e-07
1985,2.123491977812364e-07
1986,1.8822684832997538e-07
1987,1.8699099602059732e-07
1988,2.9323149242088675e-07
1989,2.4641668616709467e-07
1990,2.1140766470750805e-07
1991,2.473538316394297e-07
1992,2.424375376008925e-07
1993,2.503721709956608e-07
1994,2.8115357419977727e-07
1995,2.429257950353758e-07
1996,2.4822128619206296e-07
1997,2.689935696409407e-07
1998,2.5461809549653935e-07
1999,2.7238397581896834e-07
2000,2.531532024008243e-07
2001,2.580533884355418e-07
2002,2.3483347710850921e-07
2003,2.370979110821736e-07
2004,2.1539429528871779e-07
2005,2.373476011285902e-07
2006,2.1783637116357113e-07
2007,1.9772673276463593e-07
2008,1.9413925400613152e-07
2009,2.1027728713818306e-07
2010,2.456372421022479e-07
2011,2.2752632666822592e-07
2012,2.4885087768211633e-07
2013,3.062459352776159e-07
2014,2.95150190510185e-07
2015,3.7437957800534605e-07
2016,3.0738686440656693e-07
2017,3.3130600840536317e-07
2018,3.1235747322000407e-07
2019,3.2984270958991146e-07
