year,voulait_VERB oser_VERB,voulait_VERB causer_VERB
1800,0.0,3.144164484325529e-09
1801,0.0,2.3811825844433088e-09
1802,0.0,0.0
1803,0.0,3.900678446910888e-09
1804,0.0,9.887403784603066e-09
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,9.360507036149102e-09
1811,0.0,0.0
1812,0.0,5.3344164641089264e-09
1813,2.300593315851529e-08,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,2.3176038865813098e-09,0.0
1817,0.0,1.556873407970727e-09
1818,1.1921177378582115e-09,0.0
1819,1.6561680027393777e-08,1.1386155129855524e-08
1820,0.0,4.746592452420373e-09
1821,0.0,6.903041693817613e-09
1822,3.0076847679083585e-09,1.2030739071633434e-08
1823,0.0,2.9648061783404955e-09
1824,0.0,1.6842225392110777e-08
1825,0.0,7.924898959288385e-09
1826,4.403992281964975e-09,7.0463874735082754e-09
1827,9.217273055917019e-10,1.3825909306319772e-08
1828,0.0,4.586150570418113e-09
1829,0.0,7.715858174606183e-09
1830,1.0436835840010872e-09,0.0
1831,1.5591206103948707e-09,4.677361609140007e-09
1832,0.0,1.3529969367098715e-09
1833,0.0,0.0
1834,1.8669061851994684e-09,4.1071935186209885e-08
1835,0.0,5.294161553592858e-09
1836,0.0,1.008112526790228e-08
1837,0.0,4.174734336004349e-09
1838,0.0,1.3886756633496589e-08
1839,4.194885327990505e-09,1.11863602825224e-08
1840,2.5478754661634184e-09,7.0066574764382494e-09
1841,0.0,6.420548537278137e-09
1842,0.0,4.024959032733477e-09
1843,0.0,3.5441467538532834e-09
1844,0.0,8.232841963717874e-09
1845,0.0,1.6182660544927785e-08
1846,5.854501328173001e-10,1.5807152919933287e-08
1847,0.0,3.289866512545814e-08
1848,0.0,9.65426583121598e-09
1849,0.0,2.513824481908955e-09
1850,0.0,1.2899092460827433e-08
1851,1.9348316282474798e-09,4.514607354622058e-09
1852,0.0,2.6042181744401205e-09
1853,0.0,1.5527023222716707e-08
