year,grand_ADJ are_NOUN,grand_ADJ quart_NOUN
1800,3.144164484325529e-09,3.458580977167003e-08
1801,2.3811825844433088e-09,2.690736380372982e-07
1802,2.2378401354217203e-09,1.3427040812530322e-07
1803,5.851017448321727e-09,2.340407121437238e-07
1804,9.887403784603066e-09,1.1370514130248921e-07
1805,2.842877711017877e-09,2.6723051860244595e-07
1806,5.76333825108577e-09,1.2679343797117326e-07
1807,2.8469551160981155e-09,1.224190668835945e-07
1808,0.0,9.290903335568146e-08
1809,0.0,8.810219043198231e-08
1810,0.0,2.2465216886757844e-07
1811,1.0028307073639553e-08,1.2535383575595915e-07
1812,1.600324850414836e-08,1.8670457180292033e-08
1813,5.751483289628823e-09,1.2078115219082974e-07
1814,3.1466771410748606e-09,1.6362720600682223e-07
1815,8.091670444798638e-09,7.012781111370714e-08
1816,6.952811659743929e-09,9.502176112619054e-08
1817,4.670620334934483e-09,4.0478710161551135e-08
1818,0.0,1.2398024296089716e-07
1819,4.140420006848444e-09,1.387040668987538e-07
1820,2.3732962262101864e-09,1.4121113167675503e-07
1821,1.97229765852569e-09,2.2878653282987216e-07
1822,3.0076847679083585e-09,1.1328945959121484e-07
1823,9.882686891060644e-10,1.956772024414022e-07
1824,2.5263338088166165e-09,1.1115868403521745e-07
1825,1.7610886082763955e-09,1.215151144151605e-07
1826,3.5231937367541377e-09,7.310627125889368e-08
1827,9.217273055917019e-10,1.6867609531345806e-07
1828,3.668920500743411e-09,1.3391559150477406e-07
1829,3.429270423183084e-09,5.401101077495696e-08
1830,2.0873671680021744e-09,7.931995327226105e-08
1831,1.5591206103948707e-09,1.0602020239502963e-07
1832,6.764984572527055e-09,1.569476495433264e-07
1833,3.4750886612755494e-09,8.68772147555319e-08
1834,1.8669061851994684e-09,5.507373401769655e-08
1835,5.294161553592858e-09,9.832014313815307e-08
1836,6.720750067579218e-10,1.263501019366231e-07
1837,3.478945576063097e-09,1.4124518088465265e-07
1838,3.1560809521380406e-09,1.0793797144970085e-07
1839,2.7965900706306e-09,8.739343826391632e-08
1840,3.1848443882154243e-09,4.0766007458614695e-08
1841,2.5682194149112547e-09,8.410918894696806e-08
1842,2.683306021822318e-09,7.982835370512475e-08
1843,2.953455480181333e-09,4.7255287682901326e-08
1844,3.2931368743049916e-09,3.1833653935109396e-08
1845,3.348136878855712e-09,4.743193926515232e-08
1846,5.854501328173001e-09,6.908311434017378e-08
1847,5.3932236454556914e-09,4.853901458545806e-08
1848,5.63165514222419e-09,6.516629724728773e-08
1849,5.865590679832167e-09,5.111443002192573e-08
1850,4.073397619208663e-09,4.820187271548093e-08
1851,4.514607354622058e-09,5.3530342825069965e-08
1852,6.510545436100301e-09,4.036538214791108e-08
1853,5.971931837933653e-09,6.927440665549511e-08
1854,2.0782657816909023e-09,7.63762670885626e-08
1855,4.2455496895854594e-09,4.988520885262915e-08
1856,4.141751386299575e-09,6.73034605824796e-08
1857,2.9289055625270066e-09,8.298565745690212e-08
1858,1.9574704079872163e-09,5.5787907626836386e-08
1859,3.5645213447565993e-09,6.008764330545091e-08
1860,3.661747127736703e-09,8.238931314963338e-08
1861,4.2443675241088386e-09,9.384768162590262e-08
1862,1.3553959066214816e-09,8.13237548413781e-08
1863,9.489779628779615e-09,5.194405616748554e-08
1864,4.794728170054441e-09,5.178306139441702e-08
