year,pouvait_VERB oser_VERB,pouvait_VERB causer_VERB
1800,1.8864987794131594e-08,7.231578535993322e-08
1801,0.0,1.904946067554647e-08
1802,8.951360541686881e-09,3.8043282302169246e-08
1803,4.095712213825209e-08,5.851017803593095e-08
1804,1.9774807569206132e-08,1.2112069214254007e-07
1805,8.528632911009026e-09,5.1171799242411e-08
1806,3.458002950651462e-08,9.221341201737232e-08
1807,2.8469551160981155e-09,1.0249038240317532e-07
1808,0.0,9.970725756147658e-08
1809,2.0331274441787173e-08,6.09938268780752e-08
1810,1.1700633351097167e-08,8.658469141664682e-08
1811,0.0,1.42903374467096e-07
1812,4.5342538612658245e-08,1.520308643421231e-07
1813,1.0352670187785407e-07,1.4378707646756084e-07
1814,5.664018942752591e-08,3.4613449884091096e-08
1815,5.394447111228828e-09,1.1598061178119679e-07
1816,1.1588019432906549e-08,1.3442102897442965e-07
1817,1.2454987263765815e-08,2.086210315610515e-07
1818,7.152706427149269e-09,2.22926018977887e-07
1819,8.280840013696888e-09,8.591371170041384e-08
1820,1.542642635854463e-08,1.685040302845664e-07
1821,1.676452932031225e-08,1.9722976674074744e-07
1822,3.107940926838637e-08,2.025174410391628e-07
1823,3.9530747564242574e-09,1.5219337967664615e-07
1824,1.6842225392110777e-08,1.642116984612585e-07
1825,1.4969252504215547e-08,1.2327620879659662e-07
1826,3.6112734136395375e-08,1.4268934478423034e-07
1827,2.7651818612639545e-08,1.8803237367137626e-07
1828,1.1006761724274838e-08,1.6326696083979186e-07
1829,4.543783305166471e-08,1.8175133220665884e-07
1830,4.4878394334091354e-08,2.0978039572128182e-07
1831,9.354723218280014e-09,8.731075240575592e-08
1832,2.841293600397421e-08,1.610066391322107e-07
1833,3.938433579264711e-08,1.355284524606759e-07
1834,2.8003592333902816e-08,1.3721761149554368e-07
1835,2.8739734148075513e-08,1.921024335160837e-07
1836,1.8818100855355624e-08,1.834764731256655e-07
1837,3.75726116885744e-08,1.3985361135837593e-07
1838,2.3354999711955315e-08,1.1993107307262107e-07
1839,2.3771015378315496e-08,1.5451159640633705e-07
1840,5.923810419972142e-08,2.1338456690500607e-07
1841,1.8619591202195807e-08,1.3675767718268617e-07
1842,5.2995293486901573e-08,1.82464816589345e-07
1843,3.721353891705803e-08,1.3763103368091834e-07
