year,voulaient_VERB ouvrir_VERB,voulaient_VERB couvrir_VERB
1800,3.144164484325529e-09,3.144164484325529e-09
1801,1.1905912700171939e-08,9.524730337773235e-09
1802,0.0,0.0
1803,1.1702034896643454e-08,2.3404069793286908e-08
1804,0.0,2.4718509461507665e-09
1805,0.0,0.0
1806,0.0,4.3225035994964855e-08
1807,0.0,0.0
1808,6.798221985349073e-09,2.2660739951163578e-09
1809,1.3554183553310395e-08,4.518061036407062e-09
1810,0.0,2.3401266702194334e-08
1811,2.5070767684098882e-09,1.7549536934780008e-08
1812,1.600324850414836e-08,0.0
1813,2.8757416448144113e-09,2.8757416448144113e-09
1814,0.0,1.2586708564299443e-08
1815,2.697223555614414e-09,2.697223555614414e-09
1816,0.0,1.3905623319487859e-08
1817,7.784366928831332e-09,2.9580593974287694e-08
1818,4.768470951432846e-09,1.4305412854298538e-08
1819,0.0,3.1053151161586356e-09
1820,1.0679833017945839e-08,1.6613073583471305e-08
1821,8.875339574387908e-09,5.9168927535324656e-09
1822,0.0,2.0051231786055723e-09
1823,0.0,3.9530747564242574e-09
1824,5.052667617633233e-09,9.263223965660927e-09
1825,5.283265824829186e-09,4.4027217427355936e-09
1826,2.4662355713189754e-08,5.284790383086602e-09
1827,2.7651818612639545e-09,1.7512819638909605e-08
1828,7.337841001486822e-09,1.0089530988466322e-08
1829,5.143905745796928e-09,1.7146351893870815e-08
1830,2.0873671680021744e-09,1.0436835840010872e-09
1831,0.0,7.795603274018958e-09
1832,2.4353944638733083e-08,2.570694235259907e-08
1833,3.243415847009601e-08,4.6334514003376626e-09
1834,1.0267983796552471e-08,2.42697808516823e-08
1835,3.781543966852041e-09,6.050470346963266e-09
1836,4.032449929525228e-09,8.736974699274924e-09
1837,1.6698937344017395e-08,9.74104708006962e-09
1838,1.3886756633496589e-08,1.2624323808552163e-08
1839,1.677954131196202e-08,1.4682098203877558e-08
1840,2.5478754661634184e-09,1.7198159341091923e-08
1841,5.1364388298225094e-09,1.4767261191650505e-08
1842,1.0733224087289273e-08,1.8112315203211438e-08
1843,3.5441467538532834e-09,8.860366662588604e-09
1844,9.330554107123135e-09,8.781698035420504e-09
1845,1.9530798311961917e-08,1.674068350610014e-08
1846,3.5127007969038004e-09,1.1123552745573306e-08
1847,8.629157832729106e-09,3.55952778363644e-08
1848,2.091757700384278e-08,8.84974404868899e-09
1849,1.0893239199560867e-08,7.54147322368226e-09
1850,4.0055077477063605e-08,6.1100964288129944e-09
1851,1.5478653025979838e-08,3.2247193804124663e-09
1852,1.7578472011337e-08,6.510545436100301e-10
1853,7.763511611358354e-09,7.166318205520383e-09
1854,8.832629738719788e-09,1.1950028522278444e-08
1855,1.5920811335945473e-08,7.960405667972736e-09
1856,1.7602443946884705e-08,6.73034605824796e-09
1857,6.345961978126979e-09,8.78671624349181e-09
1858,1.2234189661342043e-08,3.9149408159744326e-09
1859,1.5276519604867644e-08,3.055304009791371e-09
1860,2.334363813361051e-08,1.1900677776566226e-08
1861,1.839225838295988e-08,2.8295783494058924e-09
1862,4.9697850279528666e-09,1.3102160245637151e-08
1863,1.3485475847119233e-08,3.496234635136375e-09
1864,1.4384183621984903e-08,4.794727948009836e-10
1865,1.7886009118228685e-08,2.8241067262513297e-09
1866,1.4596838404656864e-08,1.2650593461671633e-08
1867,2.426405742994575e-08,7.76449837758264e-09
1868,9.87974857480367e-09,7.903798504571569e-09
1869,5.860222973552709e-09,5.371870948067681e-09
1870,1.6628741050794815e-08,1.2614907340946502e-08
1871,2.1242353653860846e-08,2.1242354542039266e-09
1872,2.4189358072135292e-08,1.8142017887967654e-09
1873,1.3169209722718733e-08,1.0176207432266438e-08
1874,2.1508592240593316e-08,3.5847653734322193e-09
1875,9.154443425529735e-09,8.010138330405425e-09
1876,1.0278225381910033e-08,3.02300739996042e-09
1877,2.6594708657512456e-08,0.0
1878,7.2469061862534545e-09,2.4156354694326865e-09
1879,1.9549840857280287e-08,4.887460214320072e-09
1880,8.984985200299889e-09,6.417846254436199e-10
1881,1.2550513517339823e-08,4.183504653809678e-09
1882,7.986462158271479e-09,1.3310770263785798e-09
1883,1.2638677659992936e-08,3.791603475633565e-09
1884,1.3203393933736152e-08,2.6406787867472303e-09
1885,1.6114089618213256e-08,0.0
1886,8.38950331427668e-09,0.0
1887,1.5016526688782506e-08,0.0
1888,6.340614699951175e-09,1.268122939990235e-09
1889,8.771191772893872e-09,1.2530273485467092e-09
1890,7.865263995654459e-09,1.3108772956016423e-09
1891,5.736798147637501e-09,3.1871101313640793e-09
1892,9.402768341715273e-09,0.0
1893,3.079208221734575e-09,6.158416554491453e-10
1894,9.452309157609307e-09,1.8904617871129403e-09
1895,6.018614495673091e-09,5.416753268150387e-09
1896,7.076434549446731e-09,2.948514543632541e-09
1897,1.5732126712464378e-08,0.0
1898,1.3014216371232123e-08,3.3950129374460403e-09
1899,3.3165470370022376e-09,1.1055156790007459e-09
1900,8.30568502863116e-09,5.191053142894475e-10
1901,3.353243460679778e-09,5.029864968975062e-09
1902,7.365425602756659e-09,1.4730852093691738e-09
1903,8.100330184390714e-09,4.320176216765503e-09
1904,1.3974025492302644e-08,4.299700151477737e-09
1905,7.2250627702885595e-09,0.0
1906,6.6874399351490865e-09,0.0
1907,7.199980611716228e-09,4.6285588695127444e-09
1908,6.875944702500192e-09,0.0
1909,1.1001967115120692e-09,5.500983557560346e-10
1910,4.275320542035388e-09,2.137660271017694e-09
1911,4.788336838146279e-09,2.6601871816467337e-09
1912,7.293189607793238e-09,3.646594803896619e-09
1913,1.0075680734189518e-08,0.0
1914,1.2723813114234872e-08,2.0090231700464756e-09
1915,0.0,0.0
1916,2.197492410260793e-09,0.0
1917,9.869782324756216e-09,5.483212106582869e-09
1918,3.44591288836682e-09,0.0
1919,1.4732557396257562e-08,9.207848372660976e-10
1920,8.329454459499175e-09,0.0
1921,3.7863738810983705e-09,1.5145494858259667e-09
1922,4.426761179843197e-09,1.4755870969551665e-09
1923,1.0615948120573648e-09,0.0
1924,6.445812328337297e-09,2.578324886925998e-09
1925,6.598906754362588e-09,2.1996355847875293e-09
1926,8.916910765321973e-09,3.343841648018042e-09
1927,1.8953683067479687e-08,0.0
1928,2.2852082448565625e-09,3.4278122562625413e-09
1929,8.912325100141061e-09,4.4561625500705304e-09
1930,8.402882833991043e-09,2.100720708497761e-09
1931,1.1405356659111021e-08,2.2810713318222042e-09
1932,4.383814644626227e-09,2.1919073223131136e-09
1933,2.2941324395731044e-09,1.1470662197865522e-09
1934,1.1981580172459871e-09,2.3963160344919743e-09
1935,0.0,2.393656828303392e-09
1936,6.0623572828433225e-09,6.0623572828433225e-09
1937,1.7627565185307503e-08,1.2591118148108649e-09
1938,5.186085783037697e-09,3.8895642262559704e-09
1939,6.117620188206274e-09,0.0
1940,7.607348528892999e-09,0.0
1941,2.6563522936839945e-08,0.0
1942,9.102635090130207e-09,3.034211770724937e-09
1943,2.9032352077962287e-09,0.0
1944,3.2131861615880553e-09,3.2131861615880553e-09
1945,8.714016175304096e-09,0.0
1946,8.352662561605939e-09,0.0
1947,4.7683483828109274e-09,2.3841741914054637e-09
1948,3.2615663503321457e-09,0.0
1949,6.8719057111366055e-09,2.945102384188658e-09
1950,3.190608444114673e-09,2.1270722960764488e-09
1951,2.1322803522849654e-09,1.0661401761424827e-09
