year,tout_ADV ouvert_ADJ,tout_ADV couvert_ADJ
1800,1.8864987794131594e-08,2.7668647817336023e-07
1801,7.143547975374531e-09,2.3573707608193217e-07
1802,1.5664880947952042e-08,3.3791386044867977e-07
1803,3.900678446910888e-09,2.691468061755131e-07
1804,0.0,2.496569357912648e-07
1805,0.0,2.388017321663938e-07
1806,2.881669125542885e-09,2.2477019623323713e-07
1807,5.693910232196231e-09,2.0782771992244875e-07
1808,1.1330369531492579e-08,2.0168058600944505e-07
1809,3.388545621874073e-08,2.3042110797177884e-07
1810,0.0,4.095221868283261e-07
1811,2.757784400841956e-08,2.807925909564801e-07
1812,0.0,1.7336853375127248e-07
1813,0.0,1.121539270343419e-07
1814,0.0,2.0138733702879108e-07
1815,0.0,9.440282155992463e-08
1816,3.0128852301913867e-08,2.4798362119327066e-07
1817,1.5568733857662664e-08,1.4011860760554384e-07
1818,1.4305412854298538e-08,1.585516571367407e-07
1819,2.070209959015301e-08,1.738976334042519e-07
1820,3.5599443393152796e-09,1.483310114736014e-07
1821,5.9168927535324656e-09,2.6231558236666785e-07
1822,6.015369535816717e-08,2.807172450047801e-07
1823,3.4589405117912975e-08,2.5003199122242137e-07
1824,3.536867154707579e-08,1.8947504099031676e-07
1825,2.0252519661312363e-08,3.2756248624643547e-07
1826,1.2331177856594877e-08,2.386963737777137e-07
1827,2.3043183361437514e-08,1.5116327450881428e-07
1828,1.6510142586412258e-08,1.9078386037651995e-07
1829,2.743416338546467e-08,2.0489891028319107e-07
1830,1.2524203008013046e-08,2.3065407650513237e-07
1831,1.5591206103948707e-09,1.933309619062129e-07
1832,4.058990921151917e-09,1.4341767085035428e-07
1833,8.108539617524002e-09,2.3398929072104835e-07
1834,1.8669062740173104e-08,1.9975896869972587e-07
1835,3.479020449503878e-08,2.435314385706988e-07
1836,1.68018754465038e-08,2.533722831543628e-07
1837,3.339787468803479e-08,1.934293636374207e-07
1838,2.651107955387033e-08,2.1461349963836085e-07
1839,3.355908262392404e-08,1.8457494754819948e-07
1840,1.0828470564661075e-08,1.9300156983703687e-07
1841,3.852329122366882e-09,2.741574345321851e-07
1842,1.2074877098200432e-08,1.7038993371798483e-07
1843,7.678984559333912e-09,1.7543525221430656e-07
1844,1.2623690537338916e-08,2.2557986700810773e-07
1845,1.8414752389617206e-08,2.1651285142532117e-07
1846,2.0490753982471688e-08,1.6568239402658946e-07
1847,1.0247124926365814e-08,1.461563590154924e-07
1848,2.494018680465615e-08,1.4642303369782894e-07
1849,2.0948537127196687e-08,1.8015742386801037e-07
1850,1.9009188889640427e-08,1.371377225112269e-07
1851,7.739326512989919e-09,1.4382248836319889e-07
1852,1.3672145193766028e-08,1.4778937895698618e-07
1853,1.0749477752369785e-08,1.8871304807710487e-07
