year,pourrait_VERB oser_VERB,pourrait_VERB causer_VERB
1800,3.144164484325529e-09,9.432493186523061e-08
1801,2.3811825844433088e-09,8.572257570449437e-08
1802,1.1189200677108602e-08,1.7455153056289419e-07
1803,3.900678446910888e-09,1.5407680109547073e-07
1804,4.943701892301533e-09,2.1999473176492756e-07
1805,5.685755422035754e-09,1.9900143399809167e-07
1806,2.881669125542885e-09,1.2391177506287931e-07
1807,0.0,2.0213381901612593e-07
1808,0.0,9.744118045773575e-08
1809,6.7770917766551975e-09,1.8749953767382976e-07
1810,0.0,1.591286178381779e-07
1811,7.521229861140455e-09,8.273353557797236e-08
1812,2.6672082320544632e-09,1.7870294755084615e-07
1813,1.1502966579257645e-08,2.1855636589407368e-07
1814,6.293354282149721e-09,1.2272040805783035e-07
1815,2.697223555614414e-09,2.1847510822681215e-07
1816,0.0,1.321034233114915e-07
1817,3.113746815941454e-09,1.8059731132780144e-07
1818,1.1921177378582115e-09,1.7166495069886878e-07
1819,1.035105001712111e-09,1.8528379541749018e-07
1820,7.119888678630559e-09,2.076634189052129e-07
1821,8.875339574387908e-09,1.9328517453232053e-07
1822,8.02049271442229e-09,2.556532194830652e-07
1823,4.941343334508019e-09,2.0358335461878596e-07
1824,2.105278085196005e-08,1.810539203006556e-07
1825,8.805443041381977e-10,2.1837499275534356e-07
1826,0.0,1.8320606898214464e-07
1827,8.295545583791863e-09,2.590053611584153e-07
1828,2.7516904310687096e-09,2.7883794473382295e-07
1829,6.001223074036943e-09,2.3233306478687155e-07
1830,1.0436835840010872e-09,2.8283824349273345e-07
1831,0.0,2.556957667820825e-07
1832,5.411987746839486e-09,2.1647950632086577e-07
1833,1.2741991461950875e-08,2.2935584809147258e-07
1834,2.333632664885954e-08,3.0243879223235126e-07
1835,3.781543966852041e-09,3.4714574326244474e-07
1836,4.032449929525228e-09,2.076711780318874e-07
1837,1.0436836284100082e-08,3.131050902993593e-07
1838,6.943378316748294e-09,3.219202540094557e-07
1839,2.027527834513876e-08,2.4889652650017524e-07
1840,4.458782232319436e-09,2.6243117190460907e-07
1841,1.1556987367100646e-08,2.760835968729225e-07
1842,4.695785538189057e-09,3.1461763683182653e-07
1843,2.953455480181333e-09,1.7011903707953024e-07
1844,1.4270259640625227e-08,2.5851124973996775e-07
1845,5.580227835366713e-09,2.3883376343292184e-07
1846,1.4050803187615202e-08,1.7270778585043445e-07
1847,4.314578916364553e-09,2.248974197982534e-07
1848,8.04522137798358e-09,2.083712473677224e-07
1849,2.513824481908955e-09,2.329477410967229e-07
1850,8.82569484161877e-09,2.0706437453554827e-07
1851,5.8044946626978344e-09,2.1605619338060933e-07
1852,2.148479971708639e-08,1.6992522944292432e-07
1853,1.0749477752369785e-08,2.2394743837139686e-07
1854,9.871762074453727e-09,2.415983999526361e-07
1855,1.326734277995456e-08,2.1015470963448024e-07
1856,1.5531567143511893e-09,2.1692423501917801e-07
1857,1.4644527812635033e-09,1.7719878542266088e-07
1858,1.9574704079872163e-09,1.6687435788753646e-07
1859,1.2730433596175317e-08,1.705878105440206e-07
1860,6.865775947773045e-09,1.8857997474697186e-07
1861,1.6034276129062164e-08,1.858089717643452e-07
1862,1.7168348520613108e-08,2.2680291067445069e-07
1863,3.995696662428827e-09,2.1826492968557432e-07
1864,2.445311331200628e-08,1.5151340448937844e-07
1865,6.589582213223366e-09,1.6332749908087862e-07
1866,6.3252967308358166e-09,1.9511108462211268e-07
1867,9.7056229719783e-10,1.499518731407079e-07
1868,1.2349684830326169e-08,2.5341554987790005e-07
1869,7.813630631403612e-09,1.5920272744551767e-07
1870,9.17447806614291e-09,2.0183851745514403e-07
1871,1.0621177271019633e-09,1.911811864374613e-07
1872,5.442605477412599e-09,1.86862777695751e-07
1873,4.788803575905831e-09,2.0531994948669308e-07
1874,1.6728906260254917e-08,1.7625096404572105e-07
1875,5.721527251978387e-09,1.3445588820104604e-07
1876,3.627608879952504e-09,1.7654363659858063e-07
1877,8.658742167710898e-09,1.8307055427158048e-07
1878,4.22736201599605e-09,1.8600393048018304e-07
