year,put_VERB ouvrir_VERB,put_VERB couvrir_VERB
1800,1.8864987794131594e-08,6.288328968651058e-09
1801,5.714838380299625e-08,0.0
1802,4.0281122437590966e-08,6.713520406265161e-09
1803,2.5354410126965377e-08,1.1702034896643454e-08
1804,9.887403784603066e-09,7.4155526164076946e-09
1805,3.695740957709859e-08,8.528632911009026e-09
1806,2.881669125542885e-08,1.152667650217154e-08
1807,3.131650672116848e-08,2.8469551160981155e-09
1808,1.5862518409903714e-08,0.0
1809,1.3554183553310395e-08,0.0
1810,9.360507036149102e-09,2.3401267590372754e-09
1811,5.0141535368197765e-09,0.0
1812,3.467370746079723e-08,0.0
1813,0.0,8.627225156487839e-09
1814,6.293354282149721e-09,2.8320094713762956e-08
1815,8.091670444798638e-09,3.236668177919455e-08
1816,5.3304887615013286e-08,2.3176038865813098e-09
1817,9.341240669868967e-09,6.227493631882908e-09
1818,2.2650237241350624e-08,3.5763532135746345e-09
1819,1.7596784473994376e-08,3.1053151161586356e-09
1820,3.441279616822612e-08,2.3732962262101864e-09
1821,2.9584464655840748e-08,6.903041693817613e-09
1822,3.5089655625597516e-08,2.105379337535851e-08
1823,3.261286707356703e-08,1.7788837070042973e-08
1824,3.705289586264371e-08,3.3684450784221553e-09
1825,1.3208164340028361e-08,8.805443041381977e-10
1826,5.460950447400137e-08,2.290075862276808e-08
1827,1.6591091167583727e-08,5.530363722527909e-09
1828,4.769596628761974e-08,2.7516904310687096e-09
1829,4.372319750700626e-08,1.457439946506156e-08
1830,2.1917355041978226e-08,1.1480519646056564e-08
1831,2.494592976631793e-08,1.4032085715598441e-08
1832,2.841293600397421e-08,1.3529969367098715e-09
1833,1.2741991461950875e-08,6.950177322551099e-09
1834,5.880754372356023e-08,4.667265685043276e-09
1835,1.663879345414898e-08,5.294161553592858e-09
1836,1.4785650037651976e-08,6.72075017860152e-09
1837,5.287997240088771e-08,1.948209416013924e-08
1838,4.7341213615936795e-08,1.2624323808552163e-08
1839,5.3135210009713774e-08,1.677954131196202e-08
1840,3.758116307039927e-08,1.1465439264668476e-08
1841,2.0545755319290038e-08,9.630822361827995e-09
1842,2.6162233268678392e-08,5.366612043644636e-09
1843,2.4809025944705354e-08,5.31621990873532e-09
1844,4.9397051782307244e-08,4.390849017710252e-09
1845,2.622707206967334e-08,1.4508592549589139e-08
1846,2.86870562860031e-08,5.269050973311096e-09
1847,2.8044762956369595e-08,8.089835468183537e-09
1848,2.654923214606697e-08,1.769948809737798e-08
1849,2.3462362719328667e-08,1.0893239199560867e-08
1850,4.2091777174846357e-08,3.1229383523623255e-08
1851,3.611685883697646e-08,5.8044946626978344e-09
1852,3.5156944022674e-08,7.161600201754936e-09
1853,4.777545470346922e-08,2.09017620989016e-08
1854,3.3771819119010615e-08,1.454786069388092e-08
1855,7.323573214534917e-08,7.960405667972736e-09
1856,5.0736453260924463e-08,1.1389816201301528e-08
1857,4.930324237761852e-08,2.1966791052818735e-08
1858,3.52344677878591e-08,4.404308473482388e-09
1859,3.4626779665813956e-08,2.2405561850291633e-08
1860,4.394096464466202e-08,7.323494255473406e-09
1861,2.971057178058345e-08,1.8863854922557266e-09
1862,4.246907181482129e-08,8.132375661773494e-09
1863,3.795911851511846e-08,4.495158911765884e-09
1864,6.376988181955312e-08,4.794728170054441e-09
1865,4.8009813014004976e-08,1.6473954644879996e-08
1866,2.7247432754506917e-08,8.75810357570117e-09
1867,3.736664666575962e-08,1.552899675516528e-08
1868,3.7049055379156925e-08,1.0373735648272486e-08
1869,3.90681549333749e-08,4.395167341186834e-09
1870,2.465641024684828e-08,1.0321287824410774e-08
1871,2.8677177965619194e-08,1.3807530230280918e-08
1872,5.07976487540418e-08,9.675742873582749e-09
1873,2.573981916498269e-08,5.9860045809045914e-09
1874,4.779687401423871e-08,8.364453130127458e-09
1875,4.9777284516494547e-08,1.4875970677508121e-08
1876,2.7207066821688386e-08,3.02300739996042e-09
1877,4.824156363270049e-08,5.566334504436554e-09
1878,1.69094480639842e-08,1.3285995414946683e-08
1879,5.803859082220697e-08,1.0385853066452455e-08
1880,4.813384535395926e-08,1.4761046607247863e-08
1881,3.416528571165145e-08,4.183504653809678e-09
1882,4.3925542314582344e-08,6.655385131892899e-10
1883,3.728409936343269e-08,1.2006744043446815e-08
1884,4.027035060971684e-08,6.601696966868076e-09
1885,2.707166935067562e-08,9.66845359329227e-09
1886,4.065682190912412e-08,7.098810428374236e-09
1887,3.4603299781110763e-08,8.48760173255414e-09
1888,3.297119732792453e-08,8.876860135842435e-09
1889,4.636201111907212e-08,8.771191772893872e-09
1890,2.0974036729626278e-08,2.0318598359381213e-08
1891,2.6134301833735663e-08,1.1473596295275001e-08
1892,2.570090096298827e-08,5.641661360300532e-09
1893,3.4487133149241345e-08,6.774258043407144e-09
1894,3.843938856107343e-08,1.0082462864602348e-08
1895,2.166701307260155e-08,1.6852119699706236e-08
1896,3.4202766840962795e-08,2.358811590497112e-09
1897,2.330685333618021e-08,5.826713334045053e-09
1898,3.451596342074481e-08,1.13167097914868e-09
1899,3.537650172802387e-08,1.492446166651007e-08
1900,3.322274011452464e-08,3.114631885736685e-09
1901,4.694540578498163e-08,8.38310842965484e-09
1902,3.437198614619774e-08,3.928227076954727e-09
1903,1.8900770726304472e-08,1.296052865029651e-08
1904,4.03096898082822e-08,5.374625189347171e-09
1905,2.7868098939620722e-08,4.64468330463319e-09
1906,3.035068729673185e-08,1.1317205839134203e-08
1907,2.4171363577352167e-08,3.599990305858114e-09
1908,4.518478036175111e-08,3.929111258571538e-09
