year,doit_VERB analyser_VERB,doit_VERB canaliser_VERB
1800,6.288328968651058e-09,0.0
1801,1.4287095950749062e-08,0.0
1802,1.7902721083373763e-08,0.0
1803,1.3652374342143503e-08,0.0
1804,4.943701892301533e-09,0.0
1805,3.980028751016107e-08,0.0
1806,8.645007376628655e-09,0.0
1807,1.7081731584767113e-08,0.0
1808,6.798221985349073e-09,0.0
1809,1.581321384946932e-08,0.0
1810,2.106114038724627e-08,0.0
1811,1.0028307073639553e-08,0.0
1812,1.600324850414836e-08,2.6672082320544632e-09
1813,1.4378708002027452e-08,0.0
1814,6.293354282149721e-09,0.0
1815,3.776112933451259e-08,0.0
1816,4.6352077731626196e-09,0.0
1817,6.227493631882908e-09,0.0
1818,3.5763530803478716e-08,0.0
1819,7.24573512300708e-09,0.0
1820,1.0679833017945839e-08,0.0
1821,9.86148829262845e-10,0.0
1822,9.023054303725075e-09,0.0
1823,9.882686891060644e-10,0.0
1824,2.5263338088166165e-08,0.0
1825,1.7610886082763955e-09,0.0
1826,8.807984341885344e-10,0.0
1827,3.6869092223668076e-09,0.0
1828,8.255071293206129e-09,0.0
1829,8.573175946935407e-09,0.0
1830,1.982998831806526e-08,0.0
1831,1.5591206103948707e-09,0.0
1832,1.7588959622116818e-08,0.0
1833,3.4750886612755494e-09,0.0
1834,1.120143711119681e-08,0.0
1835,1.3613558280667348e-08,0.0
1836,7.392825018825988e-09,0.0
1837,1.6003149028165353e-08,0.0
1838,6.943378316748294e-09,6.312161904276081e-10
1839,6.292327547896548e-09,6.9914751765765e-10
1840,1.7198159341091923e-08,1.9109065441114126e-09
1841,1.3483152372373297e-08,5.1364388298225094e-09
1842,1.2074877098200432e-08,0.0
1843,2.1855571574747046e-08,0.0
1844,8.781698035420504e-09,5.488561272137815e-10
1845,2.17628883802945e-08,0.0
1846,7.025401593807601e-09,1.1709002656346001e-09
1847,2.3190860787281053e-08,5.393223645455691e-10
1848,1.206783295515379e-08,0.0
1849,2.0948537127196687e-08,0.0
1850,1.1541293254424545e-08,2.7155984128057753e-09
1851,3.1602251482354404e-08,6.449438760824933e-10
1852,1.8229528109259263e-08,0.0
1853,1.1943863675867306e-08,0.0
1854,7.27393034694046e-09,0.0
1855,6.8990182455763716e-09,0.0
1856,4.659470143053568e-09,0.0
1857,9.274867096564776e-09,0.0
1858,9.297984604472731e-09,0.0
1859,5.0412516827691434e-08,2.036869339860914e-09
1860,1.0985241161165504e-08,0.0
1861,1.4619487842537637e-08,0.0
1862,5.421583537668084e-08,0.0
1863,5.9935452156878455e-09,0.0
1864,2.205574922697906e-08,0.0
1865,3.247722446531043e-08,0.0
1866,1.3623716377253459e-08,0.0
1867,4.85281148598915e-09,0.0
1868,1.2843672791973404e-08,0.0
1869,1.3185501579471293e-08,0.0
1870,2.0069171213776826e-08,0.0
1871,3.18635318130589e-09,0.0
1872,1.9351485747165498e-08,0.0
1873,2.2746817762708815e-08,0.0
1874,1.1949218503559678e-08,0.0
1875,1.94531928343622e-08,0.0
1876,1.209202959984168e-08,6.04601479992084e-10
1877,3.0924081073635534e-09,0.0
1878,8.4547240319921e-09,6.039088673581716e-10
1879,1.3440515367335593e-08,0.0
1880,2.1178893305773272e-08,6.417846254436199e-10
1881,4.044054335849978e-08,0.0
1882,1.5972924316542958e-08,0.0
1883,3.791603475633565e-09,0.0
1884,1.1883054540362536e-08,0.0
1885,1.4824961702686323e-08,0.0
1886,1.355227396970804e-08,0.0
1887,1.0446279397058333e-08,0.0
1888,1.521747527988282e-08,0.0
1889,3.759081934617825e-09,0.0
1890,8.520702365899524e-09,0.0
1891,2.2309770031370135e-08,0.0
1892,1.6298132621272998e-08,0.0
1893,1.0469308087124318e-08,0.0
1894,1.764431090123253e-08,0.0
1895,1.8055843042930064e-08,0.0
1896,7.076434549446731e-09,0.0
1897,2.2724183423861177e-08,0.0
1898,1.810673566637888e-08,0.0
1899,1.7688250864011934e-08,1.1055156790007459e-09
1900,1.86877908703309e-08,0.0
1901,1.117747761014698e-08,0.0
1902,2.1605249145295602e-08,0.0
1903,1.4580594509538969e-08,0.0
1904,1.7736262236667244e-08,2.6873125946735854e-09
1905,2.37394921498435e-08,3.6125313851442797e-09
1906,2.6749759740596346e-08,0.0
1907,3.291419758966185e-08,4.114274698707732e-09
1908,9.822778146428846e-09,4.911389073214423e-10
1909,1.3752458727367411e-08,0.0
1910,3.099607326362275e-08,5.344150677544235e-10
1911,1.755723388896513e-08,6.384448969498635e-09
1912,1.6670147928721235e-08,1.0418842455450772e-09
1913,2.333315407554437e-08,0.0
1914,3.214437072074361e-08,6.696743604095445e-09
1915,7.068456930880984e-09,0.0
1916,1.4283700444650549e-08,1.0987462051303964e-09
1917,2.9609346086090227e-08,7.676496771580332e-09
1918,8.040463406189247e-09,1.1486376294556067e-09
1919,1.5653341733923298e-08,0.0
1920,2.0445025228355007e-08,0.0
1921,1.8931869405491852e-08,8.330022005509363e-09
1922,9.591316185719734e-09,7.377935484775833e-10
1923,2.5478275489376756e-08,0.0
1924,1.5469948877466777e-08,0.0
1925,6.598906754362588e-09,1.0998177923937646e-09
1926,1.89484357093761e-08,1.1146138456652466e-09
1927,2.3413372574054847e-08,0.0
1928,1.9424270192303084e-08,6.8556245125250825e-09
1929,2.33948540540041e-08,5.570202965543558e-09
1930,3.676261073337628e-08,3.1510811737689437e-09
1931,1.9389105432310316e-08,0.0
1932,1.6439305028370654e-08,2.1919073223131136e-09
1933,2.408838994938378e-08,0.0
1934,1.3179738189705859e-08,3.5944740517379614e-09
1935,1.4361940969820353e-08,1.196828414151696e-09
1936,3.8799086610197264e-08,1.2124714565686645e-09
1937,2.0145789036973838e-08,6.295559185076627e-09
1938,3.5006078036303734e-08,3.8895642262559704e-09
1939,3.364691281149135e-08,4.588215141154706e-09
1940,1.7750480196809804e-08,0.0
1941,2.066051862925633e-08,0.0
