year,aurait_VERB en_PRON
1800,1.8864987794131594e-08
1801,2.3811825844433088e-09
1802,0.0
1803,1.950339223455444e-09
1804,7.4155526164076946e-09
1805,5.685755422035754e-09
1806,2.881669125542885e-09
1807,8.540865792383556e-09
1808,9.064295980465431e-09
1809,4.969867006821005e-08
1810,2.8081521108447305e-08
1811,7.270522672797597e-08
1812,5.3344164641089264e-09
1813,1.7254450312975678e-08
1814,3.1466771410748606e-09
1815,1.8880564667256294e-08
1816,1.8540831092650478e-08
1817,1.8682481339737933e-08
1818,5.960588467246453e-09
1819,3.415846450138815e-08
1820,1.4239777357261119e-08
1821,2.1695274909916407e-08
1822,4.010246357211145e-09
1823,1.4824030003524058e-08
1824,1.1789557774477544e-08
1825,2.7296874094417944e-08
1826,1.3211976401805714e-08
1827,2.0278000334439383e-08
1828,2.109629271274116e-08
1829,2.3147574523818548e-08
1830,1.669893667788358e-08
1831,3.585977381703742e-08
1832,2.976593194148336e-08
1833,1.50587169400751e-08
1834,2.6136685704614138e-08
1835,1.739510224751939e-08
1836,1.9490174807401672e-08
1837,1.6003149028165353e-08
1838,2.209256599883247e-08
1839,2.027527834513876e-08
1840,1.46502836528839e-08
1841,2.3113974734201292e-08
1842,2.5491406319133603e-08
1843,1.6539350389255247e-08
1844,2.6345094994439933e-08
1845,2.120486702894553e-08
1846,3.454155717008689e-08
1847,2.534815113364175e-08
1848,3.700802153616678e-08
1849,4.273501730267526e-08
1850,3.869727649430388e-08
1851,4.385618268543112e-08
1852,3.580800012059626e-08
1853,4.2997910787434535e-08
1854,2.5978321716024766e-08
1855,3.449509122788186e-08
1856,3.313401081284084e-08
1857,3.9540222651623935e-08
1858,2.9851424443450014e-08
1859,3.971895168319861e-08
1860,4.119465657481669e-08
1861,4.385846202881183e-08
1862,4.156547461775517e-08
1863,4.0955889346605545e-08
1864,4.794727814783073e-08
1865,3.435996376310868e-08
1866,4.135770836910524e-08
1867,4.804283548764943e-08
1868,2.8157282727647726e-08
1869,2.8324411260882698e-08
1870,6.250112960515253e-08
1871,6.054071222116875e-08
1872,6.047339506931593e-08
1873,5.7465641134513135e-08
1874,3.8237499555560106e-08
1875,5.0349437286101306e-08
1876,3.990369701334373e-08
1877,3.649041280251453e-08
1878,7.669642781982233e-08
1879,6.048232137345622e-08
1880,4.1074216028391675e-08
1881,6.83305714233029e-08
1882,6.588831125142747e-08
1883,6.635305843660788e-08
1884,5.149323811792783e-08
1885,5.801071978339678e-08
1886,4.001147502208369e-08
1887,4.570247075230682e-08
1888,5.3895225837763405e-08
1889,4.8868066926388565e-08
1890,4.0637196718762425e-08
1891,5.099376210182527e-08
1892,4.3879587741102455e-08
1893,5.111485656961179e-08
1894,4.537108111435373e-08
1895,6.500103499895715e-08
1896,5.130415065002225e-08
1897,5.710179351581246e-08
1898,4.922768870319061e-08
1899,4.8089930260175606e-08
1900,4.049021384844309e-08
1901,4.6945405896003933e-08
1902,3.6827128013783295e-08
1903,5.45422256248429e-08
1904,4.5146851590516235e-08
1905,4.438252787508645e-08
1906,3.806696469155213e-08
1907,4.062846120644892e-08
1908,5.844553041534084e-08
1909,5.5009834909469646e-08
1910,5.076943310200477e-08
1911,4.256299213079018e-08
1912,5.521986484735564e-08
1913,4.9848104310967756e-08
1914,5.4913299074588195e-08
1915,5.772573175022444e-08
1916,5.713480377700364e-08
1917,4.7155623406069935e-08
1918,4.2499593178035866e-08
1919,4.6960025201769895e-08
1920,4.921950758074445e-08
1921,4.316466079012926e-08
1922,3.5414090326924e-08
1923,1.3800733000834953e-08
1924,2.0626599095407983e-08
1925,9.898359909499277e-09
1926,1.8948435043242284e-08
1927,1.5608915049369898e-08
1928,1.1426041446327417e-08
1929,2.0052731031228177e-08
1930,1.2604324695075775e-08
1931,2.5091783761865827e-08
1932,8.767629400274757e-09
1933,1.3764794637438627e-08
1934,1.3179738189705859e-08
1935,8.377798899061872e-09
1936,1.2124714565686645e-08
1937,1.6368453259474336e-08
1938,9.075650453382877e-09
1939,2.141167065872196e-08
1940,1.7750480196809804e-08
1941,8.854508237732261e-09
1942,1.5171058853624686e-08
1943,2.032264689866281e-08
1944,9.639558484764166e-09
1945,8.714016175304096e-09
1946,8.352662561605939e-09
1947,3.8146787284532024e-08
1948,1.522064252412747e-08
1949,2.2579119018928395e-08
1950,1.3825969702452312e-08
1951,6.396841278899501e-09
1952,1.2653764258629963e-08
1953,2.3702419582605216e-08
1954,1.3681550781186047e-08
1955,1.407841132561316e-08
1956,2.0930739808022736e-08
1957,1.3252556385623393e-08
1958,1.0753916868111446e-08
1959,1.55014957536892e-08
1960,1.9378334104036554e-08
1961,2.014966149488373e-08
1962,1.77574772664002e-08
1963,2.7157422977097667e-08
1964,2.007709554163739e-08
1965,2.134096988015699e-08
1966,2.4925835617750636e-08
1967,1.873527466500491e-08
1968,2.3355362505084187e-08
1969,2.725054712438002e-08
1970,2.1154135165790677e-08
1971,2.363662865434435e-08
1972,1.6929485369132635e-08
1973,2.921997932503473e-08
1974,2.1939729200060043e-08
1975,2.9128548462153958e-08
1976,1.4855169538918744e-08
1977,2.8796231177352638e-08
1978,1.7821774278559133e-08
1979,1.8141116719938566e-08
1980,3.1268328370970266e-08
1981,2.84649726012276e-08
1982,2.7313010519947056e-08
1983,2.5892795463278162e-08
1984,1.6237223121606803e-08
1985,3.3085569506319246e-08
1986,2.45773907892044e-08
1987,3.1165165392810223e-08
1988,1.739000587974715e-08
1989,2.8538235663511102e-08
1990,2.996758002860034e-08
1991,2.9893472863751214e-08
1992,2.920270425477156e-08
1993,2.6588196533339215e-08
1994,3.0594573929842994e-08
1995,4.12106260228029e-08
1996,4.110330920070737e-08
1997,3.308477047880842e-08
1998,5.197260932732206e-08
1999,3.7475651026852574e-08
2000,3.887867805474343e-08
2001,3.592593600387772e-08
2002,2.803981730137295e-08
2003,4.0835843151398876e-08
2004,4.404791198453495e-08
2005,3.422849759182611e-08
2006,3.6237430833807593e-08
2007,2.636356413732166e-08
2008,3.5762493411084506e-08
2009,3.385416746937153e-08
2010,2.409134386427425e-08
2011,3.1738967010142005e-08
2012,2.144679278615058e-08
2013,2.928581288585974e-08
2014,3.551330203521719e-08
2015,1.8175917840257405e-08
2016,2.3406142801718488e-08
2017,1.9621769098421282e-08
2018,2.0393587263356494e-08
2019,2.2703791291434072e-08
