year,serait_VERB assez_ADV,serait_VERB cassée_ADJ
1800,7.168695219661458e-07,0.0
1801,6.333945634651172e-07,0.0
1802,5.102275508761522e-07,0.0
1803,6.163072043818829e-07,9.751696339321825e-09
1804,1.035705508911633e-06,0.0
1805,5.5151826927613e-07,1.421438877713399e-08
1806,7.953406679916952e-07,2.881669125542885e-09
1807,9.451890718992217e-07,2.562259560079383e-08
1808,6.322346166598436e-07,0.0
1809,7.161126518440142e-07,2.259030518203531e-09
1810,7.160787731663731e-07,0.0
1811,6.718966005792026e-07,0.0
1812,9.28188455873169e-07,1.600324850414836e-08
1813,1.0525214975132258e-06,0.0
1814,1.1170703828611295e-06,6.293354282149721e-09
1815,7.066725515869621e-07,1.8880564667256294e-08
1816,8.436078360318788e-07,6.952811659743929e-09
1817,1.158313807536615e-06,0.0
1818,1.124167056332226e-06,7.152706427149269e-09
1819,1.2183186299807858e-06,0.0
1820,1.254287099072826e-06,0.0
1821,1.5443090433109319e-06,2.9584463767662328e-09
1822,1.524896219962102e-06,7.017931125119503e-09
1823,8.884535418474115e-07,2.075364236020505e-08
1824,1.1739031151591917e-06,0.0
1825,1.117410761253268e-06,2.201360693732113e-08
1826,1.0772164387162775e-06,7.927186018719112e-09
1827,1.155846007350192e-06,3.6869092223668076e-09
1828,1.3263147593534086e-06,8.255071293206129e-09
1829,1.3331289210327668e-06,4.286587973467704e-09
1830,1.4455017662839964e-06,6.262101504006523e-09
1831,1.4297136203822447e-06,3.1182412207897414e-09
1832,1.4450007483901572e-06,4.058990921151917e-09
1833,1.439845050299482e-06,1.7375443306377747e-08
1834,1.3843109627487138e-06,7.467624740797874e-09
1835,1.5163991520239506e-06,7.563087933704082e-10
1836,1.2722380233753938e-06,1.2769425516978572e-08
1837,1.4771602536711725e-06,6.957890930081589e-10
1838,1.2952556289747008e-06,1.8936485712828244e-09
1839,1.2864314840044244e-06,4.194885327990505e-09
1840,1.370120003230113e-06,3.1848443882154243e-09
1841,1.5422157275679638e-06,3.2102742686390684e-09
1842,1.5596716593790916e-06,4.695785538189057e-09
1843,1.4855880863251514e-06,4.134837805480629e-09
1844,1.501670340076089e-06,3.841992946007622e-09
1845,1.4620196679970832e-06,1.1718478631905782e-08
1846,1.392200374539243e-06,5.854501328173001e-10
1847,1.3305083257364458e-06,1.6179670936367074e-09
1848,1.2767766293109162e-06,1.689496542667257e-08
1849,1.3557893225879525e-06,2.513824481908955e-09
1850,1.4216158206181717e-06,3.394498016007219e-09
1851,1.3027865861658938e-06,3.2247193804124663e-09
1852,1.4818001545791049e-06,7.812654523320361e-09
1853,1.5873395113885636e-06,4.777545470346922e-09
1854,1.4298468613560544e-06,2.5978321716024766e-09
1855,1.4105838772593415e-06,3.1841622671890946e-09
