year,soit_VERB ouvert_ADJ,soit_VERB couvert_ADJ
1800,0.0,7.545994984425874e-08
1801,0.0,1.2382149350287364e-07
1802,0.0,5.147032311469957e-08
1803,1.950339223455444e-09,9.166594594489652e-08
1804,0.0,1.4336735887354735e-07
1805,0.0,6.254330742194725e-08
1806,0.0,4.3225035994964855e-08
1807,0.0,5.124519120158766e-08
1808,0.0,6.118399653587403e-08
1809,0.0,1.6716825257390155e-07
1810,0.0,1.1700633351097167e-08
1811,0.0,9.777599530025327e-08
1812,0.0,7.734903562095496e-08
1813,0.0,3.163315653864629e-08
1814,0.0,4.090680150170556e-08
1815,0.0,1.3486118000116676e-08
1816,0.0,7.416332437060191e-08
1817,0.0,1.8682481339737933e-08
1818,0.0,3.5763530803478716e-08
1819,0.0,3.415846450138815e-08
1820,0.0,3.797273961936298e-08
1821,0.0,4.2404398215012407e-08
1822,0.0,4.210758675071702e-08
1823,0.0,7.016707570528524e-08
1824,0.0,4.294767386170406e-08
1825,0.0,3.169959583715354e-08
1826,0.0,3.347034194245424e-08
1827,0.0,3.502563927781921e-08
1828,0.0,3.393751413227619e-08
1829,0.0,4.54378346614881e-08
1830,1.0436835840010872e-09,3.235419132607831e-08
1831,0.0,4.989185953263586e-08
1832,0.0,4.19429042608499e-08
1833,0.0,2.3167256557599103e-08
1834,0.0,4.573920264761e-08
1835,0.0,4.9916380362446944e-08
1836,0.0,4.973355194337614e-08
1837,0.0,8.071153700939249e-08
1838,0.0,4.9234864185621063e-08
1839,6.9914751765765e-10,6.1524981109784e-08
1840,0.0,6.114901224263392e-08
1841,0.0,5.8426990801052625e-08
1842,0.0,4.22620693996123e-08
1843,0.0,4.0166995285417784e-08
1844,0.0,2.7442806305177925e-08
1845,0.0,4.073566373108406e-08
1846,0.0,2.6345256864956923e-08
1847,0.0,3.5055954583640414e-08
1848,0.0,3.6203496867059926e-08
1849,1.6758829879393033e-09,2.513824526317876e-08
1850,6.788996032014438e-10,3.4623880651452055e-08
1851,0.0,3.8696633453128015e-08
1852,0.0,2.669323606596663e-08
1853,0.0,3.76231701348928e-08
1854,0.0,4.052618152172727e-08
1855,0.0,1.751289246954002e-08
1856,5.177189343896771e-09,3.572260709461261e-08
1857,0.0,3.8075771868761876e-08
1858,9.787352039936081e-10,1.468102794888182e-08
1859,0.0,3.106225765492354e-08
1860,9.154367819341758e-10,2.654766717569146e-08
1861,0.0,2.263662590706872e-08
1862,0.0,2.8915112193494963e-08
1863,0.0,1.748117206545885e-08
1864,0.0,3.0206784629172034e-08
1865,0.0,2.023943146411966e-08
1866,0.0,3.35727279310305e-08
1867,0.0,2.329349513274792e-08
1868,4.93987406535723e-10,4.100095551962113e-08
1869,3.906815315701806e-09,2.539429999615095e-08
1870,0.0,1.9495765002375265e-08
1871,0.0,2.8677178853797614e-08
1872,6.047339295989218e-10,1.6327815544059376e-08
1873,5.986004469882289e-10,4.2500630570430076e-08
1874,0.0,2.1508592240593316e-08
1875,0.0,2.0597497041308088e-08
1876,0.0,3.9903696347209916e-08
1877,6.184815992682502e-10,2.4739264858908427e-08
1878,0.0,1.69094480639842e-08
1879,0.0,2.5048234486568788e-08
1880,0.0,3.0805662021293756e-08
1881,0.0,1.6734017338482232e-08
1882,0.0,2.5956001792337702e-08
1883,0.0,4.676310894069502e-08
1884,0.0,2.2445769687351458e-08
1885,1.2891271383708158e-09,2.8360796378024133e-08
1886,0.0,2.3232470169887165e-08
1887,1.3057849246322917e-09,3.003305337756501e-08
1888,0.0,3.6775563927449184e-08
1889,6.265136742733546e-10,1.1277245803853475e-08
1890,0.0,1.1142456735058204e-08
1891,0.0,2.2947192590550003e-08
1892,0.0,1.5044429702015805e-08
1893,0.0,2.155445777418663e-08
1894,6.301539290376468e-10,2.3315695596437536e-08
1895,0.0,1.9259566386153892e-08
1896,0.0,2.0639602027472392e-08
1897,0.0,2.7385553380554484e-08
1898,5.6583548957434e-10,2.2633418694795182e-08
1899,0.0,1.6029977345510815e-08
1900,0.0,2.180242297811219e-08
1901,0.0,2.3472702892490815e-08
1902,4.910283846193408e-10,1.7677022512430085e-08
1903,0.0,1.9440792975444765e-08
1904,0.0,1.7198800605910947e-08
1905,0.0,5.1091515018697464e-08
1906,0.0,1.6461390472954918e-08
1907,5.142843373384665e-10,1.7485668024619372e-08
1908,0.0,2.4065807124884486e-08
1909,0.0,3.025541062129378e-08
1910,0.0,1.977335806202518e-08
1911,1.0640748282497725e-09,9.044636151145369e-09
1912,0.0,2.1879568379290504e-08
1913,0.0,1.856046338843953e-08
1914,0.0,2.5447626228469744e-08
1915,0.0,2.0027295377644805e-08
1916,0.0,1.3184954461564757e-08
1917,1.0966424435210342e-09,9.869782324756216e-09
1918,0.0,2.6418664589300533e-08
1919,0.0,1.012863304339362e-08
1920,7.572231730534895e-10,2.0445025228355007e-08
1921,0.0,4.922285867792198e-08
1922,0.0,1.770704471937279e-08
1923,0.0,2.653987074552333e-08
1924,0.0,1.675911143195208e-08
1925,0.0,2.1996356736053713e-08
1926,0.0,2.1177662290483568e-08
1927,0.0,6.689535148041159e-09
1928,0.0,6.8556245125250825e-09
1929,0.0,1.2254447234738564e-08
1930,0.0,2.4158287814657342e-08
1931,0.0,1.0264820993199919e-08
1932,0.0,1.4247397928102146e-08
1933,0.0,1.4911860191091364e-08
1934,0.0,9.585264137967897e-09
1935,0.0,1.9149254626427137e-08
1936,0.0,1.6974599503782883e-08
