year,seront_VERB ouverts_ADJ,seront_VERB couverts_ADJ
1800,3.144164484325529e-09,1.2576657937302116e-08
1801,4.7623651688866175e-09,9.524730337773235e-09
1802,8.951360541686881e-09,2.4616241489638924e-08
1803,1.950339223455444e-09,3.705644502360883e-08
1804,4.943701892301533e-09,4.69651695311768e-08
1805,5.685755422035754e-09,4.5486043376286034e-08
1806,0.0,5.76333825108577e-09
1807,2.8469551160981155e-09,3.9857372513552036e-08
1808,4.5321479902327155e-09,1.8128591960930862e-08
1809,2.259030518203531e-09,2.710836710662079e-08
1810,0.0,2.3401267590372754e-09
1811,5.0141535368197765e-09,2.0056614147279106e-08
1812,0.0,1.0668832928217853e-08
1813,0.0,2.300593315851529e-08
1814,0.0,2.2026739543434815e-08
1815,0.0,2.4275012222574333e-08
1816,4.6352077731626196e-09,2.5493642752394408e-08
1817,3.113746815941454e-09,2.490997452753163e-08
1818,3.5763532135746345e-09,1.7881765401739358e-08
1819,5.175524897538253e-09,2.2772310259711048e-08
1820,0.0,1.3053129244156025e-08
1821,1.97229765852569e-09,2.3667571014129862e-08
1822,0.0,1.804610860745015e-08
1823,0.0,2.174191138237802e-08
1824,1.6842225392110777e-09,1.1789557774477544e-08
1825,8.805443041381977e-10,2.905796137042671e-08
1826,2.642395191543301e-09,2.4662355713189754e-08
1827,0.0,3.2260455640198415e-08
1828,0.0,1.7427371545863934e-08
1829,2.571952872898464e-09,2.0575622983187714e-08
1830,2.0873671680021744e-09,1.1480519646056564e-08
1831,6.236482441579483e-09,4.677361609140007e-09
1832,0.0,1.6235963684607668e-08
1833,4.6334514003376626e-09,2.20088942626262e-08
1834,0.0,2.8937046536725575e-08
1835,1.2100940693926532e-08,1.5126175867408165e-08
1836,2.083432448785061e-08,1.0753200108126748e-08
1837,3.826840000442644e-08,2.1569462660409044e-08
1838,4.039783618736692e-08,2.398621568033832e-08
1839,4.9639474752893875e-08,1.2584655095793096e-08
1840,1.3376346252869098e-08,9.554533164646273e-09
1841,2.8892468861840825e-08,1.219904177673925e-08
1842,1.2745703159566801e-08,3.287049921141261e-08
1843,2.126487963494128e-08,1.5357969118667825e-08
1844,1.701453911095996e-08,2.5796238034558883e-08
1845,1.1383664855202369e-07,2.7343116215661212e-08
1846,6.908311434017378e-08,2.0490753982471688e-08
1847,3.4516631330916425e-08,1.294373674909366e-08
1848,3.218088684420195e-09,2.333114323960217e-08
1849,1.1731181359664333e-08,2.4300303991253713e-08
1850,1.0862393651223101e-08,1.8330290174617403e-08
1851,2.4507867735223954e-08,2.1283147688677673e-08
1852,9.830923630715915e-08,9.765818376195057e-09
1853,1.0749477041827049e-07,1.2541057081705276e-08
1854,6.650450501410887e-08,2.7537021551893304e-08
1855,3.714855978387277e-08,9.552486801567284e-09
1856,2.329735160344626e-08,1.7602443946884705e-08
1857,1.4644527368545823e-08,4.881508974818871e-09
1858,6.8511463169329545e-09,4.404308473482388e-09
1859,5.092173349652285e-10,6.619825576592575e-09
1860,2.288591982591015e-09,1.6477862629926676e-08
1861,3.3011746669586728e-09,1.744906619194353e-08
1862,7.680577063240435e-09,9.939570055905733e-09
1863,5.9935452156878455e-09,1.0988165932701577e-08
1864,1.4384183844029508e-09,2.685047562067666e-08
1865,3.765475486972036e-09,2.0710114512212385e-08
1866,2.432806400776144e-09,1.4110277390955162e-08
1867,8.249779526181555e-09,2.4749338578544666e-08
1868,7.903798504571569e-09,2.321740844024589e-08
1869,4.883519366671862e-09,2.4417595057002472e-08
1870,4.013834153937523e-09,2.3509599600401998e-08
1871,2.1242354542039266e-09,2.0180236148803488e-08
1872,6.047339518033823e-09,1.3908880269752899e-08
1873,5.986004469882289e-10,2.7535620006347017e-08
1874,1.7923826867161097e-09,1.7923827755339516e-08
1875,4.005069165202713e-09,2.1169650921137873e-08
1876,4.836811839936672e-09,2.8416270225761764e-08
1877,0.0,2.1028373708986692e-08
1878,4.22736201599605e-09,1.3889904337816006e-08
1879,3.0546627449723474e-09,4.887460391955756e-08
1880,3.8507077526617195e-09,3.401458670282409e-08
1881,4.8807553554297556e-09,2.998178416646624e-08
1882,1.3310770263785798e-09,3.926677294430192e-08
1883,6.319338941018771e-10,1.3902545781263598e-08
1884,1.3203393933736152e-09,2.706695667598069e-08
1885,4.511945039809007e-09,2.9649923405372647e-08
1886,6.453463874400711e-10,1.2261581083805595e-08
1887,6.528924512139156e-09,1.7628096316002484e-08
1888,1.9021844099853524e-09,1.2047167707862627e-08
1889,5.6386229019267375e-09,1.3156786771162388e-08
1890,4.5880703680722945e-09,1.3108772733971819e-08
1891,1.2748440081367107e-09,1.466070642663908e-08
1892,3.1342561879199593e-09,1.3163876211308434e-08
1893,2.463366621796581e-09,1.1700991287000306e-08
1894,2.520615716150587e-09,1.5123694296903523e-08
1895,3.0093072478365457e-09,1.1435367319734269e-08
1896,4.717623180994224e-09,2.358811634906033e-08
1897,1.1653427112179315e-09,3.8456310136325556e-08
1898,2.26334195829736e-09,1.4711722506888236e-08
1899,4.9748205555033564e-09,6.080336234504102e-09
1900,1.038210628578895e-09,9.863001082521805e-09
1901,9.500856101851696e-09,8.941982265753268e-09
1902,1.0311596021495006e-08,2.897067474805226e-08
1903,5.940242076007962e-09,2.2680925582108102e-08
1904,1.7198800605910947e-08,2.6335662539622717e-08
1905,8.257214467732865e-09,1.8062657147766004e-08
1906,2.623534101076075e-08,2.6749759740596346e-08
1907,5.65712765521198e-09,2.828563872014911e-08
1908,2.9468334439286537e-09,2.1118973236866623e-08
1909,2.7504918342913243e-09,2.6954818821423032e-08
1910,9.619471441624228e-09,1.3894791983659616e-08
1911,7.448523575703803e-09,1.9153347352585115e-08
1912,3.646594803896619e-09,1.4586379215586476e-08
1913,1.590896969716482e-09,1.96210621083992e-08
1914,3.3483718020477227e-09,2.8126324380650658e-08
1915,4.712304768617059e-09,3.2986132936230206e-08
1916,5.493730803607377e-09,3.076489463182952e-08
1917,0.0,2.52227767560953e-08
1918,1.1486376294556067e-09,3.101321510712296e-08
1919,1.8415696745321952e-09,3.314825391953491e-08
1920,5.300562211374427e-09,1.1358347151713133e-08
1921,3.7863738810983705e-09,4.1650110915725236e-08
1922,1.4755870969551665e-09,1.770704471937279e-08
1923,5.307974060286824e-09,2.1231896241147297e-08
1924,6.445812328337297e-09,1.1602462102189293e-08
1925,6.598906754362588e-09,2.1996356736053713e-08
1926,0.0,3.343841470382358e-08
1927,7.804457524684949e-09,2.5643217327342427e-08
1928,1.1426041224282812e-09,1.4853853258500749e-08
1929,5.570202965543558e-09,2.2280811862174232e-08
1930,6.302162347537887e-09,1.8906487042613662e-08
1931,4.5621426636444085e-09,2.0529641986399838e-08
1932,2.1919073223131136e-09,2.7398842306070037e-08
1933,0.0,9.176529758292418e-09
1934,3.5944740517379614e-09,2.036868629318178e-08
1935,2.393656828303392e-09,1.0771455727365264e-08
1936,2.424942913137329e-09,1.091224355320719e-08
1937,2.5182236296217297e-09,3.021868266728234e-08
1938,2.5930428915188486e-09,5.0564334941327616e-08
1939,4.588215141154706e-09,4.282334131744392e-08
1940,2.5357829169792012e-09,1.2678914806940611e-08
1941,5.9030051957620344e-09,2.3612020783048138e-08
1942,6.068423541449874e-09,2.730790527039062e-08
1943,2.9032352077962287e-09,5.806470415592457e-09
1944,0.0,9.639558484764166e-09
1945,8.714016175304096e-09,1.742803235060819e-08
1946,4.1763312808029696e-09,2.645009899993056e-08
1947,1.1920870957027319e-09,5.722018059373113e-08
1948,3.2615663503321457e-09,2.0656587551570738e-08
1949,4.908504269707237e-09,3.7304630495782476e-08
1950,3.190608444114673e-09,3.084254984742074e-08
1951,0.0,2.1322803078760444e-08
1952,1.0544803918932644e-09,2.4253049346611988e-08
1953,1.0773827385790469e-09,1.6160740301529586e-08
1954,1.9545072227344917e-09,1.3681550115052232e-08
1955,1.8771215692936494e-09,9.385607846468247e-09
1956,4.360570571293465e-09,3.575668117150599e-08
1957,6.184526224473075e-09,1.8553580005686854e-08
1958,3.3088973783179654e-09,4.3015667472445784e-08
1959,5.425523585955716e-09,2.1702094343822864e-08
1960,0.0,1.7302083321624195e-08
1961,6.948159270159238e-10,1.598076693198891e-08
