year,pouvaient_VERB ouvrir_VERB,pouvaient_VERB couvrir_VERB
1800,0.0,3.772997558826319e-08
1801,0.0,5.2386017301842e-08
1802,4.475680270843441e-09,2.2378401354217203e-09
1803,0.0,1.950339223455444e-09
1804,1.2359254952798437e-08,7.4155526164076946e-09
1805,2.2743021688143017e-08,3.1271653710973624e-08
1806,0.0,2.881669125542885e-09
1807,5.97860605466849e-08,5.693910232196231e-09
1808,2.945896149242344e-08,6.798221985349073e-09
1809,2.0331274441787173e-08,1.581321384946932e-08
1810,1.4040760554223652e-08,3.2761775514700275e-08
1811,3.259199843341776e-08,2.5070767684098882e-09
1812,8.00162425207418e-09,2.9339290108509886e-08
1813,1.1502966579257645e-08,1.4378708002027452e-08
1814,0.0,3.1466771410748606e-09
1815,5.394447111228828e-09,1.8880564667256294e-08
1816,4.6352077731626196e-09,6.952811659743929e-09
1817,7.784366928831332e-09,4.670620157298799e-08
1818,1.1921176934492905e-08,1.3113295338484932e-08
1819,1.7596784473994376e-08,2.173720581311045e-08
1820,2.254631326081835e-08,1.4239777357261119e-08
1821,3.94459531705138e-09,1.577838126820552e-08
1822,2.90742860897808e-08,4.010246357211145e-09
1823,6.917880934764753e-09,8.894418535021487e-09
1824,4.210556348027694e-09,1.7684335773537896e-08
1825,1.584979791857677e-08,3.0819052199149155e-08
1826,5.284790383086602e-09,3.3470339388941284e-08
1827,1.1060727445055818e-08,2.5808365222701468e-08
1828,1.559291185060374e-08,4.3109814384934e-08
1829,3.0006116702452346e-08,3.0006116702452346e-08
1830,3.339787468803479e-08,1.5655253093882493e-08
1831,3.1182412207897414e-09,7.795603274018958e-09
1832,9.470978667991403e-09,2.570694235259907e-08
1833,4.6334514003376626e-09,1.1583628500844156e-09
1834,1.8669062740173104e-08,1.8669062740173104e-08
1835,2.7227116561334697e-08,1.8151411040889798e-08
1836,2.688300071440608e-08,3.2259599436201825e-08
1837,1.1132625488130543e-08,2.435261770017405e-08
1838,2.4617431648721322e-08,1.9567702125300457e-08
1839,2.6567605004856887e-08,1.0487212875887053e-08
1840,2.8663599493938818e-08,3.184844388215424e-08
1841,4.943822418113086e-08,2.3113974734201292e-08
1842,6.03743828264669e-08,2.4820581145945653e-08
1843,1.9492807368237663e-08,1.2404512972352677e-08
1844,2.305195678786731e-08,2.4149668931272572e-08
1845,1.9530798311961917e-08,2.399498022498392e-08
1846,1.8148954339380907e-08,1.4050803187615202e-08
1847,4.422443566909351e-08,2.588747349818732e-08
1848,1.609044275596716e-08,1.367687652020777e-08
1849,2.1786478399121734e-08,4.357295679824347e-08
1850,9.504594444820214e-09,1.9009188889640427e-08
1851,1.9993260380601896e-08,4.063146263888484e-08
1852,1.1718981340891332e-08,5.338647213193326e-08
1853,1.7318601663873778e-08,4.120633079196523e-08
1854,1.0910895298366086e-08,3.585008556683533e-08
1855,2.2819829581521844e-08,3.290301009428731e-08
1856,2.692138423299184e-08,3.36517302912398e-08
1857,1.6597130780837688e-08,1.122747050885664e-08
1858,2.7404585267731818e-08,1.2234189661342043e-08
1859,3.1571474323754956e-08,2.4442432078330967e-08
1860,4.851814949802247e-08,2.0139609091529564e-08
1861,2.263662679524714e-08,1.8863854478468056e-08
1862,3.8402884428023754e-08,3.4788495639759276e-08
1863,1.9479021062807078e-08,1.748117206545885e-08
1864,3.2604148714199255e-08,1.726102105692462e-08
1865,8.943004559114343e-09,2.2122168985561075e-08
1866,1.6056523222118813e-08,2.968023871119385e-08
1867,1.5043715606566366e-08,2.232293283555009e-08
1868,9.385760613156435e-09,2.222943251695142e-08
1869,1.2208797528501236e-08,1.5627261262807224e-08
1870,4.185855573268782e-08,2.2936195165357276e-08
1871,5.098165090089424e-08,4.0360472297606975e-08
1872,1.9956219787786722e-08,3.62840353318461e-08
1873,1.616221290134945e-08,3.23244258026989e-08
1874,4.660195074279727e-08,1.9716210886144836e-08
1875,2.689117728493784e-08,2.460256709468922e-08
1876,9.673623679873344e-09,1.5115036333668286e-08
1877,2.9068635498674666e-08,1.6699003069220453e-08
1878,2.5968081018845623e-08,8.4547240319921e-09
1879,2.443730195977878e-08,2.871382953628654e-08
1880,1.1552122813895949e-08,8.984985200299889e-09
1881,1.5339516323820135e-08,9.761510710859511e-09
1882,1.4641846846075168e-08,2.728707926280549e-08
1883,3.2860562271253e-08,1.516641390253426e-08
1884,1.8484751507230612e-08,7.2618666635548834e-09
1885,2.1915161241281567e-08,1.0313017106966527e-08
1886,2.6459201052375647e-08,7.098810428374236e-09
1887,2.154545164501087e-08,1.1099172247952538e-08
1888,1.9021843655764314e-08,6.974675947901687e-09
1889,1.3156786771162388e-08,5.012109394186837e-09
1890,1.5075089621063853e-08,1.5730527991308918e-08
1891,1.466070642663908e-08,8.286486163910922e-09
1892,2.1312942521944933e-08,1.3163876211308434e-08
1893,1.539604177480669e-08,1.1700991287000306e-08
1894,1.8904618315218613e-08,8.192000855444803e-09
1895,1.023164486468886e-08,5.416753268150387e-09
1896,2.1229304536518612e-08,1.8280790214930676e-08
1897,2.5637540090883704e-08,2.4472196713531957e-08
1898,1.3014216371232123e-08,1.1882545614128048e-08
1899,1.879376654301268e-08,7.738609753005221e-09
1900,1.4015843596837385e-08,7.786579381274805e-09
1901,2.9620316865930363e-08,1.3412973842719111e-08
1902,1.276673788908056e-08,7.365425602756659e-09
1903,2.808114629715419e-08,1.0800440541913758e-08
1904,1.3974025492302644e-08,8.061937784020756e-09
1905,2.167518786677647e-08,1.3934049469810361e-08
1906,1.0802787109298606e-08,1.18316245689698e-08
1907,3.599990305858114e-09,1.337139288182243e-08
1908,2.0136695866312948e-08,7.367083831866239e-09
1909,2.1453836041018803e-08,6.0510818578052294e-09
1910,2.4583092894658876e-08,8.01622590529405e-09
1911,1.3832972989291648e-08,4.788336838146279e-09
1912,1.2502610502451716e-08,1.0939784189645252e-08
1913,1.5378670781274195e-08,5.302989602995467e-09
1914,1.2054139020278853e-08,1.0045115850232378e-08
1915,3.062998032987707e-08,1.8849219074468238e-08
1916,1.538244731591476e-08,1.2086208478478966e-08
1917,2.3029491202919417e-08,1.7546279096336548e-08
1918,3.44591288836682e-09,8.040463406189247e-09
1919,1.3811772170413406e-08,2.4861190439651182e-08
1920,2.3473917920568965e-08,6.057785384427916e-09
1921,6.815472630705699e-09,5.300923255902035e-09
1922,1.696925089333945e-08,6.640141769764796e-09
1923,1.0615948120573648e-08,1.3800733000834953e-08
1924,1.804827398643738e-08,1.675911143195208e-08
1925,2.3096173862313663e-08,8.798542339150117e-09
1926,1.89484357093761e-08,6.687683296036084e-09
1927,2.0068604555945058e-08,1.1149224654616319e-08
1928,1.1426041446327417e-08,7.998228745975666e-09
1929,1.2254447234738564e-08,1.0026365515614089e-08
1930,1.470504518152893e-08,1.6805765667982087e-08
1931,1.0264820993199919e-08,1.3686427990933225e-08
1932,1.4247397928102146e-08,4.383814644626227e-09
1933,1.261772819560747e-08,1.7205993074753678e-08
1934,1.3179738189705859e-08,8.38710612072191e-09
1935,1.0771455727365264e-08,2.154291145473053e-08
1936,2.182448710641438e-08,1.576212937948185e-08
1937,1.0072894518486919e-08,1.6368453259474336e-08
1938,1.1668692678767911e-08,1.0372171566075394e-08
1939,2.7529290846928234e-08,4.588215141154706e-09
1940,5.0715658339584024e-09,1.2678914806940611e-08
1941,1.1806010391524069e-08,8.854508237732261e-09
1942,1.2136847082899749e-08,1.2136847082899749e-08
1943,8.709705845433291e-09,1.7419411690866582e-08
1944,1.2852744646352221e-08,3.2131861615880553e-09
1945,1.089252066321933e-08,1.742803235060819e-08
1946,9.744772988540262e-09,1.5313215584455975e-08
1947,1.1920871401116528e-08,5.960435700558264e-09
1948,1.522064252412747e-08,1.9569398546082084e-08
1949,1.570721330779179e-08,1.570721330779179e-08
1950,1.2762433776458693e-08,7.444753258312176e-09
1951,2.1322803078760444e-08,1.8124383771578323e-08
1952,1.5817205323287453e-08,1.2653764258629963e-08
1953,1.939288907237824e-08,1.1851209791302608e-08
1954,1.7590565448699635e-08,1.3681550115052232e-08
1955,2.1586897602787758e-08,1.6894095011821264e-08
1956,5.232684952005684e-09,1.0465369904011368e-08
1957,1.0602045463770082e-08,1.767007518083119e-08
1958,9.099467845885556e-09,1.2408365002158916e-08
1959,1.9376869886400527e-08,2.1702094343822864e-08
1960,1.1073333361366622e-08,1.868625076895114e-08
1961,1.528595028332802e-08,1.320150300188061e-08
1962,2.3465238641051656e-08,8.244543714397423e-09
1963,1.681173777967615e-08,1.939815952312074e-08
1964,2.1902286206909594e-08,1.1559539991878864e-08
1965,1.3680108601477059e-08,1.3680108601477059e-08
1966,1.8832853498906843e-08,7.200797291773142e-09
1967,1.7749208325312793e-08,2.070740912074598e-08
1968,1.0779397818794223e-08,1.7067380397861598e-08
1969,1.3171097990039016e-08,1.4987801222332564e-08
1970,1.1956685419534097e-08,1.3796174869185052e-08
1971,2.0553589052951793e-08,1.1818314327172175e-08
1972,1.2312352026810913e-08,8.721249500354133e-09
1973,2.260413545229767e-08,9.37244681864513e-09
1974,1.4626486688484874e-08,1.1813700240281833e-08
1975,1.8847885030481848e-08,1.0851811893530794e-08
1976,2.0568696967870892e-08,1.9425991482080462e-08
1977,2.4094806150287695e-08,2.056873604772136e-08
1978,9.504946163474415e-09,1.0693064211864112e-08
1979,9.948355028654987e-09,9.948355028654987e-09
1980,1.4212877097463661e-08,1.762396628635088e-08
1981,2.1506869174459098e-08,2.4037088763861902e-08
1982,1.3656505259973528e-08,1.8622506203769262e-08
1983,1.1999100379966876e-08,9.47297440490047e-09
1984,1.6237223121606803e-08,1.3917620833581168e-08
1985,1.2632671797518924e-08,1.6843562988810845e-08
1986,1.9182353483415682e-08,1.6185110141009318e-08
1987,1.9554613928107756e-08,6.721898593298192e-09
1988,2.0388283061834045e-08,1.5591039570495013e-08
1989,1.2622680678475717e-08,1.7561990972581043e-08
1990,2.45189291092629e-08,1.2531897297662908e-08
1991,1.6998249918742658e-08,1.2309077312977479e-08
1992,1.1019888113139586e-08,1.1019888113139586e-08
1993,1.1632335983335906e-08,1.883330469354405e-08
1994,2.8484603120659813e-08,2.1099706870586488e-08
1995,1.626735190995987e-08,1.5182862966867106e-08
1996,2.2419987644184403e-08,1.1743802375008272e-08
1997,1.5343662340683295e-08,1.1987236092636522e-08
1998,2.288702027897216e-08,6.198567881199324e-09
1999,1.7823785114501334e-08,1.279656292041409e-08
2000,1.502130686503733e-08,1.192868470667463e-08
2001,1.1391150245287918e-08,1.7524847351069184e-08
2002,2.0153619217921914e-08,1.1391176002462089e-08
2003,1.9584538435424292e-08,1.3334153337041244e-08
2004,2.2904915297772277e-08,1.0131019578807354e-08
2005,1.8014997493764895e-08,1.170974872621855e-08
2006,1.93540827808647e-08,7.000412693969338e-09
2007,2.077129401811817e-08,1.5179022483380322e-08
2008,2.0435710013089192e-08,1.575252639440805e-08
2009,1.8595951445377068e-08,1.6211854969583328e-08
2010,2.5980861906305108e-08,1.369900015646408e-08
2011,1.911985947344874e-08,1.414869643667771e-08
2012,2.008509092377153e-08,1.4297861561374248e-08
2013,2.0081699858565116e-08,1.7571487376244477e-08
2014,2.2087540685333806e-08,1.645738301192523e-08
2015,1.906254887273917e-08,1.10828768384863e-08
2016,2.2991875070488277e-08,1.2428039930512114e-08
2017,2.4904551310100942e-08,1.0314006537726073e-08
2018,2.2716907466246994e-08,1.1358453733123497e-08
2019,2.3213988953330045e-08,9.183556137770665e-09
