year,fut_VERB ouvert_ADJ,fut_VERB couvert_ADJ
1800,0.0,6.288328968651058e-09
1801,0.0,1.1905912700171939e-08
1802,0.0,6.937304419807333e-08
1803,0.0,2.145373123596528e-08
1804,0.0,2.4718509461507665e-09
1805,0.0,5.685755510853596e-08
1806,0.0,2.5935023018064385e-08
1807,2.8469551160981155e-09,1.9928686256776018e-08
1808,0.0,2.4926814390369145e-08
1809,0.0,2.0331274441787173e-08
1810,0.0,0.0
1811,0.0,1.7549536934780008e-08
1812,0.0,5.601137331723294e-08
1813,0.0,2.8757416448144113e-09
1814,0.0,6.922689976818219e-08
1815,0.0,8.091670444798638e-09
1816,0.0,4.6352077731626196e-09
1817,0.0,2.490997452753163e-08
1818,0.0,3.457141417584353e-08
1819,0.0,1.7596784473994376e-08
1820,0.0,2.1359666035891678e-08
1821,0.0,4.536284592404627e-08
1822,0.0,1.1028177482330648e-08
1823,0.0,2.075364236020505e-08
1824,0.0,8.421112696055388e-09
1825,0.0,2.993850500843109e-08
1826,0.0,9.688783109140786e-09
1827,0.0,4.3321183085254233e-08
1828,0.0,1.559291185060374e-08
1829,0.0,2.4862210068476998e-08
1830,1.0436835840010872e-09,3.1310507520032616e-09
1831,1.5591206103948707e-09,2.0268567268999504e-08
1832,0.0,4.058990921151917e-09
1833,0.0,6.950177322551099e-09
1834,0.0,2.5203233278148218e-08
1835,0.0,3.857174846189082e-08
1836,0.0,2.1506400216253496e-08
1837,0.0,1.461157062010443e-08
1838,0.0,2.4617431648721322e-08
1839,1.3982950353153e-09,2.1673573158409454e-08
1840,0.0,3.121147429396842e-08
1841,0.0,8.346713542550788e-09
1842,0.0,9.391571076378114e-09
1843,0.0,1.063243981747064e-08
1844,3.2931368743049916e-09,2.5247381074677833e-08
1845,0.0,1.2276501593078137e-08
1846,0.0,1.5807152919933287e-08
1847,0.0,1.1325769655456952e-08
1848,0.0,2.091757700384278e-08
1849,0.0,2.262441967104678e-08
1850,0.0,8.82569484161877e-09
1851,0.0,1.4188765717904062e-08
1852,0.0,2.539112742283578e-08
1853,0.0,8.360704129017904e-09
1854,0.0,2.4419623656513068e-08
1855,5.306937111981824e-10,7.960405667972736e-09
1856,0.0,1.65670055451983e-08
1857,4.881509085841174e-10,1.2203773103180993e-08
1858,4.893676019968041e-10,1.1255455234504552e-08
1859,5.092173349652285e-10,3.055304009791371e-09
1860,0.0,1.785101666484934e-08
1861,0.0,1.1789909493131745e-08
1862,9.035972525772706e-10,7.680577063240435e-09
1863,0.0,9.489779628779615e-09
1864,1.4384183844029508e-09,8.63051052846231e-09
1865,0.0,5.6482134525026595e-09
1866,0.0,7.298419202328432e-09
1867,0.0,2.1837651686951176e-08
1868,9.87974813071446e-10,9.87974857480367e-09
1869,0.0,1.12320943657096e-08
1870,0.0,1.1468097582678638e-08
1871,0.0,9.559059321873065e-09
1872,6.047339295989218e-10,1.0280476914203973e-08
1873,5.986004469882289e-10,6.584604861359367e-09
1874,0.0,5.377148060148329e-09
1875,0.0,1.3731664694205392e-08
1876,0.0,5.441413541973361e-09
1877,4.329371083855449e-09,1.1751150275074451e-08
1878,1.2078177347163432e-09,9.058632954861423e-09
1879,0.0,1.4051448005147904e-08
1880,0.0,1.2835692508872398e-08
1881,6.972507571312292e-10,6.2752567586699115e-09
1882,1.3310770263785798e-09,8.652000893505374e-09
1883,6.319338941018771e-10,6.951272890631799e-09
1884,6.601696966868076e-10,1.1883054540362536e-08
1885,1.2891271383708158e-09,7.090199094506033e-09
1886,0.0,1.677900662855336e-08
1887,0.0,8.48760173255414e-09
1888,1.268122939990235e-09,6.340614699951175e-09
1889,0.0,7.51816386923565e-09
1890,0.0,2.6217545912032847e-09
1891,0.0,1.1473596295275001e-08
1892,0.0,1.817868522380195e-08
1893,0.0,1.7859408174558666e-08
1894,6.301539290376468e-10,5.671385139294216e-09
1895,0.0,3.611168697403855e-09
1896,1.7691086373616827e-09,1.0024948871034667e-08
1897,1.7480140668268973e-09,7.574727511894253e-09
1898,0.0,3.3950129374460403e-09
1899,0.0,8.291367592505594e-09
1900,1.5573159428683425e-09,6.22926377147337e-09
1901,5.588738916095792e-10,3.912117296778206e-09
1902,0.0,3.437198747846537e-09
1903,0.0,1.1880484152015924e-08
1904,0.0,2.6873125946735854e-09
1905,0.0,2.580379465655369e-09
1906,5.144184522798412e-10,5.144184633820714e-09
1907,5.142843373384665e-10,2.5714217422034835e-09
1908,0.0,1.5225305460830896e-08
1909,0.0,1.0451868703853506e-08
