year,auront_VERB osé_VERB,auront_VERB causé_VERB
1800,0.0,1.8864987794131594e-08
1801,0.0,4.0480102825313224e-08
1802,0.0,3.3567602031325805e-08
1803,1.5602713787643552e-08,4.290746247193056e-08
1804,3.9549615138412264e-08,3.460591457837836e-08
1805,1.9900143755080535e-08,7.675770063997334e-08
1806,5.76333825108577e-09,1.729001475325731e-08
1807,2.2775640928784924e-08,2.562259560079383e-08
1808,0.0,4.305540457494317e-08
1809,2.259030518203531e-09,7.680704072754452e-08
1810,1.1700633351097167e-08,1.0764583180389309e-07
1811,3.008491944456182e-08,1.3287507272252697e-07
1812,0.0,9.068507722531649e-08
1813,5.751483289628823e-09,2.8757416004054903e-08
1814,1.8880061958270744e-08,5.664018942752591e-08
1815,2.697223555614414e-09,2.966945977789237e-08
1816,2.3176038865813098e-09,2.7811246638975717e-08
1817,3.113746815941454e-09,1.2454987263765815e-08
1818,2.1458118837358597e-08,5.6029534789558966e-08
1819,2.5877625375869684e-08,1.6561680027393777e-08
1820,3.322614716694261e-08,2.0173018810965004e-08
1821,1.8736827200882544e-08,1.7750679148775816e-08
1822,2.105379337535851e-08,2.0051231786055723e-08
1823,9.882686669016039e-09,7.906149512848515e-09
1824,5.052667617633233e-09,3.03160057057994e-08
1825,1.7610886082763955e-09,3.0819052199149155e-08
1826,5.284790383086602e-09,3.52319382557198e-08
1827,9.217273166939322e-09,4.7008093417844066e-08
1828,1.834460228167245e-08,2.659967357487858e-08
1829,3.1720752247110795e-08,4.8009784592295546e-08
1830,3.1310507520032616e-09,5.844628248041772e-08
1831,0.0,2.6505050598757407e-08
1832,2.705993873419743e-09,9.200379480489573e-08
1833,6.950177322551099e-09,4.9809603552830595e-08
1834,5.600718555598405e-09,3.267085801894609e-08
1835,1.285724948729694e-08,6.352993864311429e-08
1836,8.736974699274924e-09,4.973355061110851e-08
1837,9.74104708006962e-09,2.7135774516295896e-08
1838,1.2624323808552163e-09,2.1461350030449466e-08
1839,2.7965900706306e-09,2.6567605004856887e-08
1840,1.9746034141121527e-08,1.8472096741106725e-08
1841,2.5682194149112547e-09,2.5682194149112547e-08
1842,1.341653010911159e-09,3.219967226186782e-08
1843,3.5441467538532834e-09,3.071593823733565e-08
1844,2.030767731753258e-08,3.2931367854871496e-08
1845,6.696273757711424e-09,3.627148004170522e-08
1846,1.6978054517835517e-08,5.3861413107370026e-08
1847,1.5101026207275936e-08,2.8584086209093584e-08
1848,4.82713291560799e-09,3.539897619475596e-08
1849,1.3407063903514427e-08,3.77073661184113e-08
1850,3.394498016007219e-09,1.4935791270431764e-08
1851,1.2898877521649865e-09,3.418202609850596e-08
1852,1.3021090872200602e-08,5.2735419586724674e-08
1853,1.1346670270029335e-08,2.448492075757258e-08
1854,6.234797567117312e-09,2.3900057044556888e-08
1855,1.0613874223963649e-09,2.0166361025530932e-08
1856,9.318940286107136e-09,1.1389816201301528e-08
1857,9.274867096564776e-09,2.0502337605421417e-08
1858,1.468102794888182e-08,2.104280660830682e-08
1859,5.601390462572908e-09,2.1387128512628806e-08
1860,1.9681891672007623e-08,2.5632230560290736e-08
1861,4.715963619617014e-09,2.263662679524714e-08
1862,4.9697850279528666e-09,2.84633134839396e-08
1863,6.99246927027275e-09,3.696019490462277e-08
1864,1.102787461348953e-08,4.698833322436258e-08
1865,5.177528628053096e-09,2.871175119878444e-08
1866,8.75810357570117e-09,2.432806489593986e-08
1867,9.7056229719783e-09,3.930777126015528e-08
1868,4.93987406535723e-10,1.1312311443134604e-07
1869,5.860222973552709e-09,5.225365384831093e-08
1870,2.8670243956696595e-09,2.9243649279919737e-08
1871,0.0,1.805600113868877e-08
1872,1.2094678591978436e-09,4.7169248063028135e-08
1873,7.781805422268917e-09,2.095101514498765e-08
1874,4.779687312606029e-09,1.3741600746186577e-08
1875,6.293679799540541e-09,2.2313955128083762e-08
1876,4.836811839936672e-09,3.204387866162506e-08
1877,0.0,2.72131899237138e-08
1878,4.831270938865373e-09,1.872117572077059e-08
1879,0.0,2.6881030734671185e-08
1880,7.701415505323439e-09,4.299957012676714e-08
1881,6.972507571312292e-10,2.2312024228199334e-08
1882,9.317538740560849e-09,2.6621540527571597e-08
1883,7.58320695126713e-09,2.9068958795619437e-08
1884,3.9610181801208455e-09,5.479408571318345e-08
1885,1.933690763067375e-09,3.0939052209078e-08
1886,7.744156427236248e-09,2.1296431285122708e-08
1887,5.876032105334161e-09,1.4363633837888301e-08
1888,1.268122939990235e-09,1.521747527988282e-08
1889,1.8795409673089125e-09,2.380751951136517e-08
1890,5.243509182406569e-09,5.571228456346944e-08
1891,4.461953917456185e-09,1.8485238229004608e-08
1892,3.1342561879199593e-09,1.1283322720601063e-08
1893,1.847525021858587e-09,1.847524977449666e-08
1894,3.780923574225881e-09,3.528862180246506e-08
1895,2.4074457982692365e-09,2.1065151400989635e-08
1896,0.0,2.4177818858106548e-08
1897,5.2440420894583895e-09,1.631479840114025e-08
1898,1.13167097914868e-09,3.395012981854961e-08
1899,4.9748205555033564e-09,3.3165470370022376e-08
1900,6.748368974740515e-09,1.453494924419374e-08
1901,2.235495566438317e-09,1.7883964531506535e-08
