year,sont_VERB ouverts_ADJ,sont_VERB couverts_ADJ
1800,4.087413785214267e-08,5.329358828021213e-06
1801,5.714838380299625e-08,3.8718030737072695e-06
1802,7.384872446891677e-08,4.310079930291977e-06
1803,1.170203560718619e-07,5.730096745537594e-06
1804,4.943701981119375e-08,4.7558410187775735e-06
1805,6.822906328807221e-08,3.7895558762102155e-06
1806,9.221341201737232e-08,3.339854629302863e-06
1807,5.124519120158766e-08,3.1430383842234733e-06
1808,7.478044494746428e-08,3.927106263290625e-06
1809,7.454800510231507e-08,4.448031177162193e-06
1810,5.8503168531842675e-08,2.7239075279794633e-06
1811,1.42903374467096e-07,3.775657660298748e-06
1812,9.335229123053068e-08,3.3740184335329104e-06
1813,4.3136125782439194e-08,2.8441083941288525e-06
1814,7.237357380063258e-08,2.6841155431611696e-06
1815,1.4565007688815967e-07,2.570453943917528e-06
1816,1.3905622608945123e-07,4.0488539525540546e-06
1817,4.826307531402563e-08,3.308356099296361e-06
1818,9.179306914575136e-08,3.283092155470513e-06
1819,6.210630232317271e-08,2.4066191599558806e-06
1820,8.899861114741725e-08,2.7815030989586376e-06
1821,3.550135829755163e-08,2.92787581201992e-06
1822,6.316138012607553e-08,2.6738316591945477e-06
1823,5.0401702367253165e-08,2.385680545557989e-06
1824,8.168479581627253e-08,2.3848590444686124e-06
1825,6.956300069305144e-08,2.820383315338404e-06
1826,3.3470339388941284e-08,3.0026419608475408e-06
1827,7.18947319455765e-08,2.804816176649183e-06
1828,7.613009955775851e-08,2.728759682213422e-06
1829,1.0116347937128012e-07,2.7417017918196507e-06
1830,6.992679857376061e-08,2.9818040729878703e-06
1831,4.053713453799901e-08,3.040285264432896e-06
1832,5.141388470519814e-08,2.4949263206508476e-06
1833,9.498575082034222e-08,3.323342980365851e-06
1834,7.560970405329215e-08,2.6818106562132016e-06
1835,7.33619529569296e-08,2.712123432502267e-06
1836,1.0551577389605882e-07,2.2964802610658808e-06
1837,1.0575994480177542e-07,2.0769305137946503e-06
1838,7.953323688525415e-08,2.1896889847994316e-06
1839,8.249940464111205e-08,2.223988303740043e-06
1840,6.879263736436769e-08,2.1096409454912646e-06
1841,6.677370256724657e-08,2.216373331975774e-06
1842,9.726984018243456e-08,2.090966290779761e-06
1843,9.805472700463724e-08,1.8535887420512154e-06
1844,9.659867572509029e-08,1.7568884231877746e-06
1845,1.1048851433770324e-07,1.9190404145774664e-06
1846,7.552306868774394e-08,1.7856228851087508e-06
1847,6.47186837454683e-08,1.8342353769185138e-06
1848,1.1021953838508125e-07,2.1722098608734086e-06
1849,7.792856138166826e-08,1.910506625790731e-06
1850,1.2016522532576346e-07,1.88530418654409e-06
1851,1.457573119978406e-07,1.8116473938789568e-06
1852,1.217472029857447e-07,2.0241286620148458e-06
1853,1.0271723027699409e-07,2.2997910491540097e-06
1854,7.377843758149538e-08,1.8065325093630236e-06
1855,9.711695270198106e-08,1.740144625728135e-06
1856,1.0923869098178329e-07,1.5712769254605519e-06
1857,1.2008511873773386e-07,1.6172439245565329e-06
1858,9.738415229776365e-08,1.566955006637727e-06
1859,8.402086137948572e-08,1.5994515933925868e-06
1860,6.362285728811479e-08,1.8116494402420358e-06
1861,1.1742749705945243e-07,1.650115677875874e-06
1862,9.216692123392711e-08,1.7394247606716817e-06
1863,9.09020982930997e-08,1.5158674386839266e-06
1864,9.781245324802512e-08,1.6724011402402539e-06
1865,8.519388217109736e-08,1.4445305396293406e-06
1866,9.050040006286508e-08,1.5501842653975473e-06
1867,8.298307818677131e-08,1.720806949379039e-06
1868,7.064020157709905e-08,1.5679160014769877e-06
1869,9.132181066906497e-08,1.4870315681037027e-06
1870,7.110220368033993e-08,1.497160155849997e-06
1871,7.647247302067228e-08,1.4816541806794703e-06
1872,1.1248051379197932e-07,1.4489424984276411e-06
1873,1.077480826228161e-07,1.5156563222262776e-06
1874,8.065722312267098e-08,1.4446604836848564e-06
1875,7.78127713374488e-08,1.55682755575981e-06
1876,1.027822520427435e-07,1.6463297924929066e-06
1877,1.1194516957857559e-07,1.5833129509701394e-06
1878,8.515115013096874e-08,1.4880314438414644e-06
1879,8.675242213485035e-08,1.4686818303744076e-06
1880,9.626769070791852e-08,1.5813573099876521e-06
1881,7.878933416805012e-08,1.5095479284354951e-06
1882,8.91821585469188e-08,1.4089450814935844e-06
1883,7.709593319304986e-08,1.570987706145388e-06
1884,1.0034579389639475e-07,1.682112383605272e-06
1885,8.766064496512627e-08,1.552109097247012e-06
1886,1.1809839151055712e-07,1.4333143099065637e-06
1887,1.1947932421207952e-07,1.5316857115976745e-06
1888,1.0842450848258522e-07,1.3606959328171797e-06
1889,1.0462778021746999e-07,1.5042593304315233e-06
1890,1.2125615000968537e-07,1.3246415164758218e-06
1891,1.1027400859120462e-07,1.246797410203726e-06
1892,1.1408692635050954e-07,1.3370737406148692e-06
1893,1.3179011670860774e-07,1.40535064474534e-06
1894,1.0901662705897763e-07,1.4909442143107299e-06
1895,1.0713133491435656e-07,1.4209948631105362e-06
1896,9.14039475219397e-08,1.3398049532042933e-06
1897,1.0138481343346939e-07,1.383844505653542e-06
1898,1.0750873968845553e-07,1.1882544868058176e-06
1899,8.236091986191241e-08,1.2613934359251289e-06
1900,9.188163829776386e-08,1.3953550705991802e-06
1901,1.358063493328565e-07,1.2921163943246938e-06
1902,2.4649625629535876e-07,1.3085906402920955e-06
1903,1.1070451222394695e-07,1.458599513171066e-06
1904,1.0211788037395308e-07,1.2512127796071582e-06
1905,8.102392001774206e-08,1.155493919213768e-06
1906,8.024927922178904e-08,1.0710192555052345e-06
1907,1.0645685932786364e-07,1.0954256595141487e-06
1908,8.987841937369012e-08,1.124708091992943e-06
1909,1.1607075123265531e-07,1.2333205177128548e-06
1910,9.352263841133635e-08,1.2195351928312448e-06
1911,8.7786176550253e-08,1.1247270776948426e-06
1912,1.0418842383286275e-07,1.089289980882313e-06
1913,1.3522624442430242e-07,1.1258247241130448e-06
1914,1.5067674041802093e-07,1.0929085192401544e-06
1915,1.8731411077776983e-07,1.1568707805054146e-06
1916,1.53824464499408e-07,1.1954358569710166e-06
1917,1.4695009087350996e-07,1.0472934945937595e-06
1918,1.711470076770638e-07,9.60261104410165e-07
1919,7.458357487166722e-08,9.226263841810578e-07
1920,9.010955892563288e-08,9.026099974107638e-07
1921,7.951384617399526e-08,8.178567441063933e-07
1922,9.443757420513066e-08,9.082238534574572e-07
1923,1.0085150847771729e-07,9.681745041234535e-07
1924,7.477142105472012e-08,1.1164146371811512e-06
1925,8.578578558626759e-08,1.0327289601264056e-06
1926,7.467912865877224e-08,1.033247031045903e-06
1927,7.246995892273844e-08,9.454542464482074e-07
1928,7.998228568339982e-08,1.0500532425794518e-06
1929,9.023729319324048e-08,9.35794162160164e-07
1930,7.352522146675255e-08,9.505761227046605e-07
1931,6.729160162421977e-08,9.877038564809482e-07
1932,7.562080384104775e-08,9.852623179540387e-07
1933,7.455930273181366e-08,8.820939001452643e-07
1934,8.506921744810825e-08,9.956693247659132e-07
1935,6.941604624444153e-08,8.49748175824061e-07
1936,9.82101866497942e-08,9.396653695148416e-07
1937,7.80649358489427e-08,9.569249641572242e-07
1938,8.68669403075728e-08,9.088615229302377e-07
1939,1.1011716338771294e-07,9.910544349622796e-07
1940,1.1411023059793024e-07,9.331681098956324e-07
1941,1.121570960549434e-07,8.79547769727651e-07
1942,1.4564216854751066e-07,1.1742399692593608e-06
1943,1.1903264329760077e-07,1.1380682281014742e-06
1944,1.5101974781828176e-07,9.89661316452839e-07
1945,1.1981772374269894e-07,7.51583911551279e-07
1946,7.517395950173977e-08,8.798137969279196e-07
1947,6.318061451793255e-08,7.891616746746877e-07
1948,8.045196686623513e-08,7.784271929267561e-07
1949,9.817008628232315e-08,8.25610413812683e-07
1950,1.3719616731577844e-07,8.92306843525148e-07
1951,1.0128331551229053e-07,9.350049481327005e-07
1952,1.0650252146859884e-07,8.393664074901608e-07
1953,1.034287429035885e-07,8.220430345318164e-07
1954,7.427127224346464e-08,8.531424100510776e-07
1955,7.602342577683885e-08,8.822471500025131e-07
1956,8.023449993288523e-08,9.209525728692824e-07
1957,9.806891726471534e-08,8.58765645261883e-07
1958,9.843969905887207e-08,8.206065444937849e-07
