year,étaient_VERB ouverts_ADJ,étaient_VERB couverts_ADJ
1800,3.144164484325529e-09,8.174827570428533e-08
1801,0.0,1.6430159632818686e-07
1802,0.0,1.6336232988578558e-07
1803,0.0,1.3847407842604298e-07
1804,0.0,1.7302956223375077e-07
1805,2.842877711017877e-09,2.302730877090653e-07
1806,2.881669125542885e-09,2.247701900159882e-07
1807,1.7081731584767113e-08,2.7046073114433966e-07
1808,0.0,1.3369836437959748e-07
1809,0.0,1.7394535234416253e-07
1810,0.0,1.6848912309797015e-07
1811,0.0,1.0529722516139373e-07
1812,0.0,1.973734100602087e-07
1813,0.0,2.70319702622146e-07
1814,0.0,1.4789382873914292e-07
1815,0.0,2.1847510822681215e-07
1816,2.3176038865813098e-09,2.016315363562171e-07
1817,0.0,1.0898114055635233e-07
1818,2.384235475716423e-09,2.873003666081786e-07
1819,2.070210003424222e-09,1.7079231895422708e-07
1820,2.3732962262101864e-09,2.95475388156774e-07
1821,0.0,2.031466550533878e-07
1822,0.0,2.676839585546986e-07
1823,9.882686891060644e-10,1.9666546791086148e-07
1824,0.0,1.5747480119898682e-07
1825,0.0,2.0164463876426453e-07
1826,8.807984341885344e-10,2.527891638237634e-07
1827,0.0,1.9909309401100472e-07
1828,0.0,1.7885987801946612e-07
1829,8.57317605795771e-10,2.6834041477741266e-07
1830,0.0,2.7553247150535753e-07
1831,1.5591206103948707e-09,2.5725489649630617e-07
1832,0.0,2.557164293648384e-07
1833,9.266902800675325e-09,3.7530955410147726e-07
1834,9.334530925997342e-10,2.9030391601736483e-07
1835,0.0,2.821031728217349e-07
1836,0.0,2.8428772225197463e-07
1837,6.957890930081589e-10,2.421346039227501e-07
1838,1.8936485712828244e-09,2.865721455691528e-07
1839,6.9914751765765e-10,2.5029481776073226e-07
1840,1.2739377330817092e-09,2.7389660317567177e-07
1841,6.420548537278137e-10,2.4526494257770537e-07
1842,3.3541325272778977e-09,2.1868943633762683e-07
1843,2.953455480181333e-09,2.0733257599658828e-07
1844,0.0,1.920996481885595e-07
1845,0.0,1.623846372922344e-07
1846,5.854501328173001e-10,1.6978053452021413e-07
1847,1.0786447290911383e-09,2.0763910413279518e-07
1848,1.6090443422100975e-09,2.43770216457051e-07
1849,8.379414939696517e-10,1.944024319300297e-07
1850,2.7155984128057753e-09,2.0502767483776552e-07
1851,1.2898877521649865e-09,2.0702698577679257e-07
1852,6.510545436100301e-10,1.894568697480281e-07
1853,5.971931837933653e-10,2.311137592414525e-07
1854,2.0782657816909023e-09,1.413220758195166e-07
1855,3.714855978387277e-09,2.409349519894022e-07
1856,0.0,1.5635112049494637e-07
1857,2.9289055625270066e-09,1.6401870084337133e-07
1858,3.4255731584664773e-09,2.1287490881150006e-07
1859,2.036869339860914e-09,2.026685024247854e-07
1860,1.8308735638683515e-09,1.501316262420005e-07
1861,1.4147891747029462e-09,1.44780088362495e-07
1862,0.0,1.7258707885048352e-07
1863,4.994620828036034e-10,1.5233592876029434e-07
1864,9.589455896019672e-10,1.80761247747796e-07
1865,4.706844358715045e-10,1.5438449452176428e-07
1866,9.731225825149181e-10,1.917051548616655e-07
1867,5.82337378318698e-09,1.693631190846645e-07
1868,1.4819622196071691e-09,1.6103989253224427e-07
1869,0.0,1.1915786757299429e-07
1870,3.4404292748035914e-09,1.3417674438187532e-07
1871,0.0,1.7737366420078615e-07
1872,0.0,1.4815981330684735e-07
1873,2.3944017879529156e-09,1.5503751171763724e-07
