year,aient_VERB omis_VERB,aient_VERB commis_VERB
1800,1.5720821977538435e-08,7.545995117652637e-08
1801,7.143547975374531e-09,8.334139067756041e-08
1802,1.7902721083373763e-08,6.042168365638645e-08
1803,1.950339223455444e-09,2.7304748684287006e-08
1804,2.4718509461507665e-09,7.909923027682453e-08
1805,2.2743021688143017e-08,4.264316544322355e-08
1806,8.645007376628655e-09,5.76333825108577e-09
1807,2.8469551160981155e-09,4.555128185756985e-08
1808,1.1330369531492579e-08,9.290903335568146e-08
1809,6.7770917766551975e-09,4.969867006821005e-08
1810,3.042164919975221e-08,2.574139479349924e-08
1811,2.5070767684098882e-09,1.42903374467096e-07
1812,1.600324850414836e-08,4.000812481308458e-08
1813,0.0,1.1790540810352468e-07
1814,0.0,1.5733386149463513e-08
1815,1.8880564667256294e-08,7.012781111370714e-08
1816,1.1588019432906549e-08,5.3304887615013286e-08
1817,1.71256075987003e-08,5.916118794857539e-08
1818,1.0729059418679299e-08,3.5763530803478716e-08
1819,4.5544620519422097e-08,8.79839276990424e-08
1820,2.610625848831205e-08,9.967844505354151e-08
1821,2.7612166775270452e-08,7.494730880353018e-08
1822,3.0076847679083585e-08,6.817418807258946e-08
1823,8.894418535021487e-09,4.842516432290722e-08
1824,5.894778887238772e-09,9.094802067011187e-08
1825,2.3774695989686734e-08,4.754939197937347e-08
1826,2.906634755106552e-08,9.160303449107232e-08
1827,5.530363722527909e-09,1.115290046982409e-07
1828,3.118582370120748e-08,1.2199160437376122e-07
1829,3.943661042171698e-08,8.658907546532646e-08
1830,5.740259823028282e-08,4.279102583382155e-08
1831,1.4032085715598441e-08,5.76874619184764e-08
1832,3.92369123858316e-08,5.0060886991332154e-08
1833,3.4750886612755494e-09,5.6759780875381693e-08
1834,1.7735608537350345e-08,5.0406466556296436e-08
1835,7.563087933704082e-09,1.0815215745196838e-07
1836,1.4785650037651976e-08,4.771732520225669e-08
1837,2.2265250976261086e-08,6.122944284925325e-08
1838,1.3255539776935166e-08,5.5547026533986354e-08
1839,1.4682098203877558e-08,4.824117993962318e-08
1840,1.8472096741106725e-08,7.325142092895476e-08
1841,2.0545755319290038e-08,7.126809009605495e-08
1842,1.408735705865638e-08,7.312009131510422e-08
1843,6.261326035428283e-08,7.029224491361674e-08
1844,9.879410178825765e-09,5.653217982626302e-08
1845,2.0646844234306627e-08,6.249855033502172e-08
1846,2.4588905134237393e-08,8.371937099127535e-08
1847,2.2651539310913904e-08,5.824681537092147e-08
1848,1.689496542667257e-08,1.0378335701943797e-07
1849,1.5920887719289567e-08,7.54147322368226e-08
1850,1.765138968323754e-08,6.381656447729256e-08
1851,2.5152811389261842e-08,5.095056465620473e-08
