year,ait_VERB assez_ADV,ait_VERB cassé_VERB
1800,6.854278353785048e-07,1.8864987794131594e-08
1801,7.024488581919286e-07,2.3811825844433088e-09
1802,6.444979590014555e-07,1.5664880947952042e-08
1803,6.065554885026359e-07,1.755305234496518e-08
1804,7.390834184661799e-07,0.0
1805,4.491746778967354e-07,8.528632911009026e-09
1806,6.195588753143966e-07,0.0
1807,4.98217161748471e-07,0.0
1808,4.3961836126982234e-07,1.3596443970698147e-08
1809,6.076792260500952e-07,4.518061036407062e-09
1810,5.358890007300943e-07,4.914266327205041e-08
1811,3.785685862567334e-07,5.0141535368197765e-09
1812,5.307744572746742e-07,2.1337665856435706e-08
1813,5.924027846049285e-07,2.5881675469463516e-08
1814,3.776012533762696e-07,0.0
1815,4.045835453325708e-07,2.697223555614414e-09
1816,4.936496225127485e-07,2.3176038865813098e-09
1817,4.32810793427052e-07,1.556873407970727e-09
1818,4.23201782950855e-07,8.344824387052086e-09
1819,5.175525075173937e-07,9.315945348475907e-09
1820,4.153268378104258e-07,7.119888678630559e-09
1821,3.609304712881567e-07,9.86148829262845e-10
1822,4.992756430510781e-07,2.5064039732569654e-08
1823,3.3403480870219937e-07,3.9530747564242574e-09
1824,3.494761813271907e-07,2.5263338088166165e-09
1825,4.781355755767436e-07,0.0
1826,3.9724008615849016e-07,1.5854372037438225e-08
1827,3.594736597278825e-07,8.295545583791863e-09
1828,3.3020285172824515e-07,1.6510142586412258e-08
1829,3.8064902696532954e-07,6.858540846366168e-09
1830,4.2269184064025467e-07,2.5048406016026092e-08
1831,4.022531072678248e-07,7.795603274018958e-09
1832,4.0725208805270086e-07,2.841293600397421e-08
1833,4.042686327920819e-07,1.1583628500844156e-09
1834,3.761815889902209e-07,5.600718555598405e-09
1835,3.4714574326244474e-07,1.3613558280667348e-08
1836,3.4141410765187175e-07,2.688300027031687e-09
1837,4.0355766373068036e-07,5.5663127440652715e-09
1838,3.6168688666293747e-07,3.1560809521380406e-09
1839,3.6215840282238787e-07,8.38977065598101e-09
1840,3.7899647509220813e-07,4.458782232319436e-09
1841,3.287320851086406e-07,1.926164561183441e-09
1842,3.3608407079555036e-07,6.708265054555795e-09
1843,3.733167659447645e-07,4.7255288571079745e-09
1844,3.7596643664983276e-07,4.9397050894128824e-09
1845,3.627148146279069e-07,8.37034175305007e-09
1846,3.518555331538664e-07,1.1709002656346001e-09
1847,3.0525646366186265e-07,2.6966118227278457e-09
1848,3.990429888744984e-07,4.82713291560799e-09
1849,2.9998304285072663e-07,1.6758829879393033e-09
1850,3.645690753728559e-07,1.2899092460827433e-08
1851,3.8180678529897705e-07,5.159551008659946e-09
1852,3.320378141324909e-07,1.4323200403509873e-08
1853,3.218871142962598e-07,9.555090940693844e-09
1854,3.673334845188947e-07,1.0391328908454511e-09
1855,3.348677353187668e-07,8.491099379170919e-09
1856,2.4384561925216985e-07,7.248064815001953e-09
1857,2.67018549493514e-07,2.4407544874094356e-09
1858,3.35216810753991e-07,9.787352261980686e-09
1859,3.0298431852315844e-07,5.092173349652285e-10
1860,3.1491026675212197e-07,8.238931314963338e-09
1861,2.7682708036991244e-07,4.715963619617014e-09
1862,3.5466192116473394e-07,1.1294965851504912e-08
1863,3.426309831411345e-07,3.995696662428827e-09
1864,3.102188941284112e-07,4.315255264231155e-09
1865,2.8947093255737855e-07,3.765475486972036e-09
