year,voulait_VERB ouvrir_VERB,voulait_VERB couvrir_VERB
1800,1.2576657937302116e-08,3.144164484325529e-09
1801,1.6668277424969347e-08,2.8574191901498125e-08
1802,8.951360541686881e-09,6.713520406265161e-09
1803,1.950339223455444e-09,1.950339267864365e-08
1804,9.887403784603066e-09,5.438072037122765e-08
1805,2.842877711017877e-09,1.1371510844071508e-08
1806,5.76333825108577e-09,2.881669125542885e-09
1807,2.8469551160981155e-09,3.4163463169534225e-08
1808,9.064295980465431e-09,2.039466551195801e-08
1809,2.25903047379461e-08,3.388545621874073e-08
1810,2.106114038724627e-08,1.4040760554223652e-08
1811,1.2535384286138651e-08,1.7549536934780008e-08
1812,1.0668832928217853e-08,2.6672082320544632e-09
1813,6.326631307729258e-08,6.039057609541487e-08
1814,4.405347908686963e-08,5.97868634599763e-08
1815,4.315557688983063e-08,7.282503844407984e-08
1816,1.8540831092650478e-08,4.6352077731626196e-08
1817,6.694555310104988e-08,3.42512151974006e-08
1818,2.384235386898581e-08,5.0068944545955674e-08
1819,8.280840013696888e-09,2.070209959015301e-08
1820,5.102586797534059e-08,2.4919611263385377e-08
1821,4.339054981983281e-08,4.536284592404627e-08
1822,5.012807946513931e-08,6.115625694746996e-08
1823,4.644862983127496e-08,5.929612001409623e-08
1824,3.03160057057994e-08,4.126345132249298e-08
1825,9.509878395874694e-08,2.6416328680056722e-08
1826,5.2847905607222856e-08,2.3781558056157337e-08
1827,2.488663675137559e-08,4.2399456390285195e-08
1828,7.613009955775851e-08,5.503380862137419e-08
1829,4.715246859632316e-08,3.3435387791769244e-08
1830,5.114049628218709e-08,3.339787468803479e-08
1831,5.76874619184764e-08,6.236482441579483e-09
1832,7.712082350508354e-08,8.659180394943178e-08
1833,7.066013552048389e-08,4.749287541017111e-08
1834,5.3206825612051034e-08,2.7070139907436896e-08
1835,3.2521278114927554e-08,1.739510224751939e-08
1836,3.293167694096155e-08,3.2259599436201825e-08
1837,5.4967337348443834e-08,3.270208637218275e-08
1838,4.418513199766494e-08,5.680945847075236e-08
1839,4.894032556990169e-08,2.4470162784950844e-08
1840,6.497082694068013e-08,3.05745047057826e-08
1841,5.264849889385914e-08,1.926164472365599e-08
1842,5.567860128508073e-08,3.018719141323345e-08
