year,auront_VERB ouvert_VERB,auront_VERB couvert_VERB
1800,1.2576657937302116e-08,0.0
1801,1.904946067554647e-08,4.7623651688866175e-09
1802,4.475680270843441e-09,0.0
1803,9.751696339321825e-09,2.3404069793286908e-08
1804,2.7190360185613827e-08,0.0
1805,8.528632911009026e-09,5.685755422035754e-09
1806,0.0,0.0
1807,0.0,0.0
1808,4.5321479902327155e-09,0.0
1809,2.9367397402779716e-08,0.0
1810,7.722418615685456e-08,0.0
1811,5.0141535368197765e-09,1.0028307073639553e-08
1812,0.0,1.8670457180292033e-08
1813,0.0,2.0130190847567064e-08
1814,9.440030979135372e-09,0.0
1815,1.6183340889597275e-08,5.394447111228828e-09
1816,2.3176038865813098e-09,2.3176038865813098e-09
1817,1.556873407970727e-09,1.556873407970727e-09
1818,2.5034472272977837e-08,1.1921177378582115e-09
1819,1.7596784473994376e-08,2.070210003424222e-09
1820,3.5599443393152796e-09,0.0
1821,1.1833785507064931e-08,8.875339574387908e-09
1822,1.804610860745015e-08,1.4035862250239006e-08
1823,1.2847492847356534e-08,0.0
1824,5.894778887238772e-09,0.0
1825,7.044354433105582e-09,0.0
1826,1.4973572604048968e-08,7.927186018719112e-09
1827,2.7651818612639545e-08,1.8434546111834038e-09
1828,1.1923991571904935e-08,5.503380862137419e-09
1829,1.5431716349212365e-08,8.57317605795771e-10
1830,5.218417697960831e-09,0.0
1831,1.4032085715598441e-08,0.0
1832,1.6235963684607668e-08,2.705993873419743e-09
1833,3.70676112027013e-08,0.0
1834,5.3206825612051034e-08,1.0267983796552471e-08
1835,6.806779140333674e-09,2.2689263801112247e-09
1836,1.6129799718100912e-08,0.0
1837,6.262101948095733e-09,0.0
1838,8.2058102535143e-09,3.787297142565649e-09
1839,9.788065469251706e-09,0.0
1840,2.5478754661634184e-09,7.0066574764382494e-09
1841,1.9903700021473014e-08,1.2841097074556274e-09
1842,1.341653010911159e-08,3.3541325272778977e-09
1843,6.497602011990011e-09,1.7720733769266417e-09
1844,1.756339607084101e-08,1.6465684371524958e-09
1845,5.580227835366713e-09,1.674068350610014e-08
1846,1.1709002656346001e-09,2.3418005312692003e-09
1847,8.089835468183537e-09,5.393223645455691e-10
1848,1.6090443422100975e-09,2.413566457803995e-09
1849,3.100383594301093e-08,2.5976186535103807e-08
1850,1.2220192857625989e-08,8.82569484161877e-09
1851,1.870337307252612e-08,0.0
1852,3.971432604998881e-08,6.510545436100301e-10
1853,2.6873692604567623e-08,5.971931837933653e-10
1854,3.533051895487915e-08,4.676098175337984e-09
1855,1.6982198758341838e-08,0.0
1856,1.7084724746041502e-08,0.0
1857,3.514686497396724e-08,2.9289055625270066e-09
1858,2.300027723833864e-08,4.893676130990343e-09
1859,3.819129901216911e-08,5.092173349652285e-10
1860,1.0069804545764782e-08,3.204028820036342e-09
1861,9.431927239234028e-09,0.0
1862,3.4336697041226216e-08,2.710791813242963e-09
1863,2.3474717281146695e-08,3.995696662428827e-09
1864,1.0548401263577034e-08,2.3973640850272204e-09
