year,auraient_VERB omis_VERB,auraient_VERB commis_VERB
1800,6.288328968651058e-09,2.2009151834367913e-08
1801,0.0,2.1430643926123594e-08
1802,0.0,1.3427040812530322e-08
1803,7.801356893821776e-09,9.751696339321825e-09
1804,9.887403784603066e-09,3.213406074564773e-08
1805,5.685755422035754e-09,1.9900143755080535e-08
1806,1.2103009794373065e-07,4.3225035994964855e-08
1807,9.679647661187119e-08,4.839823830593559e-08
1808,4.985362878073829e-08,5.211970233176544e-08
1809,1.3554183553310395e-08,9.93973401364201e-08
1810,6.552355102940055e-08,2.0827128821565566e-07
1811,4.262030373070047e-08,1.2284675676710322e-07
1812,4.267533171287141e-08,1.4669645054254943e-07
1813,5.751483289628823e-09,5.7514832008109806e-08
1814,3.1466771410748606e-09,3.776012391654149e-08
1815,2.1577788444915313e-08,2.1577788444915313e-08
1816,1.3905623319487859e-08,5.0987285504788815e-08
1817,8.251429051142622e-08,2.0239355080775567e-08
1818,3.5763530803478716e-08,8.583247534943439e-08
1819,2.173720581311045e-08,5.2790355198339967e-08
1820,1.779972080839798e-08,7.001224133773576e-08
1821,5.9168927535324656e-09,8.283650032581136e-08
1822,2.7069162911175226e-08,6.416394171537831e-08
1823,2.7671523739059012e-08,1.1266263300058199e-07
1824,3.8737120178211626e-08,6.14741253457396e-08
1825,3.522177394188475e-08,8.893497494000258e-08
1826,2.025836387531399e-08,6.958307352533666e-08
1827,2.3043183361437514e-08,7.373818533551457e-08
1828,2.5682442839070063e-08,8.255071293206129e-08
1829,4.372319750700626e-08,7.372931065674493e-08
1830,4.383471008395645e-08,1.2002361415852647e-07
1831,4.365537620287796e-08,1.5279381671007286e-07
1832,3.788391467196561e-08,1.1500473817704915e-07
1833,4.170106393530659e-08,1.332117278707301e-07
1834,5.507373401769655e-08,8.961149688957448e-08
1835,2.647080776796429e-08,1.3462296521993267e-07
1836,2.419469957715137e-08,1.1358067553146611e-07
1837,2.435261770017405e-08,1.196757182242436e-07
1838,3.408567295082321e-08,8.77390533560174e-08
1839,4.055055669027752e-08,9.019002789045771e-08
1840,7.070354257621148e-08,9.873017603467815e-08
1841,3.467096121312352e-08,1.0337083011791037e-07
1842,2.884553929050071e-08,1.448985216256915e-07
1843,3.5441466650354414e-08,9.096643083239542e-08
1844,4.226192018563779e-08,1.4874001408315962e-07
1845,3.459741293454499e-08,1.1551071565918392e-07
1846,5.3861413107370026e-08,1.299699334822435e-07
1847,4.961765753819236e-08,1.4723499930369144e-07
1848,2.896279838182636e-08,9.412909207640041e-08
1849,4.9438547478075634e-08,1.1898769258777975e-07
1850,2.9192683825840504e-08,1.1880742789571741e-07
1851,2.7732586005413395e-08,1.4511236656744586e-07
1852,4.492276417522589e-08,8.268392548416159e-08
1853,3.941475057445132e-08,1.068975805651462e-07
1854,5.0397943596180994e-08,8.105236304345453e-08
1855,2.2289135870323662e-08,1.0613874223963649e-07
1856,1.7084724746041502e-08,8.594134470740755e-08
1857,3.856392183365642e-08,6.68766730882453e-08
1858,1.6149130033227266e-08,8.857553268626361e-08
1859,2.7497735644033128e-08,6.823512421760825e-08
1860,2.8378540406492903e-08,7.415037828195636e-08
1861,1.6034276129062164e-08,1.084671623630129e-07
1862,2.3493528900075944e-08,1.2695541329321713e-07
1863,1.9479021062807078e-08,9.839403247724476e-08
1864,3.0206784629172034e-08,1.3185501757106977e-07
1865,1.0825742080555756e-08,6.307171673824996e-08
1866,2.1895258939252926e-08,8.271541673821048e-08
1867,2.9602150064533816e-08,1.0967353603064112e-07
1868,2.420538258718352e-08,8.397785933311752e-08
1869,3.027781758646597e-08,1.2697149998075474e-07
1870,2.121598008386627e-08,1.0091925872757201e-07
1871,3.823623728749226e-08,1.1258448040507574e-07
1872,3.4469834986339265e-08,9.978109716257677e-08
1873,1.3169209722718733e-08,8.440266441311906e-08
1874,1.4339061493728877e-08,9.977597414945194e-08
1875,3.718992758194872e-08,7.380769773135398e-08
1876,3.627608879952504e-09,7.920279188056156e-08
1877,1.1132669008873108e-08,6.679601227688181e-08
1878,1.9928991790152395e-08,6.76377922559368e-08
1879,2.932476128592043e-08,8.369775628125353e-08
1880,1.3477476912271413e-08,1.0910338943403985e-07
1881,4.671580100534811e-08,1.052848617177915e-07
1882,1.7304001787010748e-08,1.0848278009234491e-07
1883,1.64302811356265e-08,1.1501197150209919e-07
1884,1.650424152899177e-08,1.095881714263669e-07
1885,2.5782542323327107e-08,7.283568237426152e-08
1886,1.1616235084943582e-08,1.2261581616712647e-07
1887,1.9586773092328258e-08,1.0380990289604597e-07
1888,1.7119660356001987e-08,1.1032669533506123e-07
1889,1.7542383545787743e-08,6.703696442400542e-08
1890,1.8352281472289178e-08,9.503860098902805e-08
1891,2.6134301833735663e-08,7.712806393556093e-08
1892,2.1312942521944933e-08,7.961011050383604e-08
1893,1.7859408174558666e-08,1.1639406949370823e-07
1894,2.3945849747519787e-08,1.0586585830196782e-07
1895,1.625025980445116e-08,9.44922504686474e-08
1896,1.8870492723976895e-08,1.0732592414797182e-07
1897,1.1070755867592652e-08,8.390467343133423e-08
1898,1.584339415217073e-08,1.1316709702668959e-07
1899,2.7085134135518274e-08,8.788849470420246e-08
1900,2.595526638060619e-08,6.48881623988018e-08
1901,2.9061443029831935e-08,6.818261510943557e-08
1902,2.0623192042990013e-08,6.923499995536986e-08
1903,2.376096830403185e-08,9.180374149764248e-08
1904,1.5586412160928376e-08,7.255744094436523e-08
1905,1.4966200723165457e-08,7.379885147429377e-08
1906,2.572092228092515e-08,4.6812079546043606e-08
1907,3.754275823553144e-08,8.897119130324427e-08
1908,2.504808449543816e-08,8.00556421154397e-08
1909,3.6306492035009796e-08,7.426327641724129e-08
1910,2.939282950364941e-08,7.481811081788692e-08
1911,3.405039450399272e-08,5.905615196866165e-08
1912,2.135862686714063e-08,6.042928646365908e-08
1913,1.6969567084856862e-08,8.749933044782665e-08
1914,2.0759905794420774e-08,5.49132970206756e-08
1915,1.295883844676382e-08,7.657494904833584e-08
1916,3.076489463182952e-08,7.251725264723063e-08
1917,1.315970976634162e-08,5.263883906536648e-08
1918,1.1486376294556067e-08,7.581008532042688e-08
1919,2.025726608678724e-08,6.537572261322566e-08
1920,3.63467123065675e-08,4.391894492528081e-08
1921,2.3475516641724425e-08,8.330022183145047e-08
1922,1.475587119159627e-08,4.574319945049865e-08
1923,3.1847843473542525e-08,6.688047449188161e-08
1924,2.707241186783449e-08,4.769901096324247e-08
1925,5.169143690864075e-08,4.3992713472107425e-08
1926,1.2260752413340015e-08,6.687682940764716e-08
1927,1.6723836537835268e-08,6.578042643923254e-08
1928,1.2568645679778001e-08,6.055801549109674e-08
1929,2.785101571589621e-08,6.572840050012019e-08
1930,1.3654684494213143e-08,5.7769820926978355e-08
1931,1.596749932275543e-08,6.158892773555635e-08
1932,2.849479585620429e-08,4.274219378430644e-08
1933,1.9500125958415992e-08,3.555905436769535e-08
1934,9.585264137967897e-09,3.5944740517379614e-08
1935,4.787313656606784e-09,4.4282650435434334e-08
1936,2.0612015205756506e-08,5.8198629915295896e-08
1937,1.888667711114067e-08,4.1550688223424004e-08
1938,1.2965214679638848e-08,4.797129449229942e-08
1939,1.988226472349197e-08,3.5176316970364496e-08
1940,1.7750480196809804e-08,4.057252667166722e-08
1941,5.9030051957620344e-09,6.198155233505531e-08
1942,1.2136847082899749e-08,2.1239483061208375e-08
1943,2.0322646676618206e-08,6.387117679196308e-08
1944,3.2131861615880553e-09,2.8918675454292497e-08
1945,1.9606536838523425e-08,5.8819608739213436e-08
1946,5.568441707737293e-09,5.4292307538617024e-08
1947,8.344609447874518e-09,6.794896734163558e-08
1948,1.4133454406817236e-08,4.1313175103141475e-08
1949,9.817008539414473e-09,5.5956945743673714e-08
1950,2.0207187034770868e-08,5.7430952438153327e-08
1951,2.2388944032059044e-08,4.051332780363737e-08
1952,2.319856839960721e-08,4.2179216563908994e-08
1953,3.124409886368085e-08,3.878577814475648e-08
1954,1.4658803948464083e-08,4.69081733456278e-08
1955,1.783265446420046e-08,3.754243138587299e-08
1956,2.52913103793162e-08,4.098936656760088e-08
1957,1.4136060322300636e-08,3.180613461495341e-08
1958,1.3235589513271862e-08,3.22617488279775e-08
1959,6.975672928177801e-09,6.433120347537624e-08
1960,2.5607082676515347e-08,3.5296249478733444e-08
1961,1.528595028332802e-08,4.238377115939329e-08
1962,5.0735651235811474e-09,4.5662087444497956e-08
1963,5.819448034571906e-09,4.138274078968607e-08
1964,8.517555549758526e-09,2.7377858202726202e-08
1965,1.3132904541635071e-08,3.6115487489496445e-08
1966,9.970334780007306e-09,4.763604266599941e-08
1967,4.437302081328198e-09,3.254021407883556e-08
1968,5.838840522187638e-09,3.323647845832056e-08
1969,1.2716921737876419e-08,8.402251694406004e-08
1970,1.1956685419534097e-08,5.564457339346518e-08
1971,1.2332153964678128e-08,3.083038535578453e-08
1972,6.156176013405457e-09,2.205963234302999e-08
1973,1.3783009400469837e-08,3.6938466507763223e-08
1974,2.0814615808717463e-08,4.950502940914703e-08
1975,9.138368284311582e-09,3.255543745694922e-08
1976,1.199840671262109e-08,2.628222439682304e-08
1977,8.22749424145286e-09,3.114694280270669e-08
1978,1.544553818177974e-08,3.5643548557118265e-08
1979,1.404473604083023e-08,3.4526642878063285e-08
1980,1.7055452605774235e-09,2.8994268319593175e-08
1981,7.590659656386833e-09,3.6688188487232765e-08
1982,4.966001831974154e-09,3.1658260013500694e-08
1983,7.57837881337764e-09,3.157657957331139e-08
1984,4.639206796497319e-09,2.4935737030773453e-08
1985,4.812446441349039e-09,2.6468455871508922e-08
1986,3.5966913891627428e-09,2.45773907892044e-08
1987,4.888653482026939e-09,3.0554083707556856e-08
1988,1.3192418713003917e-08,2.2187249371086182e-08
1989,1.0427432250992297e-08,3.84168536982088e-08
1990,8.717841559757744e-09,4.413407239667322e-08
1991,1.0550637696837839e-08,3.341035181847474e-08
1992,1.1570882918476855e-08,3.7467621893938485e-08
1993,4.4313659408601325e-09,4.3759737167192725e-08
1994,1.8462243289718572e-08,4.8529326335255973e-08
1995,1.5182862966867106e-08,3.7957157417167764e-08
1996,9.60856638698715e-09,3.896807143632941e-08
1997,1.6782131240233866e-08,3.7400177177460137e-08
1998,7.629006759657386e-09,3.0516027038629545e-08
1999,1.3253583119876566e-08,4.0217770447270595e-08
2000,8.394259509714175e-09,3.446064411605221e-08
2001,4.381211837767296e-09,3.680217730561708e-08
2002,9.200564754507923e-09,3.7678503872484725e-08
2003,7.91715315529018e-09,3.333538245442469e-08
2004,6.607186797680242e-09,2.026203915761471e-08
2005,6.7556245042510454e-09,3.512924706683407e-08
2006,9.882935358973555e-09,4.982646828466386e-08
2007,8.787854888225866e-09,3.595031472514165e-08
2008,7.2376473703172906e-09,3.8316958494988285e-08
2009,2.384096253749135e-09,3.4807804638603557e-08
2010,4.2514138876015295e-09,3.070465481869178e-08
2011,5.7359579308524644e-09,3.288615957330876e-08
2012,2.7234021704458655e-09,2.927657405393802e-08
2013,6.414987652192394e-09,3.346950094851309e-08
2014,5.197068553286499e-09,3.334785603215096e-08
2015,6.871383906315032e-09,4.2779905840006904e-08
2016,7.663958356829426e-09,3.1898636621008336e-08
2017,6.289028409156572e-09,3.597324038651095e-08
2018,4.904786798931582e-09,3.278462656908232e-08
2019,5.3570743396846865e-09,2.3469088006322636e-08
