year,eût_VERB osé_VERB,eût_VERB causé_VERB
1800,6.571303856617305e-07,5.345079756580162e-08
1801,7.810278930264758e-07,1.0715321963061797e-07
1802,5.415573127720563e-07,6.489736392722989e-08
1803,4.602800629527337e-07,8.776526527753958e-08
1804,7.069493790368142e-07,1.5325475999361515e-07
1805,6.680762680844055e-07,8.52863308864471e-08
1806,6.800739242862619e-07,5.4751712497136396e-08
1807,4.5551280436484376e-07,9.394951661079176e-08
1808,5.076005891169189e-07,1.0877155176558517e-07
1809,5.670166842719482e-07,8.810219043198231e-08
1810,6.341743414850498e-07,1.2402671245581587e-07
1811,6.869390176689194e-07,1.3036799373367103e-07
1812,5.227728365753137e-07,1.0402111882967802e-07
1813,7.275626217051467e-07,7.476928232108548e-08
1814,9.219763796863845e-07,6.922689976818219e-08
1815,5.286557893668942e-07,5.664169577812572e-08
1816,5.029200451645011e-07,1.1124498655590287e-07
1817,6.710124580422416e-07,9.029865566390072e-08
1818,7.951425118335465e-07,9.894576891156248e-08
1819,8.384350280721264e-07,1.3352854466575081e-07
1820,6.657095923401357e-07,1.0205173595068118e-07
1821,7.46514672300691e-07,1.2129630988511053e-07
1822,7.449032750628248e-07,1.0025615893027862e-07
1823,8.775825790507952e-07,1.8282970870586723e-07
1824,8.631640753264946e-07,1.7431703724923864e-07
1825,9.131244382842851e-07,1.3384273245264922e-07
1826,6.103933287704422e-07,7.662946188702335e-08
1827,6.295397270150715e-07,1.1337245808817897e-07
1828,5.824411459798284e-07,8.988855171310206e-08
1829,7.098589662746235e-07,8.487444347338169e-08
1830,6.669138201687019e-07,1.1689256496083544e-07
1831,4.661770560687728e-07,4.5214498811674275e-08
1832,6.41320525573974e-07,3.788391467196561e-08
1833,5.722312721445633e-07,1.4247862623051333e-07
1834,6.254135769268032e-07,1.0734710542692483e-07
1835,5.377355591917876e-07,9.680752555141225e-08
1836,5.900818678128417e-07,1.1694105239712371e-07
1837,5.942038683315332e-07,1.2454624709334894e-07
1838,6.564648629137082e-07,1.2750567179864447e-07
1839,6.075591727494611e-07,1.1815593126129897e-07
1840,5.235884259491286e-07,9.490835850556323e-08
1841,6.221511625881249e-07,7.255219713897532e-08
1842,5.889856993235298e-07,8.720744659740376e-08
1843,6.013235633872682e-07,7.974330173965427e-08
1844,5.762989303548238e-07,8.617040947456189e-08
1845,4.737613608085667e-07,1.1160455670733427e-07
1846,4.806545348401414e-07,1.0362467151026067e-07
1847,4.352331473000959e-07,5.3392913201832926e-08
1848,4.762771368405083e-07,4.263967667839097e-08
1849,4.952234462507477e-07,8.295620546050486e-08
1850,5.58734370770253e-07,9.640374543096186e-08
1851,4.824180450668791e-07,8.061798695280231e-08
1852,4.42717094983891e-07,7.161600024119252e-08
1853,5.374738520913525e-07,4.896984151514516e-08
1854,5.11772952904721e-07,7.845453353638732e-08
1855,4.776243258675095e-07,9.393278332936461e-08
1856,5.482643246068619e-07,6.109083017236117e-08
1857,6.624208026551059e-07,8.005675056210748e-08
1858,5.422193112281093e-07,6.753273140702731e-08
1859,5.321321054907457e-07,6.619825398956891e-08
1860,4.833506181967095e-07,8.37624654081992e-08
1861,5.560121394410089e-07,1.0327960353606613e-07
