year,veut_VERB oser_VERB,veut_VERB causer_VERB
1800,0.0,6.288328968651058e-09
1801,0.0,2.3811825400343878e-08
1802,0.0,0.0
1803,0.0,9.751696339321825e-09
1804,0.0,2.7190360185613827e-08
1805,2.842877711017877e-09,0.0
1806,8.645007376628655e-09,4.034336598124355e-08
1807,8.540865792383556e-09,2.8469551160981155e-09
1808,0.0,9.064295980465431e-09
1809,0.0,6.7770917766551975e-09
1810,0.0,4.680253518074551e-09
1811,0.0,5.264861258069686e-08
1812,0.0,7.734903562095496e-08
1813,0.0,2.300593315851529e-08
1814,0.0,6.293354282149721e-09
1815,2.697223555614414e-09,1.8880564667256294e-08
1816,2.3176038865813098e-09,6.952811659743929e-09
1817,0.0,3.113746815941454e-09
1818,0.0,5.364529798157491e-08
1819,0.0,2.070210003424222e-09
1820,0.0,1.0679833017945839e-08
1821,3.94459531705138e-09,8.875339574387908e-09
1822,2.0051231786055723e-09,1.1028177482330648e-08
1823,0.0,7.906149512848515e-09
1824,0.0,2.947389532437228e-08
1825,3.522177216552791e-09,2.289415235168235e-08
1826,8.807984341885344e-10,2.025836387531399e-08
1827,0.0,4.608636583469661e-09
1828,0.0,1.1923991571904935e-08
1829,0.0,6.001223340490469e-08
1830,0.0,1.2524203008013046e-08
1831,0.0,7.795603274018958e-09
1832,0.0,5.141388470519814e-08
1833,0.0,1.3900354645102198e-08
1834,9.334530925997342e-10,8.401078055442213e-09
1835,5.294161553592858e-09,2.193295500774184e-08
1836,0.0,5.376600054063374e-09
1837,0.0,1.8090515752078318e-08
1838,0.0,1.5780404538645598e-08
1839,0.0,1.8876983531868063e-08
1840,1.2739377330817092e-09,1.7835128929277744e-08
1841,0.0,5.778493683550323e-09
1842,9.391571076378114e-09,1.1404051036834062e-08
1843,1.1813822142769936e-09,1.7720733325177207e-08
1844,5.488561272137815e-10,9.330554107123135e-09
1845,0.0,1.0602432709561072e-08
1846,0.0,8.196302303531411e-09
1847,5.393223645455691e-10,2.6966118227278457e-09
1848,8.045221711050488e-10,1.448139919091318e-08
1849,0.0,8.379414939696517e-10
