year,auraient_VERB osé_VERB,auraient_VERB causé_VERB
1800,1.5720821977538435e-08,3.144164395507687e-08
1801,1.904946067554647e-08,7.143547975374531e-09
1802,2.2378401354217203e-09,6.489736392722989e-08
1803,9.751696339321825e-09,2.7304748684287006e-08
1804,3.213406074564773e-08,0.0
1805,3.695740957709859e-08,2.842877711017877e-09
1806,8.645007376628655e-09,1.4408345627714425e-08
1807,2.562259560079383e-08,4.555128185756985e-08
1808,2.945896149242344e-08,1.1330369531492579e-08
1809,3.6144488291256494e-08,1.581321384946932e-08
1810,1.1700633351097167e-08,4.680253340438867e-08
1811,6.267691787797958e-08,1.504245972228091e-08
1812,3.7340914360584065e-08,2.9339290108509886e-08
1813,2.8757416004054903e-08,3.4508900625951355e-08
1814,3.776012391654149e-08,1.8880061958270744e-08
1815,3.506390555685357e-08,1.8880564667256294e-08
1816,2.7811246638975717e-08,7.184571870766376e-08
1817,4.3592454090912724e-08,4.981994905506326e-08
1818,8.464036227451288e-08,5.0068944545955674e-08
1819,6.624672010957511e-08,6.728182455617571e-08
1820,6.051905643289501e-08,5.6959109429044474e-08
1821,6.212737702071536e-08,1.577838126820552e-08
1822,5.3135764233047666e-08,3.107940926838637e-08
1823,2.4706716672540097e-08,5.435477845594505e-08
1824,2.6105450245950124e-08,4.0421340941065864e-08
1825,3.522177394188475e-08,6.339919167430708e-08
1826,6.165588928297439e-08,3.787433300317389e-08
1827,7.005127855563842e-08,7.373818533551457e-08
1828,1.4675682002973645e-08,6.237164740241496e-08
1829,4.2865881511033876e-08,2.914879893012312e-08
1830,4.800944353178238e-08,5.9489963177838945e-08
1831,3.897801548191637e-08,4.5214498811674275e-08
1832,3.92369123858316e-08,7.982681893281551e-08
1833,4.2859426230279496e-08,7.29768601104297e-08
1834,5.600718466780563e-08,1.0734710542692483e-07
1835,3.7059130875150004e-08,7.184933537018878e-08
1836,5.309392392405243e-08,5.376600142881216e-08
1837,5.6358917532861597e-08,2.7831564608504777e-08
1838,4.607878167917079e-08,6.438405364406208e-08
1839,4.334714631681891e-08,6.991475487438947e-08
1840,5.286841542329057e-08,6.051204337609306e-08
1841,5.778493772368165e-08,5.6500827128047604e-08
1842,5.836190553054621e-08,5.634942823462552e-08
1843,5.2571508035725856e-08,6.852016554148577e-08
1844,6.147188713612195e-08,6.53138769735051e-08
1845,5.245414413934668e-08,6.361459981008011e-08
1846,6.088681203664237e-08,6.030136034951283e-08
1847,4.1527822958187244e-08,9.492073616002017e-08
1848,2.333114323960217e-08,7.562508130831702e-08
1849,3.5193544078993e-08,8.882179969305071e-08
1850,7.467895812851566e-08,3.8018377779280854e-08
1851,5.095056465620473e-08,6.191461210391935e-08
1852,2.669323606596663e-08,6.445439737490233e-08
1853,4.120633079196523e-08,9.555090940693844e-08
1854,3.740878540270387e-08,5.7152309551611324e-08
1855,3.980202833986368e-08,5.041590256382733e-08
1856,5.7466799319172424e-08,6.937433738585241e-08
1857,5.7113656026785975e-08,3.368241152656992e-08
1858,2.5447114637699997e-08,5.774537825686821e-08
1859,4.4811123700583266e-08,7.536416291031856e-08
1860,4.211009141386057e-08,6.499600857523546e-08
1861,5.234719679947375e-08,6.790988038574142e-08
1862,4.111367601922211e-08,7.861296325017975e-08
1863,2.0477944673302773e-08,8.191177869321109e-08
1864,5.130359070903978e-08,6.856460998960756e-08
1865,3.0594488720225854e-08,4.283228349777346e-08
1866,4.525020003143254e-08,4.9142691693759843e-08
1867,3.930777126015528e-08,7.424801395927716e-08
1868,4.347089088696521e-08,7.854399797224687e-08
1869,5.225365384831093e-08,6.202069613436834e-08
1870,4.472558146062511e-08,9.461180638936639e-08
1871,3.504988654867702e-08,6.585129597169725e-08
1872,4.5959779981785687e-08,7.559174264315516e-08
1873,4.2500630570430076e-08,5.6268440573603584e-08
1874,2.7483201492373155e-08,8.364452952491774e-08
1875,2.2313955128083762e-08,8.868367018521894e-08
1876,4.111290152764013e-08,9.794543842644998e-08
1877,4.329371350308975e-08,6.246663986075873e-08
1878,4.287753085918666e-08,6.03908887342186e-08
1879,4.2765275765077604e-08,7.453376582589044e-08
1880,3.914886193001621e-08,5.647704881539539e-08
1881,4.811030152040985e-08,7.251407652120179e-08
1882,3.660461800336634e-08,7.91990828474809e-08
1883,4.1707636455612374e-08,1.049010265319339e-07
1884,2.3766109080725073e-08,7.790002598540013e-08
1885,3.867381437316908e-08,8.05704445383526e-08
1886,2.1296431285122708e-08,8.389503136640997e-08
1887,2.3504128421336645e-08,1.1229750640495695e-07
1888,2.6630582183884144e-08,8.940266837953459e-08
1889,2.4434033463194282e-08,6.828999232766364e-08
1890,9.831579994568074e-09,9.438316794785351e-08
1891,2.7409146952095398e-08,1.000752547497541e-07
1892,1.5044429702015805e-08,7.898325549149376e-08
1893,3.0176241949675386e-08,8.005941509736658e-08
1894,2.7096618282484997e-08,9.200247319540722e-08
1895,2.6481902892783182e-08,9.027921521465032e-08
1896,1.9460195233023114e-08,9.14039475219397e-08
1897,2.0976168357833558e-08,8.565268672100501e-08
1898,1.867257104493092e-08,1.0524539817424738e-07
1899,1.492446166651007e-08,1.1663190235822185e-07
1900,3.945200433008722e-08,8.357595504548954e-08
1901,2.4031576728589243e-08,9.221419361438166e-08
1902,2.258730624760119e-08,1.0016979246074698e-07
1903,2.5381035939631147e-08,9.180374149764248e-08
1904,2.4723275870996986e-08,1.0211788037395308e-07
1905,2.4255568220610257e-08,1.31083282894906e-07
1906,1.9033482345776065e-08,8.745113433406004e-08
1907,2.262851062084792e-08,9.514260312926126e-08
1908,1.620758460774141e-08,6.77771723189835e-08
1909,1.980354014108343e-08,6.60118004702781e-08
1910,2.5651923252212327e-08,8.9247315315788e-08
1911,2.074945903984826e-08,1.0268322370166061e-07
1912,2.344239469209697e-08,1.0158371566149071e-07
1913,3.234823608977422e-08,9.969620862193551e-08
1914,6.696743604095445e-09,1.1384464215780099e-07
1915,5.890381071793627e-09,8.953379193599176e-08
1916,8.789969641043172e-09,5.16410700868164e-08
1917,1.5352993543160665e-08,6.470190072604964e-08
1918,9.189101035644853e-09,2.412139110674616e-08
1919,1.2890987832747669e-08,7.550436009751138e-08
1920,2.7260034229925623e-08,5.4520068459851245e-08
1921,3.4077363153528495e-08,3.332008802203745e-08
1922,1.770704471937279e-08,4.869437475463201e-08
1923,7.431163684401554e-09,5.307974149104666e-08
1924,3.0939897754933554e-08,4.898817351772777e-08
1925,1.7597084678300234e-08,5.27912540349007e-08
1926,1.671920735191179e-08,5.461607699430715e-08
1927,1.4493992672726108e-08,2.5643217327342427e-08
1928,2.170947865920425e-08,5.141718517620575e-08
1929,2.1166771446701205e-08,4.3447585085232276e-08
1930,1.05036033204442e-08,3.886333388436469e-08
1931,2.2810713318222042e-09,3.649714130915527e-08
1932,1.3151444377967891e-08,4.931791508511196e-08
1933,2.2941325283909464e-08,3.9000251916831985e-08
1934,1.7972370258689807e-08,3.9539216345474415e-08
1935,2.6330225111337313e-08,4.6676309040094566e-08
1936,1.6974599503782883e-08,4.122403041151301e-08
1937,1.3850230295986421e-08,2.392312481447334e-08
1938,1.5558256905023882e-08,1.6854778905894818e-08
1939,1.5294050470515685e-08,4.129393715857077e-08
1940,2.2822046474857416e-08,7.353770570261986e-08
1941,1.7709016475464523e-08,3.5418032950929046e-08
1942,1.517105907566929e-08,3.6410540360520827e-08
1943,1.4516175816936538e-08,2.6129116648121453e-08
1944,1.2852744646352221e-08,3.213186161588055e-08
1945,4.357008087652048e-09,2.178504132643866e-08
1946,2.9234318077442367e-08,1.8097434661967782e-08
1947,1.0728784083369192e-08,3.5762614203349585e-08
1948,1.7395020535104777e-08,2.5005341797168512e-08
1949,2.6505922789965553e-08,2.9451024730065e-08
1950,8.508289184305795e-09,3.403315673722318e-08
1951,1.0661401539380222e-08,3.944718685033877e-08
1952,2.003512733494972e-08,4.323369751091377e-08
1953,1.939288907237824e-08,4.0940545176226806e-08
1954,1.2704297169818801e-08,3.9090146231046674e-08
1955,1.8771215692936494e-08,2.3464020060259827e-08
1956,9.593255967388359e-09,3.1396108823855684e-08
1957,1.236905244894615e-08,2.2087593976038988e-08
1958,1.9026160202884057e-08,4.218844296133284e-08
1959,1.1626121398933265e-08,4.107896245386655e-08
1960,1.9378333604436193e-08,4.290916777449638e-08
1961,1.181187059273725e-08,2.36237411854745e-08
1962,1.2049716779927166e-08,4.1856910826254534e-08
1963,1.2932106940866106e-08,3.168366191630412e-08
1964,2.3727476872181796e-08,2.494427064902993e-08
1965,2.6265809083270142e-08,3.3926667697414814e-08
1966,1.163205709531212e-08,3.0464910594218964e-08
1967,1.232583901611406e-08,3.1554147739143446e-08
1968,2.5601069708613977e-08,2.245707975134792e-08
1969,2.4071315607443466e-08,2.815889921237158e-08
1970,1.7015283404475667e-08,3.357069289222636e-08
1971,1.1818314327172175e-08,1.7470551227916076e-08
1972,2.257264597460562e-08,2.205963234302999e-08
1973,1.1577728109557484e-08,2.7566018800939673e-08
1974,1.518904291231138e-08,1.912694358452427e-08
1975,2.1703623787061588e-08,2.6843956391076063e-08
1976,2.285410793945175e-08,2.285410793945175e-08
1977,8.815172591880582e-09,2.3507126911681553e-08
1978,1.4257419245211622e-08,2.198018833610149e-08
1979,2.867466974976196e-08,3.160065631391262e-08
1980,1.1370301145063877e-08,2.3309118191150446e-08
