year,voudrait_VERB ouvrir_VERB,voudrait_VERB couvrir_VERB
1800,0.0,2.2009151834367913e-08
1801,0.0,0.0
1802,0.0,1.3427040812530322e-08
1803,0.0,3.900678446910888e-09
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,8.540865792383556e-09,2.8469551160981155e-09
1808,0.0,1.3596443970698147e-08
1809,0.0,4.0662548883574345e-08
1810,0.0,2.3401266702194334e-08
1811,0.0,0.0
1812,1.600324850414836e-08,1.0668832928217853e-08
1813,2.0130190847567064e-08,2.8757416448144113e-09
1814,9.440030979135372e-09,1.2586708564299443e-08
1815,0.0,5.394447111228828e-09
1816,0.0,0.0
1817,0.0,2.1796227045456362e-08
1818,2.384235475716423e-09,2.2650237241350624e-08
1819,7.24573512300708e-09,1.9666995143552413e-08
1820,1.1866481131050932e-09,2.1359666035891678e-08
1821,3.94459531705138e-09,2.9584463767662328e-09
1822,3.0076847679083585e-09,2.0051231786055723e-09
1823,1.9765373782121287e-09,7.906149512848515e-09
1824,1.6842225392110777e-09,8.421112696055388e-10
1825,8.805443041381977e-10,1.584979791857677e-08
1826,8.807984341885344e-10,2.2019960965735663e-08
1827,2.7651818612639545e-09,2.1199728195142598e-08
1828,1.1923991571904935e-08,7.337841001486822e-09
1829,1.714635211591542e-09,6.001223074036943e-09
1830,0.0,6.262101504006523e-09
1831,3.1182412207897414e-09,3.1182412207897414e-09
1832,1.3529969367098715e-09,5.411987746839486e-09
1833,2.3167257001688313e-09,3.243415847009601e-08
1834,1.3068342852307069e-08,3.640467127752345e-08
1835,4.5378527602224494e-09,2.4958190181223472e-08
1836,1.2769425516978572e-08,8.064899859050456e-09
1837,4.174734336004349e-09,2.7831563720326358e-09
1838,8.837027110075724e-09,2.5248647617104325e-09
1839,2.7965900706306e-09,9.788065469251706e-09
1840,2.5478754661634184e-09,7.64362617644565e-09
1841,5.778493683550323e-09,1.0272877659645019e-08
1842,2.817471411731276e-08,2.0124795163667386e-09
1843,4.134837805480629e-09,1.1813822142769936e-09
1844,8.781698035420504e-09,9.330554107123135e-09
1845,1.1160455670733427e-08,1.3950569588416784e-08
1846,2.9272506640865004e-09,1.0538101946622191e-08
1847,8.089835468183537e-09,1.240441438454809e-08
1848,1.528592186161859e-08,2.413566457803995e-09
1849,4.1897072478036534e-09,5.865590679832167e-09
1850,8.82569484161877e-09,1.0183494048021657e-08
1851,1.1608989325395669e-08,4.514607354622058e-09
1852,1.3021090872200602e-09,2.6042181744401205e-09
1853,5.3747388761848924e-09,8.360704129017904e-09
1854,3.117398783558656e-09,5.195664343204953e-09
1855,3.1841622671890946e-09,3.1841622671890946e-09
1856,1.2425253714809514e-08,4.141751386299575e-09
1857,1.1715622250108026e-08,1.9526036343364694e-09
1858,1.0766087576996597e-08,1.2234189661342043e-08
1859,8.147477359443656e-09,6.110608019582742e-09
1860,4.57718396518203e-09,3.661747127736703e-09
1861,4.715963619617014e-09,8.960331143725853e-09
1862,6.325180823552046e-09,1.0843167252971853e-08
1863,8.990317823531768e-09,1.048870412745373e-08
1864,3.835782358407869e-09,5.753673537611803e-09
1865,3.765475486972036e-09,8.001635798393636e-09
1866,6.3252967308358166e-09,1.9462451650298362e-09
1867,1.455843445796745e-08,2.426405742994575e-09
1868,9.87974857480367e-09,1.5807597009143137e-08
1869,1.12320943657096e-08,4.883519366671862e-09
1870,5.734048791339319e-09,6.880858549607183e-09
1871,8.496941816815706e-09,4.248470908407853e-09
1872,9.675742873582749e-09,5.442605477412599e-09
1873,4.190203295451056e-09,8.380406590902112e-09
1874,4.779687312606029e-09,1.6728906260254917e-08
1875,4.577221712764867e-09,4.577221712764867e-09
1876,9.673623679873344e-09,3.627608879952504e-09
1877,1.0514186854493346e-08,3.710889595609501e-09
1878,1.5701630218245555e-08,1.2078177347163432e-09
1879,1.9549840857280287e-08,1.832797580370027e-09
1880,1.1552122813895949e-08,7.059631101924424e-09
1881,1.4642266066289267e-08,6.9725074602899895e-09
1882,4.6587693702804245e-09,1.9966155395678697e-09
1883,6.319338829996468e-09,1.0742875922176154e-08
1884,6.601696966868076e-09,3.300848483434038e-09
1885,1.2246707647989297e-08,5.156508553483263e-09
1886,1.2261581083805595e-08,2.5813855497602844e-09
1887,3.9173548849191775e-09,1.3057849246322917e-09
1888,3.1703073499755874e-09,2.53624587998047e-09
1889,6.265136853755848e-09,6.891650361495749e-09
1890,1.3108772956016423e-09,1.7041404731799048e-08
1891,7.649063604731055e-09,8.92390783491237e-09
1892,1.191017329205124e-08,6.268512375839919e-10
1893,1.3548516086814288e-08,2.463366621796581e-09
1894,1.449354058991048e-08,1.0082462864602348e-08
1895,1.3240951446391591e-08,1.2037228991346183e-09
1896,7.66613794667137e-09,2.948514543632541e-09
1897,7.574727511894253e-09,2.9133566670225264e-09
1898,6.224190496340043e-09,1.6975064687230201e-09
1899,1.2713430308508578e-08,3.8693048765026106e-09
1900,5.19105292084987e-09,2.595526460424935e-09
1901,1.5089595351014395e-08,2.794369402536745e-09
1902,9.329538919189417e-09,1.4730852093691738e-09
1903,1.7280704867062013e-08,1.6200660812870638e-09
1904,1.0749250378694342e-08,5.374625189347171e-10
1905,6.708986699521802e-09,1.5482277682110634e-09
1906,1.6461390472954918e-08,2.0576738091193647e-09
1907,9.257117739025489e-09,3.0857059130084963e-09
1908,1.1296195090437777e-08,6.875944702500192e-09
1909,1.925344328412848e-08,1.6502950117569526e-09
1910,1.1757131268552712e-08,5.344150677544235e-10
1911,4.788336838146279e-09,3.7242617878519013e-09
1912,1.0418842677495377e-08,7.293189607793238e-09
1913,1.590896836489719e-08,5.302989602995467e-09
1914,4.68772043404897e-09,6.696743604095445e-09
1915,2.3561523843085297e-09,1.1780761921542648e-09
1916,3.2962386153911893e-09,5.493730803607377e-09
1917,1.6449636319748606e-08,0.0
1918,1.2635013924011673e-08,2.1824114071478107e-08
1919,1.4732557396257562e-08,1.4732557396257562e-08
1920,7.572231730534895e-09,2.2716695191604686e-09
1921,6.815472630705699e-09,3.7863738810983705e-09
1922,1.549366501762961e-08,1.2542490601674672e-08
1923,8.492758496458919e-09,6.369568872344189e-09
1924,7.734974438733389e-09,2.578324886925998e-09
1925,7.698724324711748e-09,0.0
1926,1.671920735191179e-08,0.0
1927,5.574612327308159e-09,7.804457524684949e-09
1928,7.998228745975666e-09,1.1426041224282812e-09
1929,8.912325100141061e-09,0.0
1930,1.2604324695075775e-08,3.1510811737689437e-09
1931,5.7026783295555106e-09,3.4216069977333063e-09
1932,1.0959536389520963e-08,1.0959536611565568e-09
1933,1.605892663292252e-08,1.1470662197865522e-09
1934,3.5944740517379614e-09,3.5944740517379614e-09
1935,8.377798899061872e-09,2.393656828303392e-09
1936,9.699771652549316e-09,2.424942913137329e-09
1937,1.0072894518486919e-08,1.2591118370153254e-08
1938,1.2965214679638848e-08,2.5930428915188486e-09
1939,6.117620188206274e-09,3.058810094103137e-09
1940,5.0715658339584024e-09,5.0715658339584024e-09
1941,0.0,1.4757512545315876e-08
1942,1.2136847082899749e-08,0.0
1943,1.1612940831184915e-08,0.0
1944,3.2131861615880553e-09,6.4263723231761105e-09
1945,1.089252066321933e-08,0.0
1946,2.7842208538686464e-09,4.1763312808029696e-09
1947,2.3841741914054637e-09,5.960435700558264e-09
1948,6.523132700664291e-09,2.174377566888097e-09
1949,5.890204768377316e-09,5.890204768377316e-09
1950,6.381216888229346e-09,3.190608444114673e-09
1951,7.462981344019681e-09,5.330700769690111e-09
1952,7.381362632230548e-09,2.1089607837865287e-09
1953,7.54167928107563e-09,4.3095309543161875e-09
1954,1.3681550115052232e-08,8.795282724349818e-09
1955,1.1262729415761896e-08,8.447047505910632e-09
1956,6.104799332717903e-09,3.488456634670456e-09
1957,1.6786572132332367e-08,1.7670075402875796e-09
1958,1.5717262158432277e-08,8.272243445794913e-10
1959,3.8753737996444215e-09,3.8753737996444215e-09
1960,4.152500121534786e-09,7.612916519406099e-09
1961,5.55852741612739e-09,6.948159270159238e-10
1962,2.5367825617905737e-09,3.170978146727066e-09
1963,8.405868889838075e-09,6.466053470433053e-09
1964,6.6923653285755336e-09,6.083968329129164e-10
1965,7.1136563306595235e-09,4.377634699181954e-09
1966,4.431259803538978e-09,4.431259803538978e-09
1967,1.232583901611406e-08,4.930335584241163e-10
1968,2.245707841908029e-09,4.940557296606585e-09
1969,1.2716921737876419e-08,4.541757636644661e-09
1970,9.657322941336588e-09,2.7592350626548523e-09
1971,8.735275613958038e-09,4.624557625731995e-09
1972,1.128632298730281e-08,5.643161493651405e-09
1973,1.3231689521830958e-08,2.205281512956958e-09
1974,9.563471792262135e-09,2.2502286700643026e-09
1975,9.138368284311582e-09,2.2845920710778955e-09
1976,7.998937512354587e-09,2.856763492431469e-09
1977,7.639816779203557e-09,2.3507127355770763e-09
1978,9.504946163474415e-09,5.346532105932056e-09
1979,1.1703946256602649e-08,6.437170796402825e-09
1980,5.116635559687666e-09,3.97960553399912e-09
1981,6.958104314946922e-09,5.69299452024552e-09
1982,1.6760255405756652e-08,4.345251713999687e-09
1983,6.315316269933646e-09,1.2630632095778083e-09
1984,1.681712546997005e-08,2.3196033982486597e-09
1985,6.015557829641693e-09,6.617113967877231e-09
1986,9.591176741707841e-09,4.7955883708539204e-09
1987,6.721898593298192e-09,4.277571630240118e-09
1988,1.6190695006912392e-08,4.797243047249822e-09
1989,1.2622680678475717e-08,6.585746614717891e-09
1990,1.198703181159999e-08,1.6345953479657283e-09
1991,7.6199047072123e-09,1.7584396161396398e-09
1992,9.91789939064347e-09,2.2039776670368383e-09
1993,2.049506697687775e-08,0.0
1994,8.967375286772494e-09,3.6924485691258724e-09
1995,7.591431483433553e-09,4.337960657352369e-09
1996,1.868332333287981e-08,4.270473752399084e-09
1997,1.5343662340683295e-08,2.3974471297094624e-09
1998,6.198567881199324e-09,2.3840645013706308e-09
1999,1.0968483010742602e-08,1.3710603763428253e-09
2000,1.502130686503733e-08,4.4180314962005696e-10
2001,1.0076787404500465e-08,8.762423564512289e-10
2002,8.762443215459825e-09,1.752488598683044e-09
