year,tout_DET ouvert_ADJ,tout_DET couvert_NOUN
1800,3.144164484325529e-09,1.4022973289229412e-06
1801,0.0,1.2239278106562779e-06
1802,0.0,1.4255041662636359e-06
1803,0.0,1.6948447694176139e-06
1804,0.0,1.2532283761856888e-06
1805,0.0,1.0092215703139118e-06
1806,0.0,1.204537660726146e-06
1807,2.562259560079383e-08,1.3124462654445779e-06
1808,0.0,1.0831833279212333e-06
1809,0.0,1.0414131139668825e-06
1810,0.0,1.4813002664482156e-06
1811,0.0,1.6972909264723057e-06
1812,0.0,8.161657234495578e-07
1813,0.0,8.713496910672802e-07
1814,0.0,1.0541367956307113e-06
1815,0.0,7.794975971364693e-07
1816,0.0,1.1356258653449913e-06
1817,9.341240669868967e-09,1.167655113931687e-06
1818,1.1921177378582115e-09,1.035950315753098e-06
1819,0.0,1.305267403495236e-06
1820,0.0,1.1427420787413212e-06
1821,1.97229765852569e-09,9.56564363718826e-07
1822,2.0051231786055723e-09,1.1258767216304477e-06
1823,9.882686891060644e-10,1.3163738401544833e-06
1824,0.0,1.234535119465363e-06
1825,8.805443041381977e-10,1.6105155431489493e-06
1826,0.0,1.2674689990888055e-06
1827,0.0,7.751726549543037e-07
1828,0.0,1.0878349101517415e-06
1829,6.001223074036943e-09,1.0004896005000319e-06
1830,0.0,1.0645572885437105e-06
1831,0.0,6.828948500015031e-07
1832,0.0,7.847382086367816e-07
1833,0.0,1.496604806305868e-06
1834,0.0,9.763919237570917e-07
1835,0.0,1.186648468376461e-06
1836,0.0,1.1203490295486063e-06
1837,0.0,1.0659488438591325e-06
1838,0.0,1.4953511957571664e-06
1839,0.0,9.424508373712115e-07
1840,0.0,9.006739531969288e-07
1841,0.0,9.778494902690227e-07
1842,0.0,8.687203418844547e-07
1843,0.0,8.754041935787882e-07
1844,5.488561272137815e-10,8.875003345565347e-07
1845,0.0,8.727476430436809e-07
1846,2.9272506640865004e-09,8.430481912569121e-07
1847,0.0,7.841746905157265e-07
1848,0.0,8.318759441294787e-07
1849,0.0,5.857211196058643e-07
1850,0.0,8.74422685370746e-07
1851,0.0,8.422966875087923e-07
1852,0.0,7.474105956362109e-07
1853,0.0,8.2532096357113e-07
1854,0.0,9.107999510149511e-07
1855,0.0,8.26290087019288e-07
1856,0.0,7.517278888258261e-07
1857,4.881509085841174e-10,7.620035589184226e-07
1858,4.893676019968041e-10,8.314355834926346e-07
1859,2.036869339860914e-09,7.903053127478188e-07
1860,0.0,7.13582945621738e-07
1861,4.715963730639317e-10,7.927534859675234e-07
1862,4.066187830886747e-09,8.326648632817069e-07
1863,0.0,6.97748546940602e-07
1864,0.0,7.431828503712268e-07
1865,1.882737743486018e-09,7.337970373555436e-07
1866,4.865612912574591e-10,7.303284998982917e-07
1867,4.85281148598915e-10,7.055987740756109e-07
1868,4.93987406535723e-10,6.737988176297449e-07
