year,pourraient_VERB ouvrir_VERB,pourraient_VERB couvrir_VERB
1800,6.288328968651058e-09,2.5153315874604232e-08
1801,2.3811825844433088e-09,7.143547975374531e-09
1802,1.5664880947952042e-08,6.713520406265161e-09
1803,1.950339223455444e-09,5.851017448321727e-09
1804,1.9774807569206132e-08,5.9324420931261557e-08
1805,2.842877711017877e-09,1.1371510844071508e-08
1806,0.0,2.881669125542885e-09
1807,1.1387820464392462e-08,0.0
1808,0.0,3.3991110370834576e-08
1809,9.036122072814123e-09,2.710836710662079e-08
1810,0.0,1.1700633351097167e-08
1811,7.521229861140455e-09,7.521229861140455e-09
1812,1.600324850414836e-08,2.9339290108509886e-08
1813,3.738464116054274e-08,0.0
1814,6.293354282149721e-09,9.440030979135372e-09
1815,1.3486118000116676e-08,1.8880564667256294e-08
1816,6.952811659743929e-09,4.1716869958463576e-08
1817,1.71256075987003e-08,2.80237220096069e-08
1818,1.1921177378582115e-09,8.344824387052086e-09
1819,0.0,2.070209959015301e-08
1820,5.933240565525466e-09,1.3053129244156025e-08
1821,6.903041693817613e-09,7.88919063410276e-09
1822,0.0,2.5064039732569654e-08
1823,1.680056804787e-08,2.174191138237802e-08
1824,2.863178316658832e-08,5.894778887238772e-09
1825,8.805443485471187e-09,7.044354433105582e-09
1826,1.0569580766173203e-08,8.80798456392995e-09
1827,1.474763688946723e-08,4.608636583469661e-09
1828,3.668920500743411e-09,1.6510142586412258e-08
1829,6.858540846366168e-09,2.1432940755516938e-08
1830,1.6698937344017395e-08,2.400472176589119e-08
1831,1.4032085715598441e-08,0.0
1832,2.705993873419743e-09,2.705993873419743e-09
1833,1.2741991461950875e-08,2.0850531967653296e-08
1834,1.4001796166951408e-08,1.4935249481595747e-08
1835,6.050470346963266e-09,8.31939672707449e-09
1836,1.0753200108126748e-08,8.736974699274924e-09
1837,7.653680356156656e-09,1.2524203896191466e-08
1838,5.680945491803868e-09,1.3255539776935166e-08
1839,2.0974426639952526e-09,1.5381244722334486e-08
1840,1.2102408852854296e-08,2.4841785517537573e-08
1841,1.2841097074556274e-08,1.0272877659645019e-08
1842,1.475818312002275e-08,8.720745015011744e-09
1843,1.1813821920725331e-08,1.2404512972352677e-08
1844,5.488561272137815e-10,2.360081374774836e-08
1845,1.0602432709561072e-08,2.0646844234306627e-08
1846,7.610851504580296e-09,1.6392604607062822e-08
1847,1.4022381478184798e-08,1.6718992412734224e-08
1848,1.6090443422100975e-09,1.126331028444838e-08
1849,2.262441967104678e-08,1.0893239199560867e-08
1850,1.2899092460827433e-08,2.4440385715251978e-08
1851,7.739326512989919e-09,1.1608989325395669e-08
1852,1.1067927019325907e-08,1.1067927019325907e-08
1853,2.09017620989016e-08,5.3747388761848924e-09
1854,1.454786069388092e-08,1.1430461910322265e-08
1855,1.8574279891936385e-08,2.2289135870323662e-08
1856,8.28350277259915e-09,2.7439103433835044e-08
1857,6.8341128311999455e-09,2.4895696171256532e-08
1858,1.4191660291373864e-08,6.361778659424999e-09
1859,4.582956236731661e-09,1.3748867822016564e-08
1860,5.492620580582752e-09,1.9224172476128842e-08
1861,1.226150558863992e-08,8.488735048217677e-09
1862,1.1294965851504912e-08,1.445755604123633e-08
1863,1.2486552236623538e-08,4.994620717013731e-09
1864,4.794728170054441e-09,1.4384183621984903e-08
1865,8.001635798393636e-09,1.4591217123438582e-08
1866,2.7247432754506917e-08,1.751620715140234e-08
1867,2.426405742994575e-08,3.88224918879132e-09
1868,1.3831646938911035e-08,1.2349684830326169e-08
1869,2.3440891894210836e-08,7.325278605918584e-09
1870,1.204150201772336e-08,4.587239033071455e-09
1871,9.559059321873065e-09,2.973929724703339e-08
1872,1.7537283625301825e-08,1.3304146229131675e-08
1873,6.584604861359367e-09,1.0774807712721213e-08
1874,7.169530746864439e-09,4.182226565063729e-09
1875,4.005069165202713e-09,2.2886108563824337e-09
1876,1.0882827083946722e-08,4.232210137899983e-09
1877,8.040260901509555e-09,9.27722432209066e-09
1878,1.1474268646338714e-08,9.058632954861423e-09
1879,1.649517855639715e-08,1.8938909107646396e-08
1880,1.3477476912271413e-08,3.2089231272180996e-09
1881,2.2312024228199334e-08,9.064259565150223e-09
1882,6.655385131892899e-09,5.324308105514319e-09
1883,9.479008689083912e-09,1.3902545781263598e-08
1884,1.0562715146988921e-08,6.601696966868076e-09
1885,3.86738152613475e-09,6.445635580831777e-09
1886,1.355227396970804e-08,9.680196200179125e-09
1887,9.140494583448344e-09,2.6768590899450828e-08
1888,1.2047167707862627e-08,1.6485598663962264e-08
1889,2.318100555953606e-08,1.8168895721260014e-08
1890,1.3108772733971819e-08,6.554386366985909e-09
