year,pouvaient_VERB oser_VERB,pouvaient_VERB causer_VERB
1800,3.144164484325529e-09,3.144164484325529e-09
1801,0.0,0.0
1802,8.951360541686881e-09,6.713520406265161e-09
1803,0.0,1.3652374342143503e-08
1804,1.9774807569206132e-08,7.662737999680758e-08
1805,0.0,4.5486043376286034e-08
1806,2.305335300434308e-08,1.729001475325731e-08
1807,5.124519120158766e-08,5.693910232196231e-09
1808,2.2660739951163578e-09,2.4926814390369145e-08
1809,1.8072244145628247e-08,3.840352036377226e-08
1810,0.0,2.106114038724627e-08
1811,1.2535384286138651e-08,1.2535384286138651e-08
1812,0.0,1.600324850414836e-08
1813,0.0,6.614205716459765e-08
1814,0.0,9.440030979135372e-09
1815,1.8880564667256294e-08,3.236668177919455e-08
1816,0.0,5.5622493277951435e-08
1817,0.0,1.401186100480345e-08
1818,0.0,4.768470951432846e-09
1819,2.070209959015301e-08,3.3123360054787554e-08
1820,0.0,6.763894333516873e-08
1821,0.0,1.4792232327920374e-08
1822,0.0,4.210758675071702e-08
1823,6.917880934764753e-09,4.249555374258307e-08
1824,0.0,2.947389532437228e-08
1825,0.0,4.402721387464226e-08
1826,0.0,3.6112734136395375e-08
1827,0.0,4.977327350275118e-08
1828,6.420610709767516e-09,6.053718948351161e-08
1829,0.0,6.086955295359076e-08
1830,1.461157062010443e-08,7.201416707403041e-08
1831,1.7150327380477393e-08,4.677361786775691e-08
1832,1.3529969367098715e-09,1.0147476814381662e-07
1833,5.791814139399776e-09,5.3284690437749305e-08
1834,8.401078055442213e-09,5.787409307345115e-08
1835,7.563087933704082e-10,7.260564416355919e-08
1836,8.064899859050456e-09,3.8308275662757296e-08
1837,4.174734336004349e-09,3.339787468803479e-08
1838,2.5248647617104325e-09,5.7440672662778525e-08
1839,1.3982950353153e-09,5.663094881924735e-08
1840,2.5478754661634184e-09,4.8409635411417185e-08
1841,6.420548537278137e-10,6.484754067059839e-08
1842,4.024959032733477e-09,3.890793820460203e-08
1843,1.4767278067040479e-08,5.316219997553162e-08
1844,1.6465683927435748e-08,6.641159444598088e-08
1845,1.0044410636567136e-08,7.421703429599802e-08
1846,8.781752214304106e-09,7.435216531348487e-08
1847,2.6426796750911308e-08,7.928039025273392e-08
1848,1.528592186161859e-08,6.275273278788518e-08
1849,1.5920887719289567e-08,4.1059134758825167e-08
1850,2.0366988096043315e-09,3.394497838371535e-08
1851,5.8044946626978344e-09,3.418202609850596e-08
1852,6.510545436100301e-10,3.6459056218518526e-08
1853,1.7318601663873778e-08,4.837264810930719e-08
1854,2.5978321716024766e-09,4.72805474771576e-08
1855,0.0,4.6701046585440054e-08
1856,4.141751386299575e-09,4.038207634948776e-08
1857,6.345961978126979e-09,4.9791392342513063e-08
1858,1.468102750479261e-09,6.410715513993637e-08
1859,5.092173349652285e-10,4.430190969628711e-08
1860,4.577183909670879e-10,4.211009141386057e-08
1861,1.2733101684148096e-08,7.875659235878629e-08
1862,6.776979422085105e-09,5.0149647989883306e-08
1863,3.496234635136375e-09,4.04564275413577e-08
1864,1.4384183844029508e-09,5.753673448793961e-08
1865,5.6482134525026595e-09,4.848049783845454e-08
1866,1.4596838404656864e-08,2.968023871119385e-08
1867,6.308654931785895e-09,3.930777126015528e-08
