year,tout_ADV osé_VERB,tout_ADV causé_VERB
1800,6.288328791015374e-08,3.144164484325529e-09
1801,4.524246932646747e-08,0.0
1802,1.7902721083373763e-08,0.0
1803,6.826187615160961e-08,1.950339223455444e-09
1804,3.460591457837836e-08,0.0
1805,1.1371510844071508e-08,0.0
1806,4.610670600868616e-08,0.0
1807,4.27043254092041e-08,0.0
1808,9.064295980465431e-09,0.0
1809,3.388545621874073e-08,4.518061036407062e-09
1810,2.106114038724627e-08,0.0
1811,7.521229861140455e-09,0.0
1812,1.0668832928217853e-08,0.0
1813,3.4508900625951355e-08,0.0
1814,8.810695817373926e-08,0.0
1815,5.933891955578474e-08,0.0
1816,4.6352077731626196e-08,2.3176038865813098e-09
1817,3.7364962679475866e-08,0.0
1818,3.337929754820834e-08,0.0
1819,4.5544620519422097e-08,0.0
1820,2.3732962262101864e-08,0.0
1821,1.1143481515318854e-07,0.0
1822,5.3135764233047666e-08,0.0
1823,5.336650943377208e-08,0.0
1824,5.221090049190025e-08,0.0
1825,6.780191341704267e-08,0.0
1826,4.051672775062798e-08,0.0
1827,1.1060727445055818e-08,9.217273055917019e-10
1828,4.1275356466030644e-08,0.0
1829,2.4004892296147773e-08,3.429270423183084e-09
1830,1.5655253093882493e-08,0.0
1831,3.274153215215847e-08,0.0
1832,6.764985016616265e-08,0.0
1833,2.4325620628928846e-08,0.0
1834,2.9870498963191494e-08,0.0
1835,2.3445572594482655e-08,0.0
1836,2.352262562510532e-08,0.0
1837,4.800944708449606e-08,0.0
1838,3.850418650586107e-08,0.0
1839,3.216078425793967e-08,0.0
1840,5.6053259811505995e-08,1.2739377330817092e-09
1841,4.8796167106957e-08,0.0
1842,4.024958855097793e-08,0.0
1843,2.3036953678001737e-08,4.134837805480629e-09
1844,2.5796238034558883e-08,0.0
1845,3.627148004170522e-08,0.0
1846,3.33706573485415e-08,0.0
1847,6.040410482910374e-08,0.0
1848,3.298540818263973e-08,0.0
1849,4.692472543865733e-08,0.0
1850,3.1229383523623255e-08,0.0
1851,4.837079004005318e-08,1.2898877521649865e-09
1852,3.711010876372711e-08,0.0
1853,7.1663180278847e-08,5.971931837933653e-10
1854,2.7537021551893304e-08,5.195664454227256e-10
1855,5.943769565419643e-08,0.0
1856,3.520488789376941e-08,0.0
1857,2.9289054737091647e-08,6.345961978126979e-09
1858,3.327699715782728e-08,9.787352039936081e-10
1859,4.68479939286226e-08,0.0
1860,3.661747172145624e-08,0.0
1861,3.584132457490341e-08,6.13075279431996e-09
1862,5.2860439581081664e-08,4.517986262886353e-10
1863,3.2465035104678464e-08,0.0
1864,3.3563097190381086e-08,0.0
1865,3.3418594114209554e-08,5.6482134525026595e-09
1866,4.5736761933312664e-08,0.0
1867,2.3778776281346836e-08,1.94112459439566e-09
1868,2.1735445443482604e-08,0.0
1869,1.5627261262807224e-08,0.0
1870,2.695002976338401e-08,8.601073631098188e-09
1871,5.098165090089424e-08,3.18635318130589e-09
1872,2.8422494580127022e-08,6.047339295989218e-10
1873,1.3767810003173508e-08,5.986004469882289e-10
1874,2.6288279997288555e-08,5.974609140757536e-10
1875,3.2612703648737806e-08,5.721527140956084e-10
1876,4.0508300713781864e-08,0.0
1877,2.1028373708986692e-08,0.0
1878,3.623453181944569e-08,0.0
1879,5.1318330918093125e-08,3.0546627449723474e-09
1880,2.9522093214495726e-08,0.0
1881,3.5559789779426865e-08,0.0
1882,2.6621540527571597e-08,0.0
1883,1.1374810426900694e-08,1.2638677882037541e-09
1884,2.3105940272216685e-08,6.601696966868076e-10
1885,4.060750313783501e-08,3.2228177904158883e-09
1886,4.711028722681476e-08,3.872078213618124e-09
1887,2.285123557044244e-08,6.528924623161458e-10
1888,1.1413106904001324e-08,0.0
1889,8.771191772893872e-09,0.0
1890,1.5730527991308918e-08,0.0
1891,1.0836173736095134e-08,6.374220040683554e-10
1892,1.6298132621272998e-08,0.0
1893,1.9091091374434654e-08,6.158416554491453e-10
1894,1.5123694296903523e-08,0.0
1895,3.1296796265678495e-08,1.2037228991346183e-09
1896,1.6511680911435178e-08,0.0
1897,9.905413378419325e-09,1.1653427112179315e-09
1898,2.9423445013776472e-08,0.0
1899,3.4823742112166656e-08,0.0
1900,3.529916270395006e-08,0.0
1901,2.179608138419553e-08,0.0
1902,1.6203935970793282e-08,2.455141867585553e-09
