year,aurait_VERB omis_VERB,aurait_VERB commis_VERB
1800,4.7162465932615305e-08,6.288328791015374e-08
1801,3.5717739876872656e-08,4.0480102825313224e-08
1802,3.5805442166747525e-08,8.503792514602537e-08
1803,3.90067853572873e-08,6.826187615160961e-08
1804,1.2853624298259092e-07,9.145848167690929e-08
1805,1.3361525930122298e-07,5.1171799242411e-08
1806,4.610670600868616e-08,8.06867319624871e-08
1807,1.9643989901396708e-07,1.822051274302794e-07
1808,2.1527702642742952e-07,1.4276265858370607e-07
1809,2.3042110797177884e-07,2.1008983708270534e-07
1810,2.0125089861267043e-07,2.901757056861243e-07
1811,9.27618373225414e-08,2.0558029234507558e-07
1812,2.2671270016871858e-07,3.253994123042503e-07
1813,1.1502966401621961e-07,1.6391727797326894e-07
1814,2.8320094713762956e-08,2.674675556590955e-07
1815,7.821948599939788e-08,2.022917726662854e-07
1816,7.879853569647821e-08,1.2515060632267705e-07
1817,4.981994905506326e-08,1.8838167648027593e-07
1818,4.410835785506606e-08,1.1682753608965868e-07
1819,7.349245834120666e-08,1.1179133707628353e-07
1820,4.865257352548724e-08,1.0561168295453172e-07
1821,4.6348993976153e-08,1.23268605989324e-07
1822,9.624591257306747e-08,1.3634837614517892e-07
1823,5.5343047478118024e-08,2.154425686740069e-07
1824,7.326367779114662e-08,1.978961421400527e-07
1825,1.1799293986314296e-07,2.1837499275534356e-07
1826,1.2595417331340286e-07,2.3605397814208118e-07
1827,1.8065854590076924e-07,2.755964771949948e-07
1828,1.6785311629519128e-07,2.815896493757464e-07
1829,1.4402935732960032e-07,3.2578068953625916e-07
1830,1.3463518655498774e-07,2.807508963087457e-07
1831,1.4499821077151864e-07,4.95800350108766e-07
1832,1.8400758960979147e-07,2.9495333819795633e-07
1833,2.0039676940086792e-07,2.5947326776076807e-07
1834,1.456186851100938e-07,2.576330473402777e-07
1835,1.1117739262545001e-07,3.138681563541468e-07
1836,1.1895727425326186e-07,3.5821597066387767e-07
1837,7.444943150858307e-08,2.1291145912982756e-07
1838,1.2750567179864447e-07,2.1650714643328683e-07
1839,1.3913034990764572e-07,2.405067505151237e-07
1840,1.4586586871701002e-07,2.6497903604649764e-07
1841,1.155698754473633e-07,1.8170152316088206e-07
1842,1.5026513722204982e-07,3.132759900381643e-07
1843,1.1636614516419286e-07,2.7644344413602084e-07
1844,9.714753446132818e-08,2.6509749773140356e-07
1845,1.2388106540583976e-07,2.6282873477612156e-07
1846,1.2177362407328474e-07,2.974086612539395e-07
1847,2.03324532321858e-07,3.9909855331643485e-07
1848,1.9791245620126574e-07,3.4353095657024824e-07
1849,1.4915359258793615e-07,3.460698394519568e-07
1850,1.3238542351245997e-07,2.6748645609586674e-07
1851,1.7348990866139502e-07,3.089281221946294e-07
1852,1.7838894450505904e-07,3.0859985145070823e-07
1853,8.121827477225452e-08,2.6873692604567623e-07
1854,1.5586992674343492e-07,2.3380489722057973e-07
1855,9.552486801567284e-08,3.051488874916686e-07
1856,1.2062851340033376e-07,2.2779632047331688e-07
1857,1.039761414745044e-07,2.5335032205475727e-07
1858,1.409378711514364e-07,2.3391771719616372e-07
1859,9.726051075631403e-08,1.583665891757846e-07
1860,8.238931314963338e-08,1.5791285079558293e-07
1861,8.913171711810719e-08,2.466449018356798e-07
1862,1.2379283020891307e-07,2.3403168825097964e-07
1863,1.1787304998733816e-07,2.7120790946355555e-07
1864,9.54150891629979e-08,2.550795272782125e-07
1865,8.84886759422443e-08,2.579350848463946e-07
1866,1.449952691245926e-07,2.544715584917867e-07
1867,1.0190903765305848e-07,3.125210525922739e-07
1868,9.138766898786344e-08,2.277281936358122e-07
1869,1.1232094010438232e-07,2.544313417729427e-07
1870,7.282241654138488e-08,2.781013677122246e-07
1871,1.072738911034321e-07,2.3685225869485294e-07
1872,8.587221600464545e-08,2.4673144594089536e-07
1873,1.1493128226902627e-07,2.4183458435800276e-07
1874,8.00597632633071e-08,2.0672148082212516e-07
1875,8.696721209844327e-08,2.1055220145171916e-07
1876,9.855003924030825e-08,2.2430714352594805e-07
1877,9.586464955191332e-08,1.9544017959560733e-07
1878,8.394333406158694e-08,2.2586191050777416e-07
1879,7.514469757552433e-08,2.510932688437606e-07
1880,8.471557322309309e-08,2.9907164389442187e-07
1881,6.693607446095484e-08,2.3497349843637494e-07
1882,9.650308641084848e-08,2.15634472056081e-07
1883,7.58320695126713e-08,2.6667609631658706e-07
1884,6.337629088193353e-08,2.2313736280921148e-07
1885,9.281715307452032e-08,3.016557457158342e-07
1886,1.0196472999268735e-07,2.723361660628143e-07
1887,1.351487384226857e-07,3.1665283017900947e-07
1888,1.3759134276369878e-07,2.7011017778022506e-07
1889,1.171580592540522e-07,2.3243657665261708e-07
1890,1.1601264304772485e-07,2.8380492267388036e-07
1891,1.0708689757166212e-07,2.5178169948958384e-07
1892,1.0593785759738239e-07,2.42591426058425e-07
1893,1.256317005982055e-07,2.592693419956049e-07
1894,1.4052432106836932e-07,3.3965295642701676e-07
1895,8.064943557428705e-08,3.0514374316226167e-07
