year,ont_VERB ouvert_VERB,ont_VERB couvert_VERB
1800,8.300594345200807e-07,7.640319950041885e-07
1801,8.072208856901852e-07,6.95305288900272e-07
1802,5.415573127720563e-07,5.48270804756612e-07
1803,7.255262062244583e-07,4.544290277408436e-07
1804,6.896464128658408e-07,4.4493316408988903e-07
1805,6.311188371910248e-07,5.628897952192347e-07
1806,4.927654231323686e-07,5.07173751884693e-07
1807,6.405649060070573e-07,5.89319711252756e-07
1808,8.225848660003976e-07,4.373522699552268e-07
1809,6.257514542085119e-07,4.4954705913369253e-07
1810,6.060928399165277e-07,3.48678895534249e-07
1811,5.490497869686806e-07,3.5349782478988345e-07
1812,5.841185952704109e-07,3.5473868820190546e-07
1813,6.269116852308798e-07,3.9110085481297574e-07
1814,7.237357522171806e-07,6.419221563191968e-07
1815,7.066725515869621e-07,5.933891884524201e-07
1816,8.181141879504139e-07,3.24464537015956e-07
1817,7.083773994054354e-07,5.044269641985011e-07
1818,5.734086130360083e-07,5.555268671741942e-07
1819,6.479757530541974e-07,4.678674656588555e-07
1820,1.0395037861599121e-06,4.283799626136897e-07
1821,7.475007919310883e-07,5.995784704282414e-07
1822,7.609442604916694e-07,5.26344820173108e-07
1823,8.16309920992353e-07,3.6763594835065305e-07
1824,7.739002398921002e-07,3.957922842801054e-07
1825,7.370155685748614e-07,3.795146028551244e-07
1826,6.13916483871435e-07,4.104520598957606e-07
1827,6.940606454008957e-07,3.7237782635202166e-07
1828,6.484817163254775e-07,3.834021811144339e-07
1829,6.627064976783004e-07,4.192283142856468e-07
1830,7.493648013223719e-07,4.0494921904610237e-07
1831,7.125181014089321e-07,3.352109274601389e-07
1832,7.279123792613973e-07,4.0048709593065723e-07
1833,8.687721333444642e-07,3.01174338801502e-07
1834,7.869009550631745e-07,3.173740594775154e-07
1835,5.959713007541723e-07,4.250455276633147e-07
1836,6.51912728244497e-07,3.555276748556935e-07
1837,7.06921696291829e-07,4.28606085733918e-07
1838,5.510517553375394e-07,3.850418863748928e-07
1839,6.033642989677901e-07,3.6565415939548984e-07
1840,8.006698521967337e-07,4.2294732338632457e-07
