year,aient_VERB osé_VERB,aient_VERB causé_VERB
1800,1.1004575384276905e-07,3.144164484325529e-09
1801,9.762848662830947e-08,2.6193008650921e-08
1802,6.937304419807333e-08,2.4616241489638924e-08
1803,2.0088494068204454e-07,5.851017803593095e-08
1804,8.157108055684148e-08,9.145848167690929e-08
1805,9.665784261869703e-08,1.9900143755080535e-08
1806,1.0662175498055149e-07,1.152667650217154e-08
1807,1.4234775846944103e-07,3.4163463169534225e-08
1808,1.0423940466353088e-07,5.4385775882792586e-08
1809,1.1295152546608733e-07,4.969867006821005e-08
1810,6.31834211617388e-08,3.510190182964834e-08
1811,9.526891631139733e-08,3.760615285841595e-08
1812,1.3069320914382843e-07,1.3336041604361526e-08
1813,1.3803560250380542e-07,6.614205716459765e-08
1814,1.0698702368472368e-07,9.440030979135372e-09
1815,1.5643897199879575e-07,2.4275012222574333e-08
1816,1.6454987417091615e-07,2.3176038865813098e-08
1817,2.459860013459547e-07,2.6466848268569265e-08
1818,1.5020683008515334e-07,1.9073883805731384e-08
1819,1.542306478086175e-07,2.2772310259711048e-08
1820,1.091716228529549e-07,3.20394981656591e-08
1821,9.368413600441272e-08,3.155676253641104e-08
1822,9.223566621585633e-08,3.5089655625597516e-08
1823,8.103803139647425e-08,2.8659792761231984e-08
1824,1.1115868403521745e-07,2.6947560627377243e-08
1825,1.0918749637767178e-07,4.138558296062911e-08
1826,1.5678212150760373e-07,5.725189922145546e-08
1827,1.2627664602860023e-07,3.041700225026034e-08
1828,9.997808092521154e-08,3.393751413227619e-08
1829,7.801590129474789e-08,4.6295149047637096e-08
1830,1.07499410262335e-07,5.4271545479878114e-08
1831,1.340843738262265e-07,1.5591206548037917e-08
1832,1.420646782435142e-07,3.788391467196561e-08
1833,6.255159235024621e-08,8.68772147555319e-08
1834,9.614566920390644e-08,3.547121707470069e-08
1835,1.187404805591541e-07,6.882410019670715e-08
1836,1.1358067553146611e-07,1.68018754465038e-08
1837,9.53231023004264e-08,3.75726116885744e-08
1838,9.910094433962513e-08,2.2723781967215473e-08
1839,1.1815593126129897e-07,2.23727205650448e-08
1840,1.3758527472873538e-07,2.4204817705708592e-08
1841,1.444623478619178e-07,2.6966304744746594e-08
1842,1.0263645577879288e-07,2.2137275124123335e-08
1843,1.1164061675117409e-07,3.36693943836508e-08
1844,1.0318495213823553e-07,2.25031016043431e-08
1845,1.1495269802708208e-07,3.459741293454499e-08
1846,1.1123552212666254e-07,2.751615646445771e-08
1847,8.790954808546303e-08,1.88762818709165e-08
1848,5.309846429213394e-08,1.689496542667257e-08
1849,5.9493846293889874e-08,3.100383594301093e-08
1850,1.1405513333784256e-07,2.7834882843080777e-08
1851,9.996630012665264e-08,1.6123596680017727e-08
1852,1.334661874352605e-07,3.580800012059626e-08
1853,9.793968303029033e-08,4.060913738612726e-08
1854,8.261106643203675e-08,4.000661490977109e-08
1855,1.1091498208770645e-07,3.92713346286655e-08
1856,7.921099864915959e-08,4.141751475117417e-08
1857,1.054405984746154e-07,4.002837528105374e-08
1858,9.053300686900911e-08,3.131952652779546e-08
1859,9.013146495817637e-08,2.3933214521321133e-08
1860,7.552353764594955e-08,2.197048232233101e-08
1861,7.356903353183952e-08,2.5466203368296192e-08
1862,9.081152541057236e-08,1.8523744316212287e-08
1863,1.0338865052972324e-07,5.5939754162182e-08
1864,1.0308664855074312e-07,3.404256787575832e-08
1865,8.613525181999648e-08,2.4946274379544775e-08
1866,7.103794530394225e-08,3.16264845423575e-08
1867,7.424801395927716e-08,3.202855580752839e-08
1868,8.694178177393042e-08,4.2482916740027576e-08
1869,7.178773131499838e-08,5.3718711257033647e-08
1870,7.282241654138488e-08,4.472558146062511e-08
1871,7.753459385639871e-08,5.2043770182308435e-08
1872,7.619647846013322e-08,3.084143074261192e-08
1873,7.18320549708551e-08,2.3944018323618366e-08
1874,6.452577849813679e-08,6.273339892004515e-08
1875,7.037478155780263e-08,2.2313955128083762e-08
1876,3.688068872520489e-08,3.023007266733657e-08
1877,8.225805459005642e-08,5.071549225021954e-08
1878,4.166971123709118e-08,3.623453181944569e-08
1879,6.720257772485638e-08,2.3215436684154156e-08
1880,5.262634061864446e-08,2.759673911612026e-08
1881,4.8807553554297556e-08,3.346803723047742e-08
1882,5.457415852561098e-08,2.1962771157291172e-08
1883,5.497824773215143e-08,2.7173157945981075e-08
1884,3.300848305798354e-08,1.8484751507230612e-08
1885,5.9299846810745294e-08,3.158361394639542e-08
1886,5.162771188338411e-08,2.968593371122097e-08
1887,4.1785117588233334e-08,4.439668899181015e-08
1888,4.882273429984707e-08,1.7119660356001987e-08
1889,5.0121094830046786e-08,4.51089832154139e-08
1890,4.129263331265065e-08,1.5730527991308918e-08
1891,2.7409146952095398e-08,4.52569608455633e-08
1892,3.6984221907232495e-08,3.8864776286118285e-08
1893,3.87980243488073e-08,4.310891554837326e-08
1894,4.159015887239548e-08,4.159015887239548e-08
1895,3.671354775747204e-08,4.8750777636996645e-08
1896,2.5357223876198987e-08,4.8945342001616154e-08
1897,7.92433070273546e-08,4.078699333831537e-08
1898,4.639851169940812e-08,4.2437662273187016e-08
1899,3.814029270188257e-08,2.9296165493519766e-08
1900,3.010810800674335e-08,2.2321527737290126e-08
1901,4.415103660448949e-08,3.409130755471779e-08
1902,3.338993082024899e-08,2.7006560543441083e-08
1903,6.102249017203576e-08,3.0241231741001684e-08
1904,3.708491291831706e-08,3.33226779503093e-08
1905,2.167518786677647e-08,4.5930754311029887e-08
1906,4.78409170057148e-08,3.549487459508782e-08
1907,7.045695582519329e-08,4.165703160197154e-08
1908,4.371136341774218e-08,4.0273391732625896e-08
1909,3.740668930163338e-08,3.300590023513905e-08
1910,6.840512867256621e-08,3.4202564336283103e-08
1911,4.8947441655400326e-08,3.2454281040372734e-08
1912,7.032718940536142e-08,4.532196484774431e-08
1913,4.2423916823963737e-08,4.825720623102825e-08
1914,4.620753202289052e-08,3.683209115479258e-08
1915,4.123266705846618e-08,3.2986132936230206e-08
1916,8.350470892537487e-08,1.8678685265172135e-08
1917,6.908847183240141e-08,2.631941953268324e-08
1918,5.6283244731503146e-08,2.986458014220261e-08
1919,5.985101125816072e-08,3.314825391953491e-08
1920,6.284952291935042e-08,3.028892692213958e-08
1921,5.14946840723951e-08,2.7261890522822796e-08
1922,4.648099505288883e-08,2.3609393551282665e-08
1923,3.6094224498128824e-08,3.503262746562541e-08
1924,4.512068585427187e-08,2.5783249313349188e-08
1925,4.3992713472107425e-08,3.739380360912037e-08
1926,4.0126099776216506e-08,2.229227646921572e-08
1927,6.578042643923254e-08,3.0102906833917586e-08
1928,4.1133748851507335e-08,3.085031252680892e-08
1929,5.23599084090165e-08,3.342121956961819e-08
1930,3.361153133596417e-08,2.10072066408884e-08
1931,3.763767608688795e-08,3.649714130915527e-08
1932,3.3974561830518724e-08,2.301502632917618e-08
1933,3.326492148403304e-08,1.605892663292252e-08
1934,2.3963160344919743e-08,2.6359476379411717e-08
1935,3.590485420090772e-08,2.992070946561398e-08
1936,2.5461901032031165e-08,3.8799086610197264e-08
1937,4.0291578073947676e-08,2.2664012888640173e-08
1938,4.019216603978748e-08,1.8151300906765755e-08
1939,4.8940961505650193e-08,2.141167065872196e-08
1940,2.7893612752905028e-08,1.2678914806940611e-08
1941,1.7709016475464523e-08,2.6563522936839945e-08
1942,3.6410540360520827e-08,2.1239483061208375e-08
1943,4.645176332473966e-08,2.0322646676618206e-08
1944,1.927911696952833e-08,2.8918675454292497e-08
1945,3.0499055725385915e-08,2.832055301382752e-08
1946,4.1763314584386535e-08,2.3665876369705074e-08
1947,4.649139739854036e-08,3.2186353138285995e-08
1948,3.587722829934137e-08,2.2830963786191205e-08
1949,2.9451024730065e-08,3.8286334103077024e-08
1950,2.7651939404904624e-08,2.2334258886758107e-08
1951,2.7719645245838365e-08,3.4116485636559446e-08
1952,2.4253049346611988e-08,2.003512733494972e-08
1953,4.5250075686453783e-08,1.8315507332999914e-08
1954,4.397641362174909e-08,2.247683283940205e-08
1955,2.2525458831523792e-08,1.783265446420046e-08
1956,3.662879421995058e-08,1.2209598665435806e-08
1957,2.47381048978923e-08,2.2087593976038988e-08
1958,3.1434524316864554e-08,1.3235589513271862e-08
1959,2.325224279786653e-08,1.0851047171911432e-08
1960,3.114374891310945e-08,1.868625076895114e-08
1961,2.570818935510033e-08,1.250668635321972e-08
1962,3.170978146727066e-08,3.7417542841922113e-08
1963,2.651081842941494e-08,1.8104948651398445e-08
1964,4.015419108327478e-08,2.068549243006146e-08
1965,4.377634610364112e-08,1.91521518644322e-08
1966,2.76953731059848e-08,1.2185964237687585e-08
1967,3.254021407883556e-08,1.873527466500491e-08
1968,2.649935382237345e-08,1.3474247495537384e-08
1969,3.633406109315729e-08,8.629339909305145e-09
1970,3.7709543931896405e-08,1.609553734738256e-08
1971,2.3122789016838396e-08,2.7747345754391972e-08
1972,2.667676390899487e-08,2.0520587895589415e-08
1973,3.9695066789136035e-08,1.9847533394568018e-08
1974,2.6440186928766707e-08,7.313243344242437e-09
1975,3.0270843609514486e-08,1.0851811893530794e-08
1976,2.3425460682346966e-08,1.2569759455516305e-08
1977,2.703319701424789e-08,1.4104276857551667e-08
1978,2.673266052966028e-08,8.910887139279566e-09
1979,2.63338808537128e-08,1.404473604083023e-08
1980,1.989802811408481e-08,2.1035058139773355e-08
1981,1.771153890217647e-08,1.2018544381930951e-08
1982,2.3588508923921836e-08,1.8622506203769262e-08
1983,2.9050454486423405e-08,8.209910973278056e-09
