year,eût_VERB omis_VERB,eût_VERB commis_VERB
1800,5.973912209356058e-08,1.0375742931501009e-07
1801,1.1905912700171939e-08,3.095537337571841e-08
1802,4.2518962573012686e-08,7.608656460433849e-08
1803,1.755305234496518e-08,4.290746247193056e-08
1804,4.449331569844617e-08,6.426812149129546e-08
1805,5.685755422035754e-09,3.1271653710973624e-08
1806,2.305335300434308e-08,1.152667650217154e-08
1807,5.693910054560547e-08,6.263301344233696e-08
1808,3.172503681980743e-08,9.064295625194063e-08
1809,4.969867006821005e-08,7.454800510231507e-08
1810,6.31834211617388e-08,7.254392642153107e-08
1811,3.008491944456182e-08,7.52123057168319e-08
1812,1.0935553973467904e-07,1.0668833283489221e-07
1813,5.176335093892703e-08,1.1502966401621961e-07
1814,1.5733386149463513e-08,7.866692897096073e-08
1815,9.170560133497929e-08,4.8550024445148665e-08
1816,1.3905623319487859e-08,8.57513455798653e-08
1817,2.6466848268569265e-08,1.0431051578052575e-07
1818,3.457141417584353e-08,9.06009489654025e-08
1819,3.2088255608186955e-08,1.2214239575314423e-07
1820,2.4919611263385377e-08,5.3399165977907614e-08
1821,1.972297702934611e-08,5.325203744632745e-08
1822,3.208197085768916e-08,7.318699601910339e-08
1823,3.063632902922109e-08,1.4329896202980308e-07
1824,2.4421225930382207e-08,6.231623217445303e-08
1825,6.868245350233337e-08,8.101007864524945e-08
1826,3.2589543508265706e-08,7.927185663447744e-08
1827,7.650336897313537e-08,9.678137047330893e-08
1828,7.246117661452445e-08,7.796455747666187e-08
1829,7.715858174606183e-08,6.344150449422159e-08
1830,4.800944353178238e-08,1.2524202475105994e-07
1831,6.236482619215167e-08,6.860130952190957e-08
1832,3.788391467196561e-08,7.441482807735156e-08
1833,6.370995464521911e-08,6.718504863556518e-08
1834,5.0406466556296436e-08,9.054495109239724e-08
1835,3.932805725526123e-08,9.605121675804185e-08
1836,3.763620171071125e-08,7.863277318165274e-08
1837,1.6698937344017395e-08,5.357576071673975e-08
1838,2.840472923537618e-08,7.574594462766981e-08
1839,4.47454411300896e-08,7.341049013120937e-08
1840,4.58617570586739e-08,1.2611982924681797e-07
1841,4.3017674755674307e-08,7.704657889462396e-08
1842,1.408735705865638e-08,8.385331540239349e-08
1843,2.4809025944705354e-08,7.619915010081968e-08
1844,4.39084892889241e-08,1.0318495213823553e-07
1845,2.9017185099178278e-08,6.863680113156079e-08
1846,2.9272506196775794e-08,4.859236213405893e-08
1847,3.883121024728098e-08,7.496581133636937e-08
1848,4.746680914990975e-08,5.712107409294731e-08
1849,2.1786478399121734e-08,7.876649732452279e-08
1850,2.851378333446064e-08,8.146795238417326e-08
1851,3.353708066811123e-08,9.093708541740853e-08
1852,1.3672145193766028e-08,6.966283905285309e-08
1853,2.149895550473957e-08,5.4344578614973216e-08
1854,1.558699302961486e-08,5.299577665596189e-08
1855,3.6087172361476405e-08,4.7231740296638236e-08
1856,3.572260709461261e-08,9.16362523639691e-08
1857,2.782460128969433e-08,6.931743001814539e-08
1858,1.4191660291373864e-08,6.508589223130912e-08
1859,2.8516170758052795e-08,4.939408171367177e-08
1860,2.0139609091529564e-08,6.865776214226571e-08
1861,1.9335450573976232e-08,7.356903353183952e-08
1862,4.156547461775517e-08,6.325181090005572e-08
1863,3.696019490462277e-08,8.590748024062123e-08
1864,2.205574922697906e-08,5.370095124135332e-08
