year,fût_VERB ouvert_ADJ,fût_VERB couvert_ADJ
1800,9.432493897065797e-09,3.772997558826319e-08
1801,2.3811825844433088e-09,2.6193008650921e-08
1802,4.475680270843441e-09,2.9091921760482364e-08
1803,1.1702034896643454e-08,2.3404069793286908e-08
1804,4.943701892301533e-09,2.4718509905596875e-08
1805,0.0,1.421438877713399e-08
1806,0.0,3.458002950651462e-08
1807,8.540865792383556e-09,0.0
1808,9.064295980465431e-09,1.8128591960930862e-08
1809,0.0,0.0
1810,4.680253518074551e-09,3.042164919975221e-08
1811,0.0,2.5070768572277302e-08
1812,0.0,1.600324850414836e-08
1813,0.0,3.738464116054274e-08
1814,3.1466771410748606e-09,1.8880061958270744e-08
1815,8.091670444798638e-09,4.315557688983063e-08
1816,0.0,6.025770460382773e-08
1817,9.341240669868967e-09,3.580808893843823e-08
1818,4.768470951432846e-09,7.152706427149269e-09
1819,4.140420006848444e-09,5.4860564091541164e-08
1820,1.1866481131050932e-09,3.9159388620646496e-08
1821,1.3806083387635226e-08,2.5639868894700157e-08
1822,1.0025615893027862e-09,4.712039469723095e-08
1823,2.9648061783404955e-09,2.9648060007048116e-08
1824,7.57900142644985e-09,5.136878655775945e-08
1825,0.0,5.459374818883589e-08
1826,1.7615968683770689e-09,3.2589543508265706e-08
1827,1.566936447261469e-08,2.8573547083965423e-08
1828,1.8344602503717056e-09,2.935136400594729e-08
1829,0.0,4.715246859632316e-08
1830,1.6698937344017395e-08,2.817945699007396e-08
1831,9.354723218280014e-09,1.4032085715598441e-08
1832,1.3529969367098715e-09,2.0294953273491956e-08
1833,0.0,1.853380560135065e-08
1834,4.667265685043276e-09,2.8937046536725575e-08
1835,3.781543966852041e-09,4.235329242874286e-08
1836,4.704525213838906e-09,2.6210924986003192e-08
1837,3.478945576063097e-09,4.5922078584226256e-08
1838,1.8936485712828244e-09,6.185918977053007e-08
1839,3.4957374772659477e-09,4.824117993962318e-08
1840,4.458782232319436e-09,4.522479102320176e-08
1841,1.4125206782011901e-08,2.8250413564023802e-08
1842,7.379091560011375e-09,3.7566284305512454e-08
1843,5.906910960362666e-09,2.7171790151214736e-08
1844,9.879410178825765e-09,3.622450606144412e-08
1845,1.1718478631905782e-08,2.8459162138005922e-08
1846,1.1123552745573306e-08,1.6978054517835517e-08
1847,4.314578916364553e-09,2.426950729272903e-08
1848,4.02261068899179e-09,2.252662056889676e-08
1849,8.379414939696517e-10,3.5193544078993e-08
1850,2.0366988096043315e-09,2.308258650884909e-08
1851,5.8044946626978344e-09,3.031236062156495e-08
1852,1.9531636308300904e-09,2.9948509450150596e-08
1853,1.1943863675867306e-09,2.20961471342207e-08
1854,0.0,4.416314780542052e-08
1855,6.8990182455763716e-09,2.388121700391821e-08
1856,4.659470143053568e-09,1.5531567143511893e-08
1857,4.881509085841174e-10,1.6597130780837688e-08
1858,3.9149408159744326e-09,3.229826006645453e-08
1859,1.5276520048956854e-09,1.476730293603623e-08
1860,7.781213007262977e-09,2.70053845952134e-08
1861,3.3011746669586728e-09,3.254015012998934e-08
1862,4.517986262886353e-10,1.7168348520613108e-08
1863,1.4983863039219614e-09,4.345320192555846e-08
1864,4.315255264231155e-09,9.589456340108882e-09
1865,4.706844358715045e-10,1.1767110841276462e-08
1866,4.379051787850585e-09,2.1895258939252926e-08
1867,5.338092634588065e-09,1.9896527092555516e-08
1868,7.903798504571569e-09,9.87974857480367e-09
1869,3.906815315701806e-09,1.0743741896135361e-08
1870,5.734048791339319e-10,1.6628741050794815e-08
1871,0.0,1.6993883633631413e-08
1872,2.4189357183956872e-09,1.5723081503438152e-08
1873,1.1373408881354408e-08,9.577607151811662e-09
1874,5.974609140757536e-10,1.1351757756017378e-08
1875,1.0298748520654044e-08,1.2587359599081083e-08
