year,devrait_VERB ouvrir_VERB,devrait_VERB couvrir_VERB
1800,0.0,3.144164484325529e-09
1801,2.3811825844433088e-09,4.7623651688866175e-09
1802,0.0,2.2378401354217203e-09
1803,7.801356893821776e-09,0.0
1804,2.4718509461507665e-09,7.4155526164076946e-09
1805,0.0,1.1371510844071508e-08
1806,0.0,0.0
1807,0.0,5.693910232196231e-09
1808,4.5321479902327155e-09,0.0
1809,2.259030518203531e-09,6.7770917766551975e-09
1810,7.020380277111826e-09,0.0
1811,2.5070767684098882e-09,1.0028307073639553e-08
1812,0.0,5.3344164641089264e-09
1813,5.751483289628823e-09,3.163315653864629e-08
1814,3.1466771410748606e-09,3.1466771410748606e-09
1815,2.697223555614414e-09,2.697223555614414e-09
1816,4.6352077731626196e-09,9.270415546325239e-09
1817,9.341240669868967e-09,9.341240669868967e-09
1818,4.768470951432846e-09,2.384235475716423e-09
1819,2.5877625375869684e-08,2.2772310259711048e-08
1820,2.3732962262101864e-09,2.7292905713238724e-08
1821,2.070912508145284e-08,1.3806083387635226e-08
1822,5.012807946513931e-09,7.017931125119503e-09
1823,3.9530747564242574e-09,2.9648061783404955e-09
1824,6.736890156844311e-09,1.6842225392110777e-09
1825,1.7610886970942374e-08,1.2327619813845558e-08
1826,8.80798456392995e-09,7.0463874735082754e-09
1827,2.3043183361437514e-08,1.8434546111834038e-09
1828,7.337841001486822e-09,1.8344602503717056e-09
1829,1.714635211591542e-09,1.3717081692732336e-08
1830,1.5655253093882493e-08,2.1917355041978226e-08
1831,2.8064171431196883e-08,7.795603274018958e-09
1832,4.7354891563600177e-08,2.1647950987357945e-08
1833,2.6642345218874652e-08,1.2741991461950875e-08
1834,2.6136685704614138e-08,1.4935249481595747e-08
1835,2.647080776796429e-08,1.3613558280667348e-08
1836,1.5457725766054864e-08,1.747394939854985e-08
1837,8.349468672008697e-09,1.461157062010443e-08
1838,1.2624323808552163e-08,5.049729523420865e-09
1839,3.4957374772659477e-09,9.088918062616358e-09
1840,3.821813088222825e-09,1.46502836528839e-08
1841,1.9903700021473014e-08,1.6051371787284552e-08
1842,5.366612043644636e-09,1.2745703159566801e-08
1843,2.7762482091020502e-08,1.7720733325177207e-08
1844,2.140538946093784e-08,8.781698035420504e-09
1845,6.138250796539069e-09,2.2320911341466854e-08
1846,2.6930706553685013e-08,8.196302303531411e-09
1847,1.4561703842730367e-08,1.0786447290911383e-08
1848,1.769948809737798e-08,2.091757700384278e-08
1849,5.865590679832167e-09,2.4300303991253713e-08
1850,2.7155984128057753e-09,7.467895635215882e-09
1851,8.384270167027807e-09,1.096404567135778e-08
1852,7.161600201754936e-09,1.3021090872200602e-08
1853,1.0152284346531815e-08,5.3747388761848924e-09
1854,2.4939190268469247e-08,8.832629738719788e-09
1855,3.661786607267459e-08,2.9188154115900034e-08
1856,1.9673318973900678e-08,8.801221973442352e-09
1857,2.0990489346672803e-08,2.4407544874094356e-09
1858,1.3702292633865909e-08,1.5170396494568195e-08
1859,1.018434669930457e-08,1.9859475841599306e-08
1860,2.1512764902809067e-08,5.034902272882391e-09
1861,1.3204698667834691e-08,7.073945429425521e-09
