year,soit_VERB assez_ADV,soit_VERB cassée_ADJ
1800,2.5153315164061496e-06,0.0
1801,2.457380332998582e-06,0.0
1802,1.95139659808774e-06,1.3427040812530322e-08
1803,2.4242715426225914e-06,2.5354410126965377e-08
1804,2.261743702547392e-06,0.0
1805,1.7966987115869415e-06,2.842877711017877e-09
1806,1.8644399233380682e-06,3.1698359492793315e-08
1807,1.7423365079594078e-06,2.8469551160981155e-09
1808,1.695023343017965e-06,4.5321479902327155e-09
1809,2.315506208105944e-06,1.129515236897305e-08
1810,1.8838020423572743e-06,1.8721014072298203e-08
1811,1.4415691111935303e-06,0.0
1812,1.9577307739382377e-06,2.6672082320544632e-09
1813,1.8778592902890523e-06,1.7254450312975678e-08
1814,1.5418718248838559e-06,0.0
1815,1.5886646451690467e-06,0.0
1816,2.3685911401116755e-06,0.0
1817,2.1375872165663168e-06,1.5568733857662664e-08
1818,1.8847381397790741e-06,1.5497530370112145e-08
1819,1.6551329053982045e-06,2.070210003424222e-09
1820,1.585361928846396e-06,2.966620371580575e-08
1821,1.6951898942352273e-06,6.903041693817613e-09
1822,1.8146364482163335e-06,4.010246357211145e-09
1823,1.8698043504628004e-06,9.882686669016039e-09
1824,1.7246438801521435e-06,0.0
1825,1.6536622524654376e-06,2.8177417732422327e-08
1826,1.4145622344585718e-06,6.1655889282974385e-09
1827,1.5697015669502434e-06,2.7651818612639545e-09
1828,1.9555345716071315e-06,2.7516904310687096e-08
1829,1.615186420167447e-06,0.0
1830,1.6605006294412306e-06,6.262101504006523e-09
1831,1.7290647065237863e-06,3.1182412207897414e-09
1832,1.6046543578340788e-06,2.705993873419743e-09
1833,1.5556812513750629e-06,8.108539617524002e-09
1834,1.4300501334219007e-06,2.8003592777992026e-09
1835,1.5481640502912342e-06,9.075705520444899e-09
1836,1.4530261296386016e-06,1.8146025126952736e-08
1837,1.5328233757827547e-06,0.0
1838,1.401299982717319e-06,1.8936485712828244e-09
1839,1.6660685560054844e-06,7.690622361167243e-09
1840,1.4172557030178723e-06,1.52872523528913e-08
1841,1.4247196986616473e-06,3.2102742686390684e-09
1842,1.349702984043688e-06,3.3541325272778977e-09
1843,1.4536908565787598e-06,2.953455480181333e-09
1844,1.3661028788192198e-06,2.195424508855126e-09
1845,1.2081193290214287e-06,1.674068439427856e-09
1846,1.422058403477422e-06,4.0981511517657054e-09
1847,1.4227324527382734e-06,7.011190739092399e-09
1848,1.2687314665527083e-06,8.04522137798358e-09
1849,1.0683753544071806e-06,8.379414939696517e-10
1850,1.251211983799294e-06,1.1541293254424545e-08
1851,1.2950473546879948e-06,1.2898877521649865e-08
1852,1.518259182375914e-06,5.208436348880241e-09
1853,1.4464019386650762e-06,8.957897534855874e-09
1854,1.3810075643050368e-06,5.195664343204953e-09
1855,1.3341640396902221e-06,4.776243400783642e-09
1856,1.3533173159885337e-06,1.0872097000458325e-08
1857,1.3316756621861714e-06,7.322263684272912e-09
1858,1.2136316627220367e-06,1.0766087576996597e-08
1859,1.2536930853457307e-06,4.582956236731661e-09
1860,1.1511617685755482e-06,1.4646988510946812e-08
1861,1.297833250646363e-06,6.13075279431996e-09
1862,1.1886821766893263e-06,3.162590411776023e-09
1863,1.1842246294690995e-06,5.9935452156878455e-09
1864,1.2068330761394463e-06,1.4863656971897399e-08
1865,1.2510791975728353e-06,3.765475486972036e-09
1866,1.0913569212789298e-06,1.2650593461671633e-08
1867,1.2636720612135832e-06,4.367530337390235e-09
1868,1.3219103038863977e-06,6.421836395986702e-09
1869,1.2501809578679968e-06,4.883519366671862e-09
1870,1.2941748082084814e-06,1.7202147262196377e-08
1871,1.2787897958332906e-06,1.0621176826930423e-08
1872,1.2046299389112392e-06,1.1489944995446422e-08
1873,1.2552651469377452e-06,4.788803575905831e-09
1874,1.2863333722634707e-06,8.364453130127458e-09
1875,1.3096575912641129e-06,4.005069165202713e-09
1876,1.2763136965077138e-06,4.232210137899983e-09
1877,1.277782985198428e-06,9.895705588292003e-09
1878,1.198759150611295e-06,6.6429977074733415e-09
1879,1.323890842286346e-06,3.0546627449723474e-09
1880,1.1725404647222604e-06,1.6044616302224313e-08
1881,1.185326254926622e-06,1.5339516323820135e-08
1882,1.2472191883716732e-06,3.3276925659464496e-09
1883,1.1071481367253e-06,0.0
1884,1.2034893188683782e-06,1.3203393933736152e-08
1885,1.2839706187151023e-06,1.160214413431504e-08
1886,1.0938621244349633e-06,3.2267319927115068e-09
1887,1.152355139311112e-06,3.264462256069578e-09
1888,1.0512738981560688e-06,3.804368819970705e-09
1889,1.1145677945023635e-06,3.759081934617825e-09
1890,1.0998260222550016e-06,3.2771931834929546e-09
1891,1.1945288633796736e-06,1.2748440081367107e-09
1892,1.098870257010276e-06,6.268512375839919e-10
1893,1.21197638236481e-06,6.774258043407144e-09
1894,1.1078105899287038e-06,7.561847148451761e-09
1895,1.0388129112470779e-06,1.8055843487019274e-09
1896,1.1009752824975294e-06,2.358811590497112e-09
1897,1.1280517355771735e-06,7.574727511894253e-09
1898,1.1107350701422547e-06,3.3950129374460403e-09
1899,1.09888253518875e-06,5.527578395003729e-10
1900,1.1430698805270367e-06,2.07642125715779e-09
1901,1.102099304262083e-06,6.706486921359556e-09
1902,1.0792804232551134e-06,2.9461704187383475e-09
1903,1.0741038067862974e-06,1.0800440541913758e-09
1904,1.0539639561102376e-06,9.13686282189019e-09
1905,1.1312383776385104e-06,3.6125313851442797e-09
1906,1.1862489373015705e-06,4.115347618238729e-09
1907,1.0393686125098611e-06,5.142843484406967e-09
1908,1.0952397815344739e-06,3.437972351250096e-09
1909,1.0220827562079648e-06,3.850688656825696e-09
1910,1.1099800758529454e-06,2.137660271017694e-09
1911,1.0757796644611517e-06,6.384448969498635e-09
1912,1.034591036841448e-06,1.2502610502451716e-08
1913,1.0706736475185608e-06,2.121195885607108e-09
1914,1.0292894785379758e-06,0.0
1915,8.517490641679615e-07,1.0602685840410686e-08
