year,tout_ADV ouverte_ADJ,tout_ADV couverte_ADJ
1800,2.829747991484055e-08,6.288328968651058e-09
1801,7.143547975374531e-09,2.3811825844433088e-09
1802,2.0140561218795483e-08,6.713520406265161e-09
1803,7.801356893821776e-09,3.900678446910888e-09
1804,1.2359254952798437e-08,2.4718509461507665e-09
1805,7.675770063997334e-08,0.0
1806,1.152667650217154e-08,2.881669125542885e-09
1807,1.4234775136401367e-08,1.4234775136401367e-08
1808,2.2660739951163578e-09,2.2660739951163578e-09
1809,9.036122072814123e-09,4.518061036407062e-09
1810,2.3401266702194334e-08,2.3401267590372754e-09
1811,2.5070767684098882e-09,0.0
1812,8.00162425207418e-09,0.0
1813,4.888760685162197e-08,0.0
1814,3.1466771410748606e-09,3.1466771410748606e-09
1815,1.3486118000116676e-08,2.697223555614414e-09
1816,1.622322720606917e-08,0.0
1817,7.472992535895173e-08,1.556873407970727e-09
1818,5.722165141719415e-08,0.0
1819,4.0369094733705424e-08,0.0
1820,5.577246042776096e-08,0.0
1821,5.9168929311681495e-08,0.0
1822,8.120748873352568e-08,0.0
1823,1.1859224713361982e-08,0.0
1824,4.29476756380609e-08,3.3684450784221553e-09
1825,6.251864448358901e-08,3.522177216552791e-09
1826,6.429828403042848e-08,8.807984341885344e-10
1827,1.0507691428074395e-07,0.0
1828,8.6219628769868e-08,0.0
1829,8.487444347338169e-08,0.0
1830,6.679574937606958e-08,1.0436835840010872e-09
1831,3.741889287312006e-08,1.5591206103948707e-09
1832,8.38858085216998e-08,0.0
1833,8.68772147555319e-08,1.1583628500844156e-09
1834,4.29388435918554e-08,1.8669061851994684e-09
1835,1.429423548415798e-07,1.5126175867408165e-09
1836,1.1022029866580851e-07,2.688300027031687e-09
1837,7.305785487687899e-08,2.7831563720326358e-09
1838,7.890202624594167e-08,0.0
1839,9.927894950578775e-08,3.4957374772659477e-09
1840,6.305991462340899e-08,8.917564464638872e-09
1841,6.292137300079048e-08,6.420548537278137e-10
1842,8.989075439558292e-08,0.0
1843,7.560846171372759e-08,5.906911071384968e-10
1844,6.311845623940826e-08,1.097712254427563e-09
1845,8.314539456932835e-08,3.348136878855712e-09
1846,6.557041842825129e-08,0.0
1847,5.2853593501822616e-08,1.0786447290911383e-09
1848,2.735375304041554e-08,1.6090443422100975e-09
1849,4.1897074254393374e-08,8.379414939696517e-10
1850,8.893584890756756e-08,5.431196825611551e-09
1851,3.9341575330809064e-08,3.2247193804124663e-09
1852,7.0313888045348e-08,6.510545436100301e-10
1853,6.927440665549511e-08,0.0
1854,6.650450501410887e-08,2.0782657816909023e-09
1855,5.306937111981824e-08,4.776243400783642e-09
1856,1.232171058518361e-07,5.177189232874468e-10
1857,6.345961622855611e-08,0.0
1858,7.683071601150004e-08,1.9574704079872163e-09
1859,7.383651023928905e-08,4.073738679721828e-09
1860,8.422018282772115e-08,5.034902272882391e-09
1861,7.168264914980682e-08,0.0
1862,6.054101930885736e-08,2.710791813242963e-09
