year,ont_VERB osé_VERB,ont_VERB causé_VERB
1800,1.6695513522790861e-06,7.797527814545901e-07
1801,1.4453778476308798e-06,1.1048687156289816e-06
1802,9.622713150747586e-07,9.734604873301578e-07
1803,1.1819055316664162e-06,1.0005239801103016e-06
1804,1.2359254242255702e-06,1.2680595773417735e-06
1805,1.199694338538393e-06,8.130630249070236e-07
1806,1.0402825409983052e-06,1.1843660558952251e-06
1807,1.0989247130055446e-06,1.1017716587957693e-06
1808,7.817955065547721e-07,8.837688483254169e-07
1809,9.352386314276373e-07,8.742447903387074e-07
1810,8.307450229949609e-07,1.123260858548747e-06
1811,6.443187317017873e-07,9.050547191691294e-07
1812,1.117560259444872e-06,8.535066626791377e-07
1813,1.0180125400438556e-06,9.288645514970995e-07
1814,1.919473106681835e-06,1.2083239653293276e-06
1815,1.8961482055601664e-06,1.3432173773253453e-06
1816,1.0475569069967605e-06,1.0637801324264728e-06
1817,1.282863649976207e-06,9.901715429805336e-07
1818,1.4686891063320218e-06,1.1575463076951564e-06
1819,1.3580577160610119e-06,1.0537369234953076e-06
1820,1.6150280544025009e-06,1.352778895125084e-06
1821,1.6093948715933948e-06,9.259937314709532e-07
1822,1.35847096771613e-06,1.0386538633611053e-06
1823,1.3153855888958788e-06,1.1345324537614943e-06
1824,1.14358715563867e-06,1.0155862355532008e-06
1825,1.1262161478953203e-06,9.457045848648704e-07
1826,1.1406340263420134e-06,1.0111566552950535e-06
1827,1.0904034297709586e-06,9.973089163395343e-07
1828,1.1291102737231995e-06,9.942774568116874e-07
1829,1.114512883759744e-06,1.0605018587739323e-06
1830,1.2315466619838844e-06,1.083343590835284e-06
1831,1.1412762432883028e-06,8.419251571467612e-07
1832,1.07292657958169e-06,9.917467878040043e-07
1833,8.35179605473968e-07,9.359571890854568e-07
1834,1.1434800626375363e-06,9.74525050878583e-07
1835,9.453859775021556e-07,9.408481673744973e-07
1836,9.294797109760111e-07,8.454703674942721e-07
1837,8.864353162607586e-07,8.175521770681371e-07
1838,8.464609209113405e-07,8.5087941670281e-07
1839,7.641682486791979e-07,7.935324219943141e-07
1840,1.2873140349256573e-06,9.58001123763097e-07
1841,8.359554044545803e-07,8.56501173984725e-07
1842,1.047160139933112e-06,9.243989325113944e-07
1843,9.911797178574488e-07,9.368361020278826e-07
1844,8.2053992400688e-07,8.353590033038927e-07
1845,7.354740318987751e-07,8.554489454581926e-07
1846,8.688080015417654e-07,9.349638503408642e-07
1847,9.821060302783735e-07,9.551398534313194e-07
1848,8.712975159141934e-07,1.0499014706510934e-06
1849,8.446450010524131e-07,9.033009291670169e-07
1850,9.076887863557204e-07,8.859639706315647e-07
1851,8.442315220236196e-07,9.577416903994163e-07
1852,7.415511049657653e-07,9.98066639112949e-07
1853,6.521349291688239e-07,9.501343356532743e-07
1854,7.512931006203871e-07,7.35706066734565e-07
1855,7.594226758556033e-07,8.358425702681416e-07
1856,7.460329811692645e-07,8.205844892472669e-07
1857,6.682785738121311e-07,9.001502689898189e-07
1858,6.944126198504819e-07,9.743308737597545e-07
1859,8.498837473780441e-07,8.076186759353732e-07
1860,9.003320542433357e-07,7.721709494035167e-07
1861,9.097093993659655e-07,8.705669074515754e-07
1862,8.493814220855711e-07,9.99830376713362e-07
1863,8.405946800849051e-07,9.439833092983463e-07
1864,6.765361035832029e-07,8.24693188405945e-07
1865,7.055559763102792e-07,9.394861422151735e-07
1866,6.247447004170681e-07,9.36630499381863e-07
1867,6.968637080717599e-07,8.69138546022441e-07
1868,5.868570269740303e-07,1.0388555438112235e-06
1869,7.085986339916417e-07,9.8842428997159e-07
1870,6.920996611370356e-07,9.874031547951745e-07
1871,7.031219411146594e-07,1.363759110972751e-06
1872,6.488795065706654e-07,1.0994062904501334e-06
1873,6.219458441591996e-07,8.793440429144539e-07
1874,5.962659770375467e-07,1.0204632872046204e-06
1875,6.574034614459379e-07,1.037884999277594e-06
1876,6.070198992347287e-07,1.0471698033143184e-06
1877,6.8218520254959e-07,1.0149283298233058e-06
1878,5.827720315210172e-07,9.916183216773788e-07
1879,7.294534611901327e-07,1.0984566642946447e-06
1880,5.551436856876535e-07,1.0396911420684773e-06
1881,5.320023319654865e-07,1.042389840222313e-06
1882,4.472418879686302e-07,1.1061249551858054e-06
1883,4.524646612935612e-07,9.712823612062493e-07
1884,5.235145863480284e-07,1.0364664149165037e-06
1885,5.04693275615864e-07,1.0383919288869947e-06
1886,4.375448554583272e-07,1.0157751830774941e-06
1887,4.4853712211079255e-07,1.203933720717032e-06
1888,4.254552550264634e-07,1.1013647736035637e-06
1889,5.306570756147266e-07,1.0550489832894527e-06
1890,3.7687721032853005e-07,1.2151832606832613e-06
1891,4.206985124710627e-07,1.1205878536202363e-06
1892,4.3252734371890256e-07,1.1289590702290297e-06
1893,4.6126538677526696e-07,1.107899151975289e-06
1894,4.3165545093870605e-07,1.175237116513017e-06
1895,5.133878175911377e-07,1.1802502513091895e-06
1896,4.770696477862657e-07,1.1115899951619213e-06
1897,3.979645271101617e-07,1.2853730595452362e-06
1898,4.2041577330564905e-07,1.1531727750480059e-06
1899,4.283873238364322e-07,1.1790324379035155e-06
1900,4.038639360715024e-07,1.1337259593346971e-06
1901,3.543260334026854e-07,1.2982640100744902e-06
1902,3.5550453958421713e-07,1.0566931223365827e-06
1903,4.044765091748559e-07,1.2982129646843532e-06
1904,3.5956242072643363e-07,1.078149807653972e-06
1905,3.6796211588807637e-07,1.1462045677035348e-06
1906,3.492901328172593e-07,1.028836891237006e-06
1907,3.87770398901921e-07,1.1154827461723471e-06
1908,4.3613135858322494e-07,1.0981865443682182e-06
1909,4.1367397329850064e-07,1.201964892061369e-06
1910,4.665443498197419e-07,1.1746443533411366e-06
1911,3.820028666723374e-07,1.1252591320953798e-06
1912,4.078976871824125e-07,1.258075258192548e-06
1913,3.457549269114679e-07,1.1443851235526381e-06
1914,4.4131542153991177e-07,1.2931411674799165e-06
1915,5.042165867052972e-07,1.7164570635941345e-06
1916,5.592618208538624e-07,1.877757313195616e-06
1917,4.836193170376646e-07,1.4333116951092961e-06
