year,serait_VERB assez_ADV,serait_VERB cassé_ADJ
1859,1.2832276752305916e-06,5.092173349652285e-09
1860,1.443643782295112e-06,9.154367819341758e-10
1861,1.361498675578332e-06,0.0
1862,1.4218102251106757e-06,0.0
1863,1.4514367876472534e-06,0.0
1864,1.3425237739284057e-06,4.794727948009836e-10
1865,1.4548855915563763e-06,0.0
1866,1.38280722694617e-06,4.865612912574591e-10
1867,1.4034330888534896e-06,4.85281148598915e-10
1868,1.3545134152082028e-06,1.4819622196071691e-09
1869,1.4816597513345187e-06,0.0
1870,1.4186036878527375e-06,1.7202146374017957e-09
1871,1.527325252936862e-06,0.0
1872,1.3854454437023378e-06,3.628403577593531e-09
1873,1.440831283616717e-06,0.0
1874,1.34070228341443e-06,1.7923826867161097e-09
1875,1.4435413504543249e-06,4.577221712764867e-09
1876,1.4292778587332577e-06,0.0
1877,1.3006667813897366e-06,3.0924081073635534e-09
1878,1.3279956192491227e-06,6.039088673581716e-10
1879,1.3862058949598577e-06,6.720257683667796e-09
1880,1.2225997352288687e-06,3.8507077526617195e-09
1881,1.2620238294402952e-06,0.0
1882,1.4215902410796843e-06,6.655385131892899e-10
1883,1.1273700692981947e-06,0.0
1884,1.2728071396850282e-06,0.0
1885,1.1337873502270668e-06,6.445635691854079e-10
1886,1.1093504781456431e-06,0.0
1887,1.1125287073809886e-06,6.528924623161458e-10
1888,1.1945718370043323e-06,0.0
1889,1.260545559489401e-06,1.2530273485467092e-09
1890,1.21059520097333e-06,0.0
1891,1.1479970680738916e-06,6.374220040683554e-10
1892,1.205434955409146e-06,3.1342561879199593e-09
1893,1.103588260775723e-06,7.390100087434348e-09
1894,1.06811091882264e-06,3.780923574225881e-09
1895,1.102610212910804e-06,3.611168697403855e-09
1896,1.2177364396848134e-06,2.948514543632541e-09
1897,1.065123228727316e-06,0.0
1898,1.0722582146627246e-06,5.6583548957434e-10
1899,1.1165708428961807e-06,1.6582735185011188e-09
1900,1.1165955129399663e-06,5.191053142894475e-10
1901,1.1814594245151966e-06,1.676621730339889e-09
1902,9.766554285306484e-07,4.910283846193408e-10
1903,1.1567271940293722e-06,0.0
1904,1.1840298839160823e-06,3.2247751136083025e-09
1905,1.2122623047616798e-06,5.160759042333041e-10
1906,1.1569270554900868e-06,5.658602919567102e-09
1907,1.1669111472656368e-06,6.1714118260169926e-09
1908,1.3103585843055043e-06,2.4556945366072114e-09
1909,1.1095484069301165e-06,3.300590023513905e-09
1910,1.1703690461217775e-06,0.0
1911,1.0725874517447664e-06,2.6601871816467337e-09
1912,1.2388003369778744e-06,2.6047106693738442e-09
1913,1.1353700983818271e-06,2.121195885607108e-09
1914,1.0567462140897987e-06,1.3393487430235496e-09
1915,1.1403777762097889e-06,0.0
1916,1.1064374803027022e-06,0.0
1917,1.1734074405467254e-06,0.0
1918,1.0958002576444414e-06,1.1486376294556067e-09
1919,1.1325653304083971e-06,0.0
1920,1.0222512401014683e-06,0.0
1921,1.1275820952505455e-06,0.0
1922,1.1192328202014323e-06,2.2133805899215986e-09
1923,1.0573484132692101e-06,2.1231896241147297e-09
1924,1.1164146371811512e-06,0.0
1925,9.469431461184286e-07,3.299453377181294e-09
1926,1.1201868801435921e-06,0.0
1927,1.0558316034803283e-06,0.0
1928,1.0077768592964276e-06,0.0
1929,1.1563741963982466e-06,1.1140406375176326e-09
1930,9.957416295947041e-07,0.0
1931,1.1473788390503614e-06,0.0
1932,1.0345802365918644e-06,2.1919073223131136e-09
1933,9.543590522298473e-07,1.1470662197865522e-09
1934,9.34563274768152e-07,1.1981580172459871e-09
1935,1.0472248277437757e-06,2.393656828303392e-09
1936,9.918016985466238e-07,0.0
1937,8.939693998399889e-07,0.0
1938,9.672049827713636e-07,5.186085783037697e-09
1939,9.956427220458863e-07,0.0
1940,8.114505476441991e-07,2.5357829169792012e-09
1941,8.824992505651608e-07,0.0
1942,1.1560347275008098e-06,0.0
1943,1.0625840332068037e-06,0.0
1944,1.0442854545544833e-06,0.0
1945,1.1219295856790268e-06,0.0
1946,9.800457974051824e-07,0.0
1947,1.051420781550405e-06,2.3841741914054637e-09
1948,1.0284805966875865e-06,2.174377566888097e-09
1949,9.120000754592184e-07,1.9634016634739737e-09
1950,9.454836344957585e-07,2.1270722960764488e-09
1951,9.723198672872968e-07,1.0661401761424827e-09
1952,9.342696216663171e-07,0.0
1953,9.976564570024493e-07,0.0
1954,9.391407047587563e-07,0.0
1955,9.47946375617903e-07,9.385607846468247e-10
1956,8.991497111310309e-07,0.0
1957,7.836678719286283e-07,0.0
1958,9.28972951896867e-07,0.0
1959,8.448315043096954e-07,0.0
1960,8.471100159113121e-07,0.0
1961,8.511495366292365e-07,0.0
1962,9.233888249582378e-07,2.5367825617905737e-09
1963,9.278786592403776e-07,0.0
1964,9.083364602702204e-07,0.0
1965,8.087679930213199e-07,1.0944086747954884e-09
1966,8.253221608356398e-07,1.1078149508847446e-09
1967,8.312545674016292e-07,4.930335584241163e-10
1968,9.036728556566231e-07,2.245707841908029e-09
1969,8.320500342051673e-07,1.3625273131978588e-09
1970,7.808635018591303e-07,9.197450023812337e-10
1971,7.76411866354465e-07,0.0
1972,7.525925411755452e-07,0.0
1973,7.007282079030119e-07,5.513203782392395e-10
1974,6.598795607715147e-07,5.625571675160757e-10
1975,6.311185529739305e-07,0.0
1976,6.479139642578957e-07,5.713526873840635e-10
1977,5.970810548205918e-07,0.0
1978,6.487125574494712e-07,1.1881182704343018e-09
1979,6.208943545971124e-07,0.0
1980,5.491855290529202e-07,1.1370301367108482e-09
1981,5.319787419466593e-07,0.0
1982,5.29499970980396e-07,1.2415004579935385e-09
1983,5.298550149746006e-07,1.2630632095778083e-09
1984,5.491660886036698e-07,5.799008495621649e-10
1985,4.7583063178535667e-07,1.8046674155058895e-09
1986,5.592854677161085e-07,1.7983456945813714e-09
1987,4.809213010048552e-07,0.0
1988,4.6473292059090454e-07,0.0
1989,5.04907234244456e-07,5.488122178931576e-10
1990,5.007310051041713e-07,0.0
1991,4.700895033238339e-07,2.9307325455363298e-09
