year,est_VERB ouverte_ADJ,est_VERB couverte_ADJ
1800,4.559038586648967e-07,1.1224667559872614e-06
1801,4.5242470037010207e-07,8.38176276829472e-07
1802,6.310709181889251e-07,8.951360541686881e-07
1803,8.796029646873649e-07,1.0609845730868983e-06
1804,8.132389552883978e-07,7.984078820300056e-07
1805,1.0433361694595078e-06,9.353067866868514e-07
1806,8.385657110920874e-07,7.290622647815326e-07
1807,1.395007984683616e-06,8.569334681851615e-07
1808,1.017467184283305e-06,1.0786511666083243e-06
1809,6.347875682877202e-07,1.122738126468903e-06
1810,6.879972715978511e-07,8.518061349604977e-07
1811,8.674485343362903e-07,7.47108856558043e-07
1812,9.015163868753007e-07,8.695099040778587e-07
1813,5.291364573167812e-07,7.074324344102934e-07
1814,5.34935111318191e-07,4.625615304121311e-07
1815,5.826003075526387e-07,6.635169711444178e-07
1816,6.790579618609627e-07,8.783718499216775e-07
1817,5.86941268920782e-07,7.021499186521396e-07
1818,6.795071385568008e-07,7.796450063324301e-07
1819,6.790288580305059e-07,4.999557177143288e-07
1820,6.218036219252099e-07,6.882559091536677e-07
1821,5.739386210734665e-07,6.123984235273383e-07
1822,5.56421696273901e-07,7.48913521420036e-07
1823,4.80298581351235e-07,5.712192887585843e-07
1824,6.231623501662398e-07,5.583197548730823e-07
1825,6.833024031038804e-07,7.317323138522625e-07
1826,6.447444320656359e-07,5.733998023060849e-07
1827,9.180403708342055e-07,5.991227567392343e-07
1828,6.549022941726435e-07,6.622401542699663e-07
1829,5.932637918704131e-07,6.704223665110476e-07
1830,6.846564133411448e-07,5.458464897856175e-07
1831,6.953678166610189e-07,6.735401143487252e-07
1832,6.534975227623363e-07,6.074956218071748e-07
1833,7.830532808839052e-07,6.544750021930668e-07
1834,8.979818630905356e-07,6.123452180872846e-07
1835,8.780745019976166e-07,4.462222022993956e-07
1836,6.781236834285664e-07,4.939751079291455e-07
1837,7.37536424821883e-07,5.559354576689657e-07
1838,6.438405080189114e-07,4.9929201395571e-07
1839,7.963290045154281e-07,4.5584417307509284e-07
1840,6.923851856299734e-07,4.917399678561196e-07
1841,7.024079877737677e-07,4.3402909000178624e-07
1842,5.79594086502766e-07,4.628702754416736e-07
1843,5.91872492350376e-07,4.123023984448082e-07
1844,6.586273570974299e-07,4.36340627629761e-07
1845,7.393801979560521e-07,3.716431820066646e-07
1846,7.160055019994616e-07,4.56065663456684e-07
1847,7.555906336165208e-07,5.301538976709708e-07
1848,7.506191650463734e-07,4.127198849346314e-07
1849,1.0340197604818968e-06,4.482986923903809e-07
1850,8.391199344259803e-07,4.1412874907109654e-07
1851,7.945708375700633e-07,4.4243148522582487e-07
1852,7.955886758281849e-07,5.449326749840111e-07
1853,7.124514809220273e-07,3.678709958876425e-07
1854,6.390667408595618e-07,3.79803083205843e-07
1855,6.543453423546453e-07,3.444202150149067e-07
1856,6.543967288052954e-07,3.416944878154027e-07
1857,5.350133847059624e-07,3.460990001258324e-07
1858,5.50538572952064e-07,3.6751507082044554e-07
1859,6.400861707334116e-07,3.381203157459822e-07
1860,6.41721157990105e-07,3.7944855080240814e-07
1861,6.13075258115714e-07,3.093672091836197e-07
1862,6.627885795751354e-07,3.018014922417933e-07
1863,6.577915883099195e-07,2.442369577693171e-07
1864,6.750976808689302e-07,2.603537154755031e-07
1865,6.843751521046215e-07,2.66407397475632e-07
1866,7.66820619446662e-07,3.006948645634111e-07
1867,6.716290954500437e-07,4.139448321893724e-07
1868,6.634251121795387e-07,2.1488452262019564e-07
1869,6.529265306198795e-07,2.5687310767352756e-07
1870,7.918721394162276e-07,2.8784924666069855e-07
1871,8.560668902646285e-07,2.708400188566884e-07
1872,7.91596733051847e-07,2.7757286602536624e-07
1873,7.434617828039336e-07,3.004974189479981e-07
1874,8.017925665626535e-07,2.652726323049137e-07
1875,8.404923619309557e-07,2.5689655558380764e-07
1876,7.624024647157057e-07,2.914179049184895e-07
1877,6.982657509979617e-07,3.036744544715475e-07
1878,6.328965014290588e-07,2.8685670372397e-07
1879,8.070418857641926e-07,2.6942123554363206e-07
1880,8.452303745798417e-07,2.419527902475238e-07
1881,7.878933274696465e-07,2.6704702804636327e-07
1882,7.780145097058266e-07,2.409249475476827e-07
1883,8.107712119453936e-07,3.140711442028987e-07
1884,7.545739890701952e-07,2.779314343115402e-07
1885,8.050599262787728e-07,2.8683078312496946e-07
1886,7.847411893635581e-07,2.1619104018100188e-07
1887,8.938097835198278e-07,2.6638011263457884e-07
