year,tout_DET ouvert_ADJ,tout_DET couvert_ADJ
1800,3.144164484325529e-09,0.0
1801,0.0,1.904946067554647e-08
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,2.562259560079383e-08,2.8469551160981155e-09
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,2.6672082320544632e-09
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,2.697223555614414e-09
1816,0.0,0.0
1817,9.341240669868967e-09,6.227493631882908e-09
1818,1.1921177378582115e-09,1.1921177378582115e-09
1819,0.0,0.0
1820,0.0,2.3732962262101864e-09
1821,1.97229765852569e-09,4.9307441463142254e-09
1822,2.0051231786055723e-09,0.0
1823,9.882686891060644e-10,3.9530747564242574e-09
1824,0.0,2.5263338088166165e-09
1825,8.805443041381977e-10,1.7610886082763955e-09
1826,0.0,0.0
1827,0.0,9.217273055917019e-10
1828,0.0,9.172301251858528e-10
1829,6.001223074036943e-09,0.0
1830,0.0,3.1310507520032616e-09
1831,0.0,0.0
1832,0.0,1.3529969367098715e-09
1833,0.0,1.1583628500844156e-09
1834,0.0,9.334530925997342e-10
1835,0.0,0.0
1836,0.0,6.720750067579218e-10
1837,0.0,4.87052354003481e-09
1838,0.0,1.8936485712828244e-09
1839,0.0,1.3982950353153e-09
1840,0.0,1.9109065441114126e-09
1841,0.0,0.0
1842,0.0,0.0
1843,0.0,2.9534555912036353e-09
1844,5.488561272137815e-10,0.0
1845,0.0,0.0
1846,2.9272506640865004e-09,1.1709002656346001e-09
1847,0.0,5.393223645455691e-10
1848,0.0,0.0
1849,0.0,0.0
1850,0.0,0.0
1851,0.0,5.159551008659946e-09
1852,0.0,1.3021090872200602e-09
1853,0.0,5.971931837933653e-10
1854,0.0,1.0391328908454511e-09
1855,0.0,1.3798036491152743e-08
1856,0.0,5.177189232874468e-10
1857,4.881509085841174e-10,1.4644527812635033e-09
1858,4.893676019968041e-10,4.893676019968041e-10
1859,2.036869339860914e-09,0.0
1860,0.0,0.0
1861,4.715963730639317e-10,0.0
1862,4.066187830886747e-09,5.421583626485926e-09
1863,0.0,0.0
1864,0.0,0.0
1865,1.882737743486018e-09,4.706844358715045e-10
1866,4.865612912574591e-10,1.4596839292835284e-09
1867,4.85281148598915e-10,4.85281148598915e-10
1868,4.93987406535723e-10,4.93987406535723e-10
1869,9.767038289254515e-10,4.883519144627257e-10
1870,6.880858549607183e-09,0.0
1871,3.18635318130589e-09,1.0621177271019633e-09
1872,0.0,6.047339295989218e-10
1873,0.0,1.1972008939764578e-09
1874,0.0,1.1949218281515073e-09
1875,1.716458086775674e-09,0.0
1876,0.0,0.0
1877,0.0,0.0
1878,1.2078177347163432e-09,0.0
1879,2.443730107160036e-09,6.10932526790009e-10
1880,6.417846254436199e-10,0.0
1881,6.972507571312292e-10,0.0
1882,3.9932310791357395e-09,0.0
1883,6.319338941018771e-10,0.0
1884,0.0,6.601696966868076e-10
1885,0.0,0.0
1886,7.744156427236248e-09,0.0
1887,0.0,0.0
1888,0.0,6.340614699951175e-10
1889,0.0,0.0
1890,1.3108772956016423e-09,0.0
1891,1.2748440081367107e-09,0.0
1892,0.0,0.0
1893,0.0,0.0
1894,6.301539290376468e-10,0.0
1895,0.0,6.6204757231957956e-09
1896,2.358811590497112e-09,2.358811590497112e-09
1897,0.0,5.826713556089658e-10
1898,0.0,0.0
1899,1.2160672469008205e-08,0.0
1900,3.114631885736685e-09,0.0
1901,0.0,0.0
1902,3.437198747846537e-09,0.0
1903,0.0,0.0
1904,0.0,0.0
1905,4.1286072338664326e-09,0.0
1906,5.144184522798412e-10,0.0
1907,1.5428529565042481e-09,0.0
1908,1.4734167219643268e-09,0.0
1909,0.0,0.0
1910,0.0,5.344150677544235e-10
1911,0.0,5.3203743632934675e-09
1912,5.209421227725386e-10,0.0
1913,5.30298971401777e-10,5.30298971401777e-10
1914,2.0090231700464756e-09,6.696743715117748e-10
1915,1.1780761921542648e-09,0.0
1916,2.197492410260793e-09,0.0
1917,5.483212106582869e-09,1.0966424435210342e-09
1918,8.040463406189247e-09,0.0
1919,9.207848372660976e-10,0.0
1920,0.0,0.0
1921,0.0,0.0
1922,0.0,1.4755870969551665e-09
1923,3.1847844361720945e-09,0.0
1924,0.0,0.0
1925,0.0,0.0
1926,5.57306911730393e-09,0.0
1927,1.1149224876660924e-09,0.0
1928,1.1426041224282812e-09,0.0
1929,0.0,0.0
1930,0.0,0.0
1931,0.0,0.0
1932,2.1919073223131136e-09,0.0
1933,3.4411986593596566e-09,0.0
1934,0.0,0.0
1935,0.0,0.0
1936,1.2124714565686645e-09,0.0
1937,1.2591118148108649e-09,0.0
