year,est_VERB en_PRON,est_VERB quand_ADV
1800,2.7354229814591235e-07,0.0
1801,2.0001934331048687e-07,4.7623651688866175e-09
1802,1.7902721083373763e-07,0.0
1803,1.6382848855300836e-07,1.950339223455444e-09
1804,1.656140113936999e-07,7.4155528384522995e-09
1805,2.2174445746259153e-07,0.0
1806,1.5849180101668026e-07,0.0
1807,1.366538526781369e-07,8.540865348294346e-09
1808,1.1330369886763947e-07,1.1330369975581789e-08
1809,2.1008983708270534e-07,9.036122294858728e-09
1810,9.126494404654295e-08,1.4040760110134443e-08
1811,1.780024518893697e-07,7.521229861140455e-09
1812,1.7870294755084615e-07,2.6672082320544632e-09
1813,1.8117172828624462e-07,2.8757416448144113e-09
1814,1.5104049566616595e-07,0.0
1815,1.9150287755564932e-07,2.697223555614414e-09
1816,1.4369143741532753e-07,6.952811659743929e-09
1817,1.743698163636509e-07,1.4011860338669635e-08
1818,1.3470931037318223e-07,2.384235475716423e-09
1819,1.428444846851562e-07,6.210630232317271e-09
1820,1.4477106446975085e-07,0.0
1821,1.0847637099686835e-07,7.889190523080458e-09
1822,1.4136118409169285e-07,9.023054303725075e-09
1823,1.7690010167825676e-07,2.174191138237802e-08
1824,2.1558048501901794e-07,1.6842225392110777e-08
1825,1.3120110509134975e-07,8.805443041381977e-10
1826,1.6823250348352303e-07,4.403992170942672e-09
1827,1.0507691428074395e-07,8.295545805836468e-09
1828,1.3024667566696735e-07,3.6689205562545624e-09
1829,1.8089401976340014e-07,1.714635211591542e-09
1830,1.4298464634521224e-07,5.218417920005436e-09
1831,1.6526678336958867e-07,1.247296466111436e-08
1832,2.0024354796532862e-07,1.0823975604701275e-08
1833,2.942241508208099e-07,1.0425265539737438e-08
1834,1.3161688627860713e-07,6.534171870242744e-09
1835,1.9890921976184472e-07,1.285724948729694e-08
1836,2.3253795689015533e-07,4.7045251028166035e-09
1837,1.4472412601662654e-07,6.957890930081589e-10
1838,1.7674052799065976e-07,1.2624323808552163e-09
1839,1.7408773089755414e-07,3.4957376993105527e-09
1840,1.853579334465394e-07,2.547875410652267e-09
1841,1.6565014959724067e-07,8.988767952189392e-09
1842,1.7240240879345947e-07,8.049918065466954e-09
1843,1.7070972546662233e-07,2.3627644285539873e-09
1844,1.5532629049630486e-07,5.488561272137815e-10
1845,1.9419192653913342e-07,2.2320912340667576e-09
1846,1.539733887057082e-07,2.9272506640865004e-09
1847,1.493922923145874e-07,3.235934187273415e-09
1848,1.4722755281582067e-07,3.218088684420195e-09
1849,1.4412593429824483e-07,7.541473445726865e-09
1850,2.3286256123355997e-07,2.1045888587423178e-08
1851,1.7864945789369813e-07,7.094382636907426e-09
1852,2.0963956615105417e-07,3.906327261660181e-09
1853,2.3051656228290085e-07,5.3747386541402875e-09
1854,2.0990484017602284e-07,3.117398783558656e-09
1855,2.0113292009682482e-07,3.1841622671890946e-09
1856,2.371152731939219e-07,1.1389816201301528e-08
1857,1.7671062835233897e-07,1.757343293107283e-08
1858,1.947683045955273e-07,5.3830435664536935e-09
1859,1.7873529145617795e-07,1.018434669930457e-09
1860,1.7988332956520026e-07,5.492620580582752e-09
1861,1.938261107170547e-07,8.488734604128467e-09
1862,1.902072170878455e-07,2.2589931591987522e-09
1863,2.392423255059839e-07,2.497310414018017e-09
1864,1.9274806106750475e-07,7.1920918109924514e-09
1865,2.1604415678666555e-07,1.8827377989971694e-09
1866,2.3063005016865645e-07,1.1677470990179017e-08
1867,2.2274404898325884e-07,1.0190904120577216e-08
1868,2.1636648739331577e-07,2.469937032678615e-09
1869,2.4417596478087944e-07,9.278686707858697e-09
1870,2.1330662036689318e-07,4.587239033071455e-09
1871,2.145477822068642e-07,4.248470908407853e-09
1872,2.4007937327041873e-07,4.837871547813677e-09
1873,1.9753814228806732e-07,4.190203073406451e-09
1874,2.1209862666182744e-07,1.7923826867161097e-09
1875,2.4202060444622475e-07,5.149374482371627e-09
1876,2.2672556099223584e-07,7.859819017852487e-09
1877,2.3007515892459196e-07,5.566334393414252e-09
1878,2.681355510958383e-07,6.039088784604019e-09
1879,2.541479204865027e-07,5.498392852132383e-09
1880,2.2334104698984447e-07,1.9253538763308597e-09
1881,2.2869825500038132e-07,1.1853262482652838e-08
1882,2.455837204706768e-07,1.4641846846075168e-08
1883,2.3128779957914958e-07,4.423537369735442e-09
1884,2.3237973323375627e-07,3.300848483434038e-09
1885,2.2237442465211643e-07,8.379326565943757e-09
1886,2.5555718252689985e-07,4.5174246565693466e-09
1887,2.2981814140621282e-07,7.834709381260296e-09
1888,2.2065339067012246e-07,7.60873763994141e-09
1889,1.9609878165738337e-07,6.891650361495749e-09
1890,2.5103301481976814e-07,4.5880705901168994e-09
1891,2.619804320147523e-07,1.0198752065093686e-08
1892,1.9118962768516212e-07,1.002961980134387e-08
1893,2.50031717996535e-07,3.0792083327568776e-09
1894,2.489107941983093e-07,2.520615716150587e-09
1895,2.1004964878557075e-07,2.4074457982692365e-09
1896,2.6241778527946735e-07,5.307325912085048e-09
1897,2.493833335392992e-07,1.7480140668268973e-09
1898,2.50665124212901e-07,6.2241903853177405e-09
1899,2.2110313580014918e-07,5.527578395003729e-09
1900,2.5280428417318035e-07,5.710158568206225e-09
1901,2.7328934493198176e-07,3.3532433496574754e-09
1902,3.0100039793978794e-07,8.838511256215043e-09
1903,2.2734927540568606e-07,3.2401321625741275e-09
1904,2.5206992404491757e-07,7.524475265086039e-09
1905,2.8745427016474423e-07,1.5482277126999122e-09
1906,2.397189859948412e-07,7.716276950731071e-09
1907,2.7771355348704674e-07,4.114274698707732e-09
1908,2.966478973576159e-07,6.875944702500192e-09
1909,2.150884625962135e-07,3.850688434781091e-09
