year,puissent_VERB oser_VERB,puissent_VERB causer_VERB
1800,0.0,1.5720821977538435e-08
1801,0.0,3.5717739876872656e-08
1802,4.475680270843441e-09,6.713520406265161e-09
1803,0.0,5.655983770225248e-08
1804,0.0,8.898663139689234e-08
1805,0.0,2.2743021688143017e-08
1806,0.0,6.051504897186533e-08
1807,0.0,1.9928686256776018e-08
1808,0.0,2.945896238060186e-08
1809,6.7770917766551975e-09,1.8072244145628247e-08
1810,0.0,2.574139479349924e-08
1811,0.0,5.264861258069686e-08
1812,0.0,1.3336041604361526e-08
1813,0.0,2.8757416448144113e-09
1814,0.0,1.8880061958270744e-08
1815,0.0,3.236668177919455e-08
1816,0.0,1.622322720606917e-08
1817,6.227493631882908e-09,2.80237220096069e-08
1818,0.0,2.741870730460505e-08
1819,0.0,4.968504185853817e-08
1820,0.0,2.8479554714522237e-08
1821,4.930744257336528e-09,4.437669787193954e-08
1822,0.0,3.0076847679083585e-08
1823,0.0,1.3835761869529506e-08
1824,0.0,3.8737120178211626e-08
1825,0.0,2.201360693732113e-08
1826,0.0,2.7304752237000685e-08
1827,0.0,4.792981900259008e-08
1828,0.0,2.0179061976932644e-08
1829,0.0,2.4862210068476998e-08
1830,0.0,5.0096812032052185e-08
1831,0.0,1.091384405071949e-08
1832,0.0,2.705993829010822e-08
1833,0.0,3.243415847009601e-08
1834,0.0,2.42697808516823e-08
1835,0.0,3.857174846189082e-08
1836,1.3441500135158435e-09,4.637317374545091e-08
1837,1.3915781860163179e-09,1.6003149028165353e-08
1838,0.0,1.4517972601879592e-08
1839,0.0,3.146163862766116e-08
1840,0.0,2.2930879584048824e-08
1841,0.0,2.1829865914924085e-08
1842,0.0,1.7441490030023488e-08
1843,0.0,3.18973185642335e-08
1844,0.0,3.1284798751585186e-08
1845,0.0,2.622707206967334e-08
1846,0.0,3.454155717008689e-08
1847,0.0,2.8584086209093584e-08
1848,2.413566457803995e-09,5.390298429830409e-08
1849,4.1897072478036534e-09,2.9327951622803994e-08
1850,0.0,1.629359136501307e-08
1851,0.0,3.3537082666512674e-08
1852,2.6042181744401205e-09,2.539112742283578e-08
1853,0.0,2.149895372838273e-08
