year,étaient_VERB en_ADP,etaient_VERB en_ADP
1800,5.901596523472108e-06,1.5720821977538435e-08
1801,5.838659490109421e-06,9.524730337773235e-09
1802,4.3951181396550965e-06,8.951360541686881e-09
1803,5.60332455279422e-06,9.751696339321825e-09
1804,6.9459010774153285e-06,1.4831105232815389e-08
1805,6.461861175921513e-06,2.842877711017877e-09
1806,6.734460839652456e-06,1.152667650217154e-08
1807,9.386410965817049e-06,2.2775640928784924e-08
1808,6.0640140873147175e-06,1.5862518409903714e-08
1809,8.134768904710654e-06,3.6144488291256494e-08
1810,7.069522780511761e-06,3.042164919975221e-08
1811,7.639062459929846e-06,1.504245972228091e-08
1812,8.76444664754672e-06,8.00162425207418e-09
1813,9.366290214529727e-06,2.0130190847567064e-08
1814,8.477148185193073e-06,9.440030979135372e-09
1815,9.955451787391212e-06,3.506390555685357e-08
1816,8.746636922296602e-06,2.7811246638975717e-08
1817,1.0032492355094291e-05,2.6466848268569265e-08
1818,1.039288235915592e-05,1.668964877410417e-08
1819,1.0458700671733823e-05,2.173720581311045e-08
1820,1.2055158549628686e-05,2.3732962262101864e-08
1821,1.144721591117559e-05,1.1833785507064931e-08
1822,1.1409150829422288e-05,2.2056354964661296e-08
1823,1.3518527339329012e-05,2.174191138237802e-08
1824,1.2384930414555129e-05,5.894778887238772e-09
1825,1.2950165000802372e-05,1.7610886970942374e-08
1826,1.3080737517157104e-05,3.170874407487645e-08
1827,1.3703320291824639e-05,2.5808365222701468e-08
1828,1.4108833966020029e-05,5.044765671868845e-08
1829,1.4363498848979361e-05,2.8291481157793896e-08
1830,1.4034412743058056e-05,2.1917355041978226e-08
1831,1.2437105397111736e-05,3.1182413096075834e-08
1832,1.2626167517737485e-05,2.4353944638733083e-08
1833,1.3543578461394645e-05,1.2741991461950875e-08
1834,1.4008330254000612e-05,1.7735608537350345e-08
1835,1.4493901289824862e-05,3.7059130875150004e-08
1836,1.3836680409440305e-05,2.016225053580456e-08
1837,1.4244194062484894e-05,1.461157062010443e-08
1838,1.593694651091937e-05,1.2624323808552163e-08
1839,1.5070124391058926e-05,1.3283802502428443e-08
1840,1.6065629097283818e-05,1.2102408852854296e-08
1841,1.4737084711669013e-05,1.3483152372373297e-08
1842,1.595225512573961e-05,1.542900918138912e-08
1843,1.3945035789220128e-05,1.0041748765843295e-08
1844,1.5363581042038277e-05,8.232841963717874e-09
1845,1.4612384802603628e-05,9.48638767539478e-09
1846,1.420243461325299e-05,9.367202125076801e-09
1847,1.4116762940830085e-05,1.1865092020002521e-08
1848,1.4238433323043864e-05,1.850401076808339e-08
1849,1.3467395547195338e-05,1.508294644736452e-08
1850,1.37626529976842e-05,5.431196825611551e-09
1851,1.4281637049862184e-05,1.096404567135778e-08
1852,1.2868744306615554e-05,1.6927417689771573e-08
1853,1.3138250324118417e-05,1.0749477752369785e-08
1854,1.2499729564297013e-05,1.7665259477439577e-08
1855,1.323284777754452e-05,8.491099379170919e-09
1856,1.2664958376262803e-05,5.177189343896771e-09
1857,1.3583287000074051e-05,3.4170564155999728e-09
1858,1.2993199561606161e-05,5.3830437884982985e-09
1859,1.36954004119616e-05,7.129042689513199e-09
1860,1.3684406440006569e-05,8.238931314963338e-09
1861,1.3013702300668228e-05,8.017138064531082e-09
1862,1.3286945431900676e-05,9.487771457372673e-09
1863,1.2768248780048452e-05,5.494082966350788e-09
1864,1.1755713785532862e-05,5.274200631788517e-09
1865,1.2946175047545694e-05,7.530950973944073e-09
1866,1.2872465958935209e-05,7.298419202328432e-09
1867,1.2495019291236531e-05,7.279217228983725e-09
1868,1.2299298759899102e-05,7.409810987013543e-09
1869,1.268835967493942e-05,1.0255390314739543e-08
1870,1.2942321518494282e-05,9.17447806614291e-09
1871,1.3188316188461613e-05,1.1683295220166201e-08
1872,1.3618608136312105e-05,4.8378714367913744e-09
1873,1.230782345373882e-05,2.9930022904522957e-09
1874,1.314951714448398e-05,5.377148060148329e-09
1875,1.243116184923565e-05,4.577221712764867e-09
1876,1.1759499102481641e-05,7.859819461941697e-09
1877,1.1684973287628964e-05,1.8554447978047506e-09
1878,1.237469678017078e-05,4.831270938865373e-09
1879,1.2022541341139004e-05,5.498392852132383e-09
1880,1.1584854291868396e-05,5.134277003548959e-09
1881,1.1563904081413057e-05,4.183504653809678e-09
1882,1.171081567008514e-05,3.9932310791357395e-09
1883,1.1364699275873136e-05,5.687405213450347e-09
1884,1.1918703421542887e-05,3.300848483434038e-09
1885,1.1696250112436246e-05,5.80107206715752e-09
1886,1.1564607120817527e-05,3.872078213618124e-09
1887,1.0990138434863184e-05,5.223139698529167e-09
1888,1.1270442882960197e-05,1.2047167707862627e-08
1889,1.104668899643002e-05,3.759081934617825e-09
1890,1.0787209248519503e-05,6.554386366985909e-09
1891,1.1203967005712911e-05,5.736798147637501e-09
1892,1.1026940228475723e-05,6.8953633913793055e-09
1893,1.1091923624917399e-05,6.15841644346915e-09
1894,1.0792015928018373e-05,1.1342770278588432e-08
1895,1.1237355465709697e-05,4.814891596538473e-09
1896,1.1327013453410473e-05,5.307326134129653e-09
1897,1.0666381967894267e-05,6.992056267307589e-09
1898,1.0485497114132158e-05,2.8291773368493978e-09
1899,1.0843450581887737e-05,1.0502398950507086e-08
1900,1.0971290976158343e-05,6.748368974740515e-09
1901,1.0243599717796315e-05,5.029864968975062e-09
1902,9.311862413596828e-06,6.38336894454028e-09
1903,1.0612512596708257e-05,4.860198465905796e-09
1904,1.0349916010454763e-05,5.374625189347171e-09
1905,1.0120764272869565e-05,6.192911072844254e-09
1906,1.039639664668357e-05,5.144184633820714e-09
1907,9.875801879388746e-06,4.6285588695127444e-09
1908,9.721603419166058e-06,2.9468334439286537e-09
1909,9.836859135248233e-06,3.850688656825696e-09
1910,9.837512152444106e-06,4.809735720812114e-09
1911,1.039388280332787e-05,1.5961122423746588e-09
1912,9.870811481960118e-06,4.167536982180309e-09
1913,9.53424478211673e-06,7.42418571064718e-09
1914,9.84555299510248e-06,2.0090231700464756e-08
1915,1.1148134944960475e-05,3.534228465440492e-09
1916,1.1297308446955867e-05,5.493730803607377e-09
1917,1.1187946256541181e-05,2.1932848870420685e-09
1918,1.1556443496374413e-05,4.594550517822427e-09
1919,1.126948518503923e-05,5.524709134618888e-09
1920,1.0686690984584857e-05,2.2716695191604686e-09
1921,9.952861546480563e-06,5.300923255902035e-09
1922,9.868726920103654e-06,5.164555005876537e-09
1923,9.633972695155535e-06,1.2739137744688378e-08
1924,9.788610441319179e-06,3.867487219366694e-09
1925,9.027304258779623e-06,1.3197813508725176e-08
1926,9.560042599332519e-06,6.687683296036084e-09
1927,9.314062481280416e-06,7.804457524684949e-09
