year,grand_ADJ or_NOUN,grand_ADJ corps_NOUN
1800,0.0,1.2702424472266216e-06
1801,2.3811825844433088e-09,1.5430063413646167e-06
1802,0.0,1.212909324976863e-06
1803,3.900678446910888e-09,1.234564758867407e-06
1804,4.943701892301533e-09,9.393033397753214e-07
1805,0.0,1.577797092977562e-06
1806,5.76333825108577e-09,1.6742497370714204e-06
1807,8.540865348294346e-09,1.0163629902137927e-06
1808,9.064295980465431e-09,1.0401279268990038e-06
1809,2.259030518203531e-09,1.1159610506794593e-06
1810,2.3401267590372754e-09,1.0296557562128328e-06
1811,5.0141535368197765e-09,8.92519310013995e-07
1812,1.0668832928217853e-08,1.0748849517128178e-06
1813,1.4378708224072057e-08,6.326631540876093e-07
1814,9.440030979135372e-09,1.3971246879407317e-06
1815,5.394447111228828e-09,1.324336745156529e-06
1816,2.3176038865813098e-09,1.2097892110318753e-06
1817,1.556873407970727e-09,1.198792574541585e-06
1818,1.1921177378582115e-09,1.2946398371127543e-06
1819,1.035105001712111e-09,1.7255200734922482e-06
1820,2.3732962262101864e-09,1.746746064235083e-06
1821,0.0,1.157738695023447e-06
1822,1.5038423839541792e-08,1.3043326276829248e-06
1823,6.917880934764753e-09,1.4774616525770057e-06
1824,4.463189817727198e-08,1.2993776765668485e-06
1825,1.3208164340028361e-08,1.5101334267519917e-06
1826,6.165589039319741e-09,1.3335288433502512e-06
1827,5.530363722527909e-09,1.4821374629825357e-06
1828,9.172301251858528e-10,1.0887521710856163e-06
1829,4.286587973467704e-09,1.1076543997567967e-06
1830,9.39315247805439e-09,1.3515702950162023e-06
1831,1.5591206103948707e-09,1.2675650589155651e-06
1832,2.705993873419743e-09,1.2204032115992192e-06
1833,1.2741991461950875e-08,1.2394482613586888e-06
1834,1.8669061851994684e-09,1.2312246076007227e-06
1835,2.193295500774184e-08,1.5791727747682671e-06
1836,7.392825018825988e-09,1.6835478408583349e-06
1837,5.566312855087574e-09,1.1640551578206981e-06
1838,8.205810475558906e-09,1.5218621993717818e-06
1839,4.894032512581248e-09,1.219313249589682e-06
1840,1.2102408852854296e-08,1.263746283175493e-06
1841,4.494383976094696e-09,1.2783312168807015e-06
1842,1.0062397581833693e-08,1.4174563505164883e-06
1843,6.497602234034616e-09,1.4082076384980269e-06
1844,4.939705144924034e-09,1.5417368546821741e-06
1845,1.2834524387717039e-08,1.5652539104848984e-06
1846,1.1123552079439492e-08,1.5848134689022686e-06
1847,1.6179670936367074e-09,1.4766645985986315e-06
1848,5.63165514222419e-09,1.5559458592662168e-06
1849,9.217356211621563e-09,1.337354675001734e-06
1850,1.1541293254424545e-08,1.4922212923096367e-06
1851,3.8696632564949596e-09,1.2105596138844987e-06
1852,2.6042181744401205e-09,1.186221363802531e-06
1853,2.149895506065036e-08,1.2917288181313324e-06
1854,4.676097953293379e-09,1.2573508469948536e-06
1855,2.1227748447927297e-09,1.3315105746869449e-06
1856,3.1063135952358323e-09,1.3186300972800602e-06
1857,7.322263739784063e-09,1.5689170460575497e-06
1858,1.1255454956948796e-08,1.2904624009379972e-06
1859,5.601390906662118e-09,1.4741841667387234e-06
1860,4.577184048448757e-09,1.2395013460064774e-06
1861,6.602349444939648e-09,1.3756466368253228e-06
1862,1.8071945051545413e-09,1.3129267780187526e-06
1863,7.491931519609807e-09,1.279621855809765e-06
1864,3.835782358407869e-09,1.4460899115942283e-06
1865,7.530951029455224e-09,1.366867563135088e-06
1866,1.167747110120132e-08,1.284521764510771e-06
1867,1.4073153309368536e-08,1.39081573280464e-06
1868,1.4819622196071691e-09,1.288813099464825e-06
1869,4.88351925564956e-09,1.2677615384149021e-06
1870,1.204150246181257e-08,1.2884408180369178e-06
1871,1.0621177048975028e-08,1.1587703956372764e-06
1872,4.8378714367913744e-09,1.1852785224419904e-06
1873,5.9860043588599865e-09,1.0547339890365492e-06
1874,1.0754296286830112e-08,9.858104965121406e-07
1875,3.432916173551348e-09,1.041317906125272e-06
1876,3.627608879952504e-09,1.1439060134676993e-06
1877,3.092407996341251e-09,1.142953956811965e-06
1878,4.22736201599605e-09,1.0236254794904198e-06
1879,4.887460214320072e-09,1.2536335464163884e-06
1880,4.492492378105339e-09,1.0672878441031486e-06
1881,9.064259565150223e-09,9.642977976120903e-07
1882,1.3310770263785798e-09,1.1460572824084636e-06
1883,1.2638677882037541e-09,1.051537979801509e-06
1884,1.3203393933736152e-09,1.1348316801829128e-06
1885,3.222817901438191e-09,1.2446522887898936e-06
1886,5.808117542471791e-09,9.673742391580475e-07
1887,5.8760321608453125e-09,9.571403758457109e-07
1888,5.072491537916335e-09,1.069027637301545e-06
1889,2.506054641582267e-09,1.0256028477595436e-06
1890,3.277193294515257e-09,1.0342821465947338e-06
1891,5.736798036615198e-09,8.401222107989881e-07
1892,7.522214851007902e-09,9.803953417986122e-07
1893,8.621783287310336e-09,9.662555289224883e-07
1894,5.671385361338821e-09,9.811497199141428e-07
1895,5.416753046105782e-09,9.316815272608636e-07
1896,3.538217385745668e-09,1.0013155744559299e-06
1897,3.4960281336537946e-09,1.031328348832794e-06
1898,6.2241903853177405e-09,9.590911487222797e-07
1899,5.527578395003729e-09,9.186835505659019e-07
1900,1.038210628578895e-09,8.378359748206776e-07
1901,5.588738916095792e-10,9.869713024635018e-07
1902,9.820567470342212e-09,8.003762488328903e-07
1903,2.1600881083827517e-09,8.472945789428366e-07
1904,4.299700151477737e-09,7.766333673941972e-07
1905,7.741138396966107e-09,8.876505672716917e-07
1906,3.600929110447737e-09,8.349011642039272e-07
1907,6.171411992550446e-09,8.470262971016496e-07
1908,9.822778146428846e-10,9.081158367507669e-07
1909,2.2003934230241384e-09,8.950100429672148e-07
1910,3.7409054742809644e-09,8.41169343956949e-07
1911,5.32037403022656e-09,9.725643792535266e-07
1912,4.688479104952847e-09,9.444680788561755e-07
1913,4.7726907426159926e-09,8.606752279760599e-07
1914,6.027069177072519e-09,8.216904721081164e-07
1915,0.0,1.0272824145785009e-06
1916,4.394984820521586e-09,8.493308436552383e-07
1917,4.3865698851064394e-09,9.069233204428429e-07
1918,1.033773866510046e-08,9.74044736423707e-07
1919,3.6831394045755417e-09,9.217056231580756e-07
1920,3.786115865267448e-09,9.154828006785465e-07
1921,1.5145494858259667e-09,9.306906409989324e-07
1922,2.21338064543275e-09,7.805855961606767e-07
1923,1.0615948120573648e-09,8.089352641071912e-07
1924,0.0,8.070156662931538e-07
1925,1.0998177923937646e-09,9.194476744411872e-07
1926,3.343841648018042e-09,9.095248696411318e-07
1927,4.4596899506643695e-09,1.1706686415813294e-06
1928,2.2852082448565625e-09,7.11842378819938e-07
1929,4.4561625500705304e-09,9.959523641356327e-07
1930,2.100720708497761e-09,9.295689125110584e-07
1931,5.7026783295555106e-09,9.044448052719645e-07
1932,4.383814644626227e-09,8.537479256887082e-07
1933,1.1470662197865522e-09,8.683291490285683e-07
1934,2.3963160344919743e-09,8.470977430619087e-07
1935,7.180970484910176e-09,9.203610717989363e-07
1936,2.424942913137329e-09,7.371826491464617e-07
1937,7.55467088886519e-09,8.763418186674699e-07
1938,3.889564337278273e-09,7.156798360608008e-07
1939,1.3764645423464117e-08,8.289375328374149e-07
1940,5.0715658339584024e-09,5.959089823814878e-07
1941,2.9515025978810172e-09,7.29021147449771e-07
1942,6.068423541449874e-09,8.465450740402503e-07
1943,0.0,1.1119391327696349e-06
1944,0.0,9.832349885385838e-07
1945,2.178504043826024e-09,1.119751130929103e-06
1946,2.7842208538686464e-09,9.243613003917517e-07
1947,5.960435478513659e-09,1.1253302458769099e-06
