year,auraient_VERB assez_ADV,auraient_VERB cassé_VERB
1800,3.458580977167003e-08,6.288328968651058e-09
1801,3.333655484993869e-08,0.0
1802,4.0281122437590966e-08,0.0
1803,7.216254971353919e-08,0.0
1804,8.898663139689234e-08,4.943701892301533e-09
1805,4.5486043376286034e-08,0.0
1806,1.152667650217154e-08,0.0
1807,6.263301344233696e-08,0.0
1808,9.064295980465431e-09,0.0
1809,5.421673421324158e-08,0.0
1810,6.786367379163494e-08,0.0
1811,1.7549536934780008e-08,0.0
1812,4.800974906515876e-08,0.0
1813,4.026038169513413e-08,0.0
1814,1.8880061958270744e-08,0.0
1815,2.4275012222574333e-08,0.0
1816,1.0660977523002657e-07,0.0
1817,5.4490570278176165e-08,0.0
1818,6.079800130009971e-08,0.0
1819,5.796588098405664e-08,1.035105001712111e-09
1820,5.93324074316115e-08,0.0
1821,1.0354562363090736e-07,0.0
1822,7.318699601910339e-08,5.012807946513931e-09
1823,1.0475648082319822e-07,1.9765373782121287e-09
1824,4.378978601948802e-08,0.0
1825,3.169959583715354e-08,8.805443041381977e-10
1826,6.34174881497529e-08,0.0
1827,6.820781806027298e-08,9.217273055917019e-10
1828,5.961995697134626e-08,0.0
1829,4.8009784592295546e-08,0.0
1830,7.618890407457002e-08,0.0
1831,4.365537620287796e-08,1.5591206103948707e-09
1832,6.22378593106987e-08,1.3529969367098715e-09
1833,4.865124125785769e-08,2.3167257001688313e-09
1834,7.560969805808782e-08,2.8003592777992026e-09
1835,8.848812882433776e-08,9.075705520444899e-09
1836,6.115882911217341e-08,0.0
1837,5.0792603900617905e-08,2.0873671680021744e-09
1838,6.817134590164642e-08,0.0
1839,6.152497888933794e-08,2.0974426639952526e-09
1840,6.242294858793684e-08,6.369688665408546e-10
1841,4.494383887276854e-08,3.2102742686390684e-09
1842,6.909512961783548e-08,0.0
1843,6.852016554148577e-08,4.7255288571079745e-09
1844,5.653217982626302e-08,4.9397050894128824e-09
1845,4.631589334280761e-08,1.1160455892778032e-09
1846,2.9272506196775794e-08,0.0
1847,5.123562374365065e-08,3.775256551818984e-09
1848,3.378993085334514e-08,4.82713291560799e-09
1849,5.362825561405771e-08,0.0
1850,3.8018377779280854e-08,0.0
1851,5.0305622778523684e-08,3.8696632564949596e-09
1852,4.7526981461487594e-08,6.510545436100301e-10
1853,4.478948767427937e-08,1.7915795513800958e-09
1854,6.702406807335137e-08,0.0
1855,4.351688431825096e-08,3.714855978387277e-09
1856,4.6076984006049315e-08,0.0
1857,6.541222319356166e-08,9.763018171682347e-10
1858,3.327699715782728e-08,1.468102750479261e-09
1859,4.8884864156661934e-08,0.0
1860,4.668727626722102e-08,4.577183909670879e-10
1861,4.33868656557479e-08,4.715963730639317e-10
1862,2.5300723294208183e-08,1.8071945051545413e-09
1863,4.694943456229339e-08,3.496234635136375e-09
1864,5.274200631788517e-08,7.1920918109924514e-09
1865,4.848049783845454e-08,6.118897832863013e-09
1866,4.719644408623935e-08,5.352174259343201e-09
1867,3.299911810472622e-08,3.396968040192405e-09
1868,2.667531973088444e-08,3.457911734727759e-09
1869,3.271957993433716e-08,7.325278605918584e-09
1870,5.734048613703635e-08,6.307453670473251e-09
1871,5.523012092112367e-08,1.0621177271019633e-09
1872,2.7213026498884574e-08,6.047339295989218e-10
1873,4.2500630570430076e-08,5.986004469882289e-10
1874,3.823749850084823e-08,4.779687312606029e-09
1875,3.318485752856759e-08,2.8607636259891933e-09
1876,1.5719638923883394e-08,4.232210137899983e-09
1877,2.6594708657512456e-08,2.4739263970730008e-09
1878,3.140326043649111e-08,6.039088673581716e-10
1879,6.1704184872724e-08,5.498392852132383e-09
1880,4.941741593711413e-08,5.776061406947974e-09
1881,3.974329487732575e-08,3.4862537301449947e-09
1882,2.2628309892525067e-08,0.0
1883,1.9589950994713945e-08,1.8958017378167824e-09
1884,3.498899303622238e-08,1.5183903911974994e-08
1885,3.4161868001092444e-08,1.933690763067375e-09
1886,3.355801325710672e-08,1.2906927748801422e-09
1887,2.4809914123125054e-08,1.9586774424595887e-09
1888,4.311618084784641e-08,1.268122939990235e-09
1889,3.821733329800736e-08,6.891650361495749e-09
1890,1.2453334363726754e-08,6.554386478008212e-10
1891,2.103492668936724e-08,7.649063604731055e-09
1892,2.570090096298827e-08,5.014809900671935e-09
1893,2.8328715373504565e-08,6.774258043407144e-09
1894,2.3945849747519787e-08,1.8904617871129403e-09
1895,3.671354775747204e-08,4.213029924926559e-09
