year,devant_VERB ouvrir_VERB,devant_VERB couvrir_VERB
1800,0.0,0.0
1801,2.3811825844433088e-09,1.4287095950749062e-08
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,2.4718509461507665e-09
1805,0.0,0.0
1806,0.0,5.76333825108577e-09
1807,0.0,0.0
1808,0.0,4.5321479902327155e-09
1809,0.0,1.129515236897305e-08
1810,2.3401267590372754e-09,1.6380887757350138e-08
1811,0.0,2.757784400841956e-08
1812,0.0,1.600324850414836e-08
1813,0.0,2.8757416448144113e-09
1814,0.0,0.0
1815,0.0,1.0788894222457657e-08
1816,2.3176038865813098e-09,1.1588019432906549e-08
1817,1.556873407970727e-09,7.784366928831332e-09
1818,2.384235475716423e-09,1.1921177378582115e-09
1819,0.0,0.0
1820,4.746592452420373e-09,1.542642635854463e-08
1821,0.0,1.676452932031225e-08
1822,2.0051231786055723e-09,0.0
1823,0.0,1.4824030003524058e-08
1824,0.0,3.3684450784221553e-09
1825,0.0,0.0
1826,8.807984341885344e-10,1.7615968683770689e-09
1827,0.0,1.8434546111834038e-09
1828,0.0,1.0089530988466322e-08
1829,1.3717081692732336e-08,6.858540846366168e-09
1830,4.174734336004349e-09,1.7742621594152297e-08
1831,3.1182412207897414e-09,9.354723218280014e-09
1832,4.058990921151917e-09,0.0
1833,6.950177322551099e-09,1.3900354645102198e-08
1834,0.0,0.0
1835,3.781543966852041e-09,1.5126175867408165e-09
1836,8.736974699274924e-09,6.720750067579218e-10
1837,1.0436836284100082e-08,6.957890930081589e-10
1838,1.0730675459313943e-08,3.1560809521380406e-09
1839,0.0,0.0
1840,3.821813088222825e-09,4.458782232319436e-09
1841,0.0,5.1364388298225094e-09
1842,2.683306021822318e-09,1.8112315203211438e-08
1843,1.7720733769266417e-09,1.7720733769266417e-09
1844,1.6465684371524958e-09,1.097712254427563e-09
1845,5.022205096238963e-09,1.1160455892778032e-09
1846,4.0981509297211005e-09,5.854501328173001e-09
1847,1.941560512364049e-08,1.7258315665458213e-08
1848,1.045878850192139e-08,1.045878850192139e-08
1849,1.256912263158938e-08,0.0
1850,6.1100964288129944e-09,1.0183494048021657e-08
1851,3.2247193804124663e-09,2.579775504329973e-09
1852,1.5625309046640723e-08,1.1067927019325907e-08
1853,1.3138250265498641e-08,7.763511611358354e-09
1854,9.871762074453727e-09,3.117398783558656e-09
1855,3.714855978387277e-09,3.1841622671890946e-09
1856,6.73034605824796e-09,2.5885945831305435e-08
1857,1.3180074809326925e-08,1.9526036343364694e-09
1858,8.808616946964776e-09,3.4255731584664773e-09
1859,5.601390462572908e-09,1.2730433596175317e-08
1860,9.612086238064421e-09,4.57718396518203e-09
1861,1.4147891747029462e-09,9.431927239234028e-09
1862,6.776979422085105e-09,3.162590411776023e-09
1863,1.0988165932701577e-08,7.991393324857654e-09
1864,1.9178911792039344e-09,7.1920918109924514e-09
1865,2.8241067262513297e-09,7.530950973944073e-09
1866,1.4596838404656864e-08,4.865612801552288e-09
1867,1.0190904120577216e-08,3.396968040192405e-09
