year,petit_ADJ or_NOUN,petit_ADJ cor_NOUN
1800,3.144164484325529e-09,6.288328968651058e-09
1801,0.0,2.6193008650921e-08
1802,0.0,3.1329761895904085e-08
1803,1.950339223455444e-09,3.1205427575287104e-08
1804,0.0,4.943701892301533e-09
1805,8.528633133053631e-09,1.7057265822018053e-08
1806,5.76333825108577e-09,5.76333825108577e-09
1807,5.693910232196231e-09,8.540865348294346e-09
1808,0.0,5.438577455052496e-08
1809,6.7770915546105925e-09,2.259030518203531e-09
1810,2.3401267590372754e-09,1.6380887757350138e-08
1811,0.0,2.2563690915688994e-08
1812,2.6672082320544632e-09,5.3344164641089264e-09
1813,0.0,1.4378708446116661e-08
1814,0.0,1.8880061958270744e-08
1815,0.0,2.1577788444915313e-08
1816,6.952811659743929e-09,2.3176038865813098e-09
1817,4.670620334934483e-09,4.670620334934483e-09
1818,1.1921177378582115e-09,4.768470951432846e-09
1819,1.035105001712111e-09,1.1386155129855524e-08
1820,1.779972080839798e-08,1.6613073583471305e-08
1821,7.88919063410276e-09,2.7612167663448872e-08
1822,3.0076847679083585e-09,2.7069162911175226e-08
1823,9.882686891060644e-10,2.668325471688604e-08
1824,1.6842225392110777e-09,5.5579342017608724e-08
1825,4.4027217427355936e-09,1.7610886082763955e-08
1826,0.0,7.927186018719112e-09
1827,2.7651819167751057e-09,4.608636472447358e-09
1828,2.7516904310687096e-09,7.337841001486822e-09
1829,8.573175946935407e-09,6.858540846366168e-09
1830,3.1310507520032616e-09,5.218417697960831e-09
1831,0.0,1.7150327380477393e-08
1832,0.0,3.111892987739395e-08
1833,6.950177100506494e-09,2.3167257667822128e-08
1834,9.334530925997342e-10,5.50737317972505e-08
1835,2.2689263801112247e-09,4.4622218808854086e-08
1836,1.3441500135158435e-09,1.4113574753338298e-08
1837,6.957890930081589e-10,3.6181031504156635e-08
1838,1.2624323808552163e-09,1.4517972601879592e-08
1839,2.7965901816529026e-09,3.635567047410859e-08
1840,0.0,1.6561189752906103e-08
1841,6.420548537278137e-10,3.4028907691663335e-08
1842,0.0,1.7441490030023488e-08
1843,4.134837805480629e-09,8.26967572198356e-09
1844,0.0,1.7014540221182983e-08
1845,8.928364714222425e-09,1.7298706300739042e-08
1846,1.1709002656346001e-09,2.5759806732139623e-08
1847,1.6179670936367074e-09,2.3190861675459473e-08
1848,7.240699539945439e-09,1.126331028444838e-08
1849,0.0,2.8490010572923552e-08
1850,6.788996032014438e-10,2.7834882843080777e-08
1851,3.2247193804124663e-09,1.096404567135778e-08
1852,1.3021090872200602e-09,1.6276364034339963e-08
1853,1.1943863675867306e-09,3.523439651154092e-08
1854,1.5586993362681767e-09,2.1302223818242538e-08
1855,5.306937111981824e-10,1.8043586180738203e-08
1856,5.177189232874468e-10,8.801221695886596e-09
1857,0.0,2.343124338999303e-08
1858,4.893676019968041e-10,2.5447115525878417e-08
1859,0.0,1.884104072757964e-08
1860,1.8308735638683515e-09,1.6020144405493042e-08
1861,3.301174722469824e-09,1.2733101684148096e-08
1862,3.1625904395315985e-09,7.228778048373741e-09
1863,5.9935452156878455e-09,6.992469103739296e-09
1864,1.4384183844029508e-09,2.397363974004918e-08
1865,1.4120533631256649e-09,4.706844414226197e-09
1866,1.9462451650298362e-09,2.968023871119385e-08
1867,1.455843445796745e-09,2.4749338578544666e-08
1868,3.951899252285784e-09,2.6675320063951347e-08
1869,4.395167341186834e-09,2.4417595057002472e-08
1870,3.4404292748035914e-09,2.0069171213776826e-08
1871,0.0,1.1683295220166201e-08
