year,ait_VERB osé_VERB,ait_VERB causé_VERB
1933,1.8582473160222435e-07,7.226517340086502e-08
1934,1.8811080337854946e-07,7.428579351653752e-08
1935,1.4720988872340968e-07,1.041240693666623e-07
1936,2.1218249912635656e-07,8.608547119592913e-08
1937,1.6872098740350339e-07,1.0450627740965501e-07
1938,1.5169301548212388e-07,8.168085230408906e-08
1939,1.636463338172689e-07,1.1011716338771294e-07
1940,1.5975432177128823e-07,6.593035806190528e-08
1941,1.2396310467011062e-07,6.198155233505531e-08
1942,2.0025797198286455e-07,7.888950648293758e-08
1943,1.2774235358392616e-07,4.3548528338988035e-08
1944,2.1528347815547022e-07,5.1410978585408884e-08
1945,1.568522947081874e-07,6.317661416233022e-08
1946,1.7819013464759337e-07,5.8468636154884734e-08
1947,1.5258714824994968e-07,6.914105199484766e-08
1948,1.511192380121429e-07,6.631851334759631e-08
1949,1.3351130689898127e-07,8.63896758573901e-08
1950,2.286602693857276e-07,7.551106762093696e-08
1951,1.3966436540613358e-07,1.172754195977177e-07
1952,1.2653764258629963e-07,8.541291407482277e-08
1953,1.4975620388213429e-07,6.24881977273617e-08
1954,1.7688290654405137e-07,1.0554339269219781e-07
1955,1.6237100908256252e-07,8.165478959654138e-08
1956,1.3692192624148447e-07,5.145473380707699e-08
1957,1.4489461364064482e-07,6.361226922990681e-08
1958,1.629631896093997e-07,5.9560154141991006e-08
1959,1.619906271344007e-07,7.518225686453661e-08
1960,1.4256916358590388e-07,5.4674583083169637e-08
1961,1.7926251416611194e-07,7.365049015106706e-08
1962,1.7059862500445888e-07,8.43480236767391e-08
1963,1.5971151867688604e-07,5.6254663149957196e-08
1964,2.0137935052844114e-07,6.449006662023749e-08
1965,1.8659667944120883e-07,5.2531618166540284e-08
1966,1.4567766015716188e-07,5.206730335771681e-08
1967,2.2087903062129044e-07,5.571279260152551e-08
1968,2.3085877387529763e-07,5.1202139417227954e-08
1969,1.6531998880964238e-07,5.495526878007695e-08
1970,1.8532861645326193e-07,6.898087434592526e-08
1971,1.582626367735429e-07,5.138397440873632e-08
1972,1.6826881221732037e-07,6.002272101568451e-08
1973,1.4444593432472175e-07,5.8991279416886755e-08
1974,1.1869956040300167e-07,4.612968851347432e-08
1975,1.4906963485827873e-07,5.5401358167728176e-08
1976,1.331251695546598e-07,4.9707683302813166e-08
1977,1.1988635151283233e-07,5.171568062678489e-08
1978,1.3366330620101508e-07,4.3366316759829715e-08
1979,1.3927696329574246e-07,4.154901134256761e-08
1980,1.347380731431258e-07,4.8892296433677984e-08
1981,1.0563667984797576e-07,5.3134616706529414e-08
1982,1.1359729512605554e-07,4.034876610603533e-08
1983,1.2756937906033272e-07,5.5574780333245144e-08
1984,9.684344348670493e-08,4.813177056917084e-08
1985,9.865514982720924e-08,5.2936911743017845e-08
1986,1.1509412445320777e-07,4.91547815784088e-08
1987,1.1610551808871605e-07,6.477466030219148e-08
1988,1.1513382958128204e-07,3.657897806874644e-08
1989,1.273244407684615e-07,4.061210390204906e-08
1990,1.0951788453894551e-07,3.2691904294779306e-08
1991,9.495573749518371e-08,3.751337729340776e-08
1992,9.532203648632276e-08,6.171137556520989e-08
1993,9.85978942935617e-08,3.655877023334142e-08
1994,1.2290578865759016e-07,3.956195016030506e-08
1995,1.0790677151817363e-07,3.253470381991974e-08
1996,9.395041900006618e-08,3.95018808774239e-08
1997,9.925431498913895e-08,3.7400177177460137e-08
1998,1.1252785014903566e-07,3.57609692969163e-08
1999,1.0922780546707145e-07,4.067479153491149e-08
2000,9.233686171228328e-08,3.269343196166119e-08
2001,1.0032974984142129e-07,2.365854356867203e-08
2002,1.0120621851683609e-07,4.162160394116654e-08
2003,1.0292299634784285e-07,3.7502307037584615e-08
2004,1.0483402945737907e-07,4.0083598662477016e-08
2005,9.908249154477744e-08,3.828187189469645e-08
2006,9.965293656932772e-08,3.911995349881181e-08
2007,1.1544045719347196e-07,3.83470037945699e-08
2008,1.0047557452708133e-07,2.8950589481269162e-08
2009,1.1872799632328679e-07,2.9085974517784052e-08
2010,1.261252720041739e-07,3.070465481869178e-08
2011,1.0477683076715039e-07,3.823971894689748e-08
2012,1.2425522299963632e-07,3.302125151094515e-08
2013,1.2802084370377997e-07,5.4387939485422976e-08
2014,1.6089258281226648e-07,4.720670432334373e-08
2015,1.6801641322672367e-07,6.029085142245094e-08
2016,1.721283524602768e-07,6.110452943630662e-08
2017,1.27289936813213e-07,6.138091634966258e-08
2018,1.5695317756581062e-07,5.292006832746665e-08
2019,1.4387570956841955e-07,5.229524902006233e-08
