year,tout_DET art_NOUN
1800,3.7729974611266925e-07
1801,1.5239568051939045e-07
1802,1.9245425164626795e-07
1803,1.384740837551135e-07
1804,1.359517991517123e-07
1805,1.1087223206196484e-07
1806,2.420602083219592e-07
1807,1.93592946118315e-07
1808,3.104521333341381e-07
1809,1.3102376783535874e-07
1810,1.3338723059419522e-07
1811,1.3538214815866922e-07
1812,1.3336041604361526e-07
1813,2.473137783454149e-07
1814,2.391474680507599e-07
1815,8.900837911163251e-08
1816,1.5991466995046721e-07
1817,1.8371106236259038e-07
1818,1.728570637737903e-07
1819,2.5256562175002273e-07
1820,1.5426425292730528e-07
1821,2.7414937164849107e-07
1822,1.223125138949399e-07
1823,2.2631352880608802e-07
1824,1.397904734190547e-07
1825,1.4088708866211164e-07
1826,1.197885833859047e-07
1827,1.474763683395608e-07
1828,1.2382606701111243e-07
1829,2.6576845479908684e-07
1830,1.3776623575267877e-07
1831,1.6214854170470971e-07
1832,2.88188350960894e-07
1833,1.6912097555721317e-07
1834,2.2869600968533632e-07
1835,1.3613558280667348e-07
1836,1.6533045010813652e-07
1837,2.3448092889566396e-07
1838,1.6285377046898475e-07
1839,1.195542226328783e-07
1840,1.6561190568920026e-07
1841,1.4959878269493743e-07
1842,1.1471133554152857e-07
1843,2.0142567258574218e-07
1844,1.3501860607334493e-07
1845,1.9363391584592549e-07
1846,1.3465353276842507e-07
1847,1.655719641391329e-07
1848,1.7940844232455788e-07
1849,2.161889085527946e-07
1850,1.7040379773902714e-07
1851,1.1931461818548428e-07
1852,1.9141004048428556e-07
1853,1.3197969361833373e-07
1854,1.6885909026598256e-07
1855,2.1758441803854112e-07
1856,2.0812301104733422e-07
1857,1.6450685369484574e-07
1858,1.722573967355423e-07
1859,1.935025908395005e-07
1860,2.1146589301856977e-07
1861,2.2778104968868007e-07
1862,1.9833960079873592e-07
1863,2.4223910299880913e-07
1864,2.138448671473725e-07
1865,2.2075099570528778e-07
1866,2.19925699429524e-07
1867,1.6111333600576927e-07
1868,2.6675320974334227e-07
1869,2.3245551505901574e-07
1870,1.6628742249835682e-07
1871,9.559059721553353e-08
1872,1.5723082169571967e-07
1873,2.1609476563710928e-07
1874,1.4398807568483107e-07
1875,2.5861302377361284e-07
1876,2.769074645136982e-07
1877,1.74411812992048e-07
1878,1.968742926461431e-07
1879,1.6739550590116892e-07
1880,1.9253539162988886e-07
1881,1.833769476267122e-07
1882,1.916750924646493e-07
1883,1.5735154568208287e-07
1884,1.8616785979475026e-07
1885,1.4502680412142865e-07
1886,1.652086745185244e-07
1887,1.9978509790963273e-07
1888,1.610516111583138e-07
1889,2.38701707289124e-07
