year,pourrait_VERB ouvrir_VERB,pourrait_VERB couvrir_VERB
1800,4.7162465932615305e-08,0.0
1801,5.714838380299625e-08,0.0
1802,2.4616241489638924e-08,1.7902721083373763e-08
1803,2.9255089017965474e-08,2.145373123596528e-08
1804,4.943701981119375e-08,4.2021465418429216e-08
1805,2.55858996212055e-08,2.2743021688143017e-08
1806,3.1698359492793315e-08,2.305335300434308e-08
1807,2.8469550272802735e-08,2.562259560079383e-08
1808,9.064295625194063e-08,4.305540457494317e-08
1809,4.969867006821005e-08,4.518061036407062e-09
1810,6.084329839950442e-08,2.8081521108447305e-08
1811,6.518399686683551e-08,2.5070768572277302e-08
1812,5.3344166417446104e-08,4.000812481308458e-08
1813,6.039057609541487e-08,2.0130190847567064e-08
1814,6.293354459785405e-08,1.2586708564299443e-08
1815,1.8880564667256294e-08,1.6183340889597275e-08
1816,3.7081662185300956e-08,5.5622493277951435e-08
1817,3.42512151974006e-08,1.8682481339737933e-08
1818,2.384235386898581e-08,2.026600220972341e-08
1819,3.519356894798875e-08,2.070209959015301e-08
1820,5.22125169766241e-08,1.779972080839798e-08
1821,1.972297702934611e-08,1.972297702934611e-08
1822,3.8097340393505874e-08,3.909990198280866e-08
1823,2.075364236020505e-08,3.9530746676064155e-08
1824,4.8000341479337294e-08,1.2631669044083083e-08
1825,3.522177394188475e-08,1.0566531649658373e-08
1826,6.958307352533666e-08,3.6112734136395375e-08
1827,4.2399456390285195e-08,5.069500019772022e-08
1828,5.961995697134626e-08,4.3109814384934e-08
1829,1.0716470200122785e-07,5.915491385621863e-08
1830,6.262101237552997e-08,5.5315229730013016e-08
1831,5.76874619184764e-08,4.053713453799901e-08
1832,4.464889968858188e-08,2.705993829010822e-08
1833,5.444305273272221e-08,3.8225973497674204e-08
1834,7.747660646373333e-08,4.1071935186209885e-08
1835,5.596685070941021e-08,4.386591001548368e-08
1836,4.435695188931277e-08,3.36037508930076e-08
1837,6.470838798122713e-08,2.2265250976261086e-08
1838,4.9234863297442644e-08,3.597932263232906e-08
1839,3.705481788074394e-08,2.586845759822154e-08
1840,7.45253601053264e-08,3.4396318682183846e-08
1841,7.897274656443187e-08,7.062603657459476e-08
1842,5.567860128508073e-08,3.219967226186782e-08
1843,5.3752891915337386e-08,3.898561473647533e-08
1844,5.598332464273881e-08,2.7442807137845193e-08
1845,6.194053270291988e-08,3.124927516751086e-08
1846,5.21050615986951e-08,4.9177810268474786e-08
1847,6.849393940910886e-08,4.314578916364553e-08
1848,2.574470947536156e-08,3.137636639394259e-08
1849,7.29009101974043e-08,5.111443002192573e-08
1850,4.3449574604892405e-08,5.4311968256115506e-08
1851,5.6755062871616246e-08,5.159551008659946e-08
1852,6.705861466116403e-08,2.408901877970493e-08
1853,6.808001984381917e-08,4.18035241978032e-08
1854,5.6632742939655145e-08,3.4291385730966795e-08
1855,5.041590256382733e-08,3.874064091746732e-08
