year,dut_VERB causer_VERB
1800,4.087413785214267e-08
1801,3.5717739876872656e-08
1802,2.0140561218795483e-08
1803,2.5354410126965377e-08
1804,3.9549615138412264e-08
1805,2.2743021688143017e-08
1806,2.305335300434308e-08
1807,1.9928686256776018e-08
1808,0.0
1809,1.129515236897305e-08
1810,1.6380887757350138e-08
1811,2.0056614147279106e-08
1812,1.8670457180292033e-08
1813,3.163315653864629e-08
1814,4.72001566720337e-08
1815,8.90083740046066e-08
1816,3.244645441213834e-08
1817,2.1796227045456362e-08
1818,3.814776761146277e-08
1819,5.3825459644940565e-08
1820,4.2719332071783356e-08
1821,2.465372084259343e-08
1822,2.2056354964661296e-08
1823,6.917881023582595e-08
1824,3.705289586264371e-08
1825,4.0505039322624725e-08
1826,9.160303449107232e-08
1827,3.2260455640198415e-08
1828,6.420610532131832e-08
1829,4.9724420136953995e-08
1830,2.6092090266160994e-08
1831,3.585977381703742e-08
1832,4.6001897402447867e-08
1833,2.6642345218874652e-08
1834,7.094243414940138e-08
1835,1.5126175867408165e-08
1836,4.368487438455304e-08
1837,6.053365098068753e-08
1838,2.840472923537618e-08
1839,2.6567605004856887e-08
1840,4.522479102320176e-08
1841,3.531301828729738e-08
1842,2.5491406319133603e-08
1843,3.1306630177141415e-08
1844,5.982531803283564e-08
1845,4.910600637231255e-08
1846,5.327596142024049e-08
1847,3.613459753637471e-08
1848,4.424871846708811e-08
1849,9.217356655710773e-09
1850,3.4623880651452055e-08
1851,3.998652076120379e-08
1852,2.3437962681782665e-08
1853,3.1054046445433414e-08
1854,4.2604447969551984e-08
1855,2.2819829581521844e-08
1856,2.2261913201759853e-08
1857,5.760180599168052e-08
1858,3.131952652779546e-08
1859,4.582955881460293e-08
1860,1.830873586072812e-08
1861,1.650587222457034e-08
1862,1.536115412648087e-08
1863,1.8480097452311384e-08
1864,4.746780746245349e-08
1865,3.106517354467542e-08
1866,2.3841502994059738e-08
1867,3.979305418511103e-08
1868,3.2603168165223906e-08
1869,6.495080384638641e-08
1870,3.1537268796455464e-08
1871,2.3366590440332402e-08
1872,2.237515595027162e-08
1873,1.97538145840781e-08
1874,3.644511537004291e-08
1875,2.689117728493784e-08
1876,2.539326260375674e-08
1877,3.030559980743419e-08
1878,3.32149880932775e-08
1879,2.993569481191116e-08
1880,3.4656370218044685e-08
1881,2.8587281875047665e-08
1882,1.8635077481121698e-08
1883,2.5277355319985872e-08
1884,4.423137056619453e-08
1885,2.1915161241281567e-08
1886,3.87207848007165e-08
1887,1.9586773092328258e-08
1888,3.233713385952797e-08
