year,serait_VERB ouvert_ADJ,serait_VERB couvert_ADJ
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,4.475680270843441e-09,1.1189200677108602e-08
1803,0.0,5.851017448321727e-09
1804,2.4718509461507665e-09,0.0
1805,0.0,2.842877711017877e-09
1806,0.0,0.0
1807,0.0,1.4234775136401367e-08
1808,0.0,4.5321479902327155e-09
1809,0.0,1.129515236897305e-08
1810,7.020380277111826e-09,0.0
1811,5.0141535368197765e-09,0.0
1812,1.0668832928217853e-08,0.0
1813,2.8757416448144113e-09,0.0
1814,0.0,0.0
1815,0.0,8.091670444798638e-09
1816,2.3176038865813098e-08,4.6352077731626196e-09
1817,3.113746815941454e-09,1.556873407970727e-09
1818,9.536941902865692e-09,3.5763532135746345e-09
1819,1.6561680027393777e-08,3.1053151161586356e-09
1820,1.4239777357261119e-08,3.5599443393152796e-09
1821,1.97229765852569e-09,9.86148829262845e-10
1822,3.0076847679083585e-09,2.0051231786055723e-09
1823,2.9648061783404955e-09,1.581229902569703e-08
1824,2.5263338088166165e-09,3.3684450784221553e-09
1825,3.522177216552791e-09,5.283265824829186e-09
1826,1.7615968683770689e-09,0.0
1827,1.8434546111834038e-09,1.013900075008678e-08
1828,9.172301251858528e-10,1.1923991571904935e-08
1829,1.714635211591542e-09,2.4862210068476998e-08
1830,5.218417697960831e-09,1.3567886369969528e-08
1831,4.677361609140007e-09,3.1182412207897414e-09
1832,1.3529969367098715e-09,4.058990921151917e-09
1833,6.950177322551099e-09,2.7800709290204395e-08
1834,1.213489042584115e-08,6.534171426153534e-09
1835,7.563087933704082e-10,1.5882484660778573e-08
1836,4.704525213838906e-09,4.704525213838906e-09
1837,3.478945576063097e-09,9.045257876039159e-09
1838,6.312161904276081e-10,5.680945491803868e-09
1839,6.9914751765765e-10,1.1885507689157748e-08
1840,1.0828470564661075e-08,2.0383003729307347e-08
1841,6.420548537278137e-09,1.2841097074556274e-08
1842,4.024959032733477e-09,8.720745015011744e-09
1843,5.906911071384968e-10,7.088293507706567e-09
1844,7.1351298203126134e-09,5.488561161115513e-09
1845,5.580227835366713e-09,1.0602432709561072e-08
1846,3.5127007969038004e-09,9.367202125076801e-09
1847,4.314578916364553e-09,1.1325769655456952e-08
1848,1.206783295515379e-08,1.367687652020777e-08
1849,3.3517659758786067e-09,0.0
1850,2.0366988096043315e-09,1.3577992064028876e-09
1851,9.674158363282004e-09,4.514607354622058e-09
1852,6.510545436100301e-10,3.2552727180501506e-09
1853,8.957897534855874e-09,2.329053394589664e-08
1854,1.0391328908454511e-09,1.1430461910322265e-08
1855,2.653468555990912e-09,7.960405667972736e-09
1856,6.212626857404757e-09,8.28350277259915e-09
1857,4.881509085841174e-10,7.322263684272912e-09
1858,4.893676130990343e-09,6.361778659424999e-09
1859,1.5276519604867644e-08,6.110608019582742e-09
1860,1.8308735638683515e-09,4.119465657481669e-09
1861,5.187560159214399e-09,1.3204698667834691e-08
1862,3.6143890103090826e-09,4.517986262886353e-10
1863,4.994620717013731e-09,3.496234635136375e-09
1864,9.589455896019672e-10,7.671564716815737e-09
1865,7.0602665935837194e-09,1.4120533631256649e-09
1866,3.8924903300596725e-09,2.432806400776144e-09
1867,8.73506067478047e-09,6.308654931785895e-09
1868,2.9639244392143382e-09,5.433861360870651e-09
1869,7.813630631403612e-09,7.813630631403612e-09
1870,7.454262984651905e-09,9.747882501187632e-09
1871,8.496941816815706e-09,1.0621176826930423e-08
1872,1.2094678591978436e-09,1.2094678591978436e-09
1873,3.591602570907071e-09,2.3944017879529156e-09
1874,3.5847653734322193e-09,7.169530746864439e-09
1875,5.149374260327022e-09,5.721527140956084e-10
1876,1.209202959984168e-09,1.3301232115736639e-08
1877,1.1132669008873108e-08,3.0924081073635534e-09
1878,5.435179861734696e-09,9.662541877730746e-09
1879,3.0546627449723474e-09,6.109325489944695e-09
1880,5.134277003548959e-09,6.417846254436199e-10
1881,4.183504653809678e-09,4.183504653809678e-09
